quoteText,bookTitle,bookAuthor,tags
"What is needed, however, isn't just that people working together be nice to each other. It is discipline.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"Good checklists, on the other hand are precise. They are efficient, to the point, and easy to use even in the most difficult situations. They do not try to spell out everything--a checklist cannot fly a plane. Instead, they provide reminders of only the most critical and important steps--the ones that even the highly skilled professional using them could miss. Good checklists are, above all, practical.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"the volume and complexity of what we know has exceeded our individual ability to deliver its benefits correctly, safely, or reliably.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
One essential characteristic of modern life is that we all depend on systems—on assemblages of people or technologies or both—and among our most profound difficulties is making them work.,The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"We don’t like checklists. They can be painstaking. They’re not much fun. But I don’t think the issue here is mere laziness. There’s something deeper, more visceral going on when people walk away not only from saving lives but from making money. It somehow feels beneath us to use a checklist, an embarrassment. It runs counter to deeply held beliefs about how the truly great among us—those we aspire to be—handle situations of high stakes and complexity. The truly great are daring. They improvise. They do not have protocols and checklists. Maybe our idea of heroism needs updating.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"There are good checklists and bad, Boorman explained. Bad checklists are vague and imprecise. They are too long; they are hard to use; they are impractical. They are made by desk jockeys with no awareness of the situations in which they are to be deployed. They treat the people using the tools as dumb and try to spell out every single step. They turn people’s brains off rather than turn them on. Good checklists, on the other hand, are precise. They are efficient, to the point, and easy to use even in the most difficult situations. They do not try to spell out everything—a checklist cannot fly a plane. Instead, they provide reminders of only the most critical and important steps—the ones that even the highly skilled professionals using them could miss. Good checklists are, above all, practical. The power of",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"You must decide whether you want a DO-CONFIRM checklist or a READ-DO checklist. With a DO-CONFIRM checklist, he said, team members perform their jobs from memory and experience, often separately. But then they stop. They pause to run the checklist and confirm that everything that was supposed to be done was done. With a READ-DO checklist, on the other hand, people carry out the tasks as they check them off—it’s more like a recipe. So for any new checklist created from scratch, you have to pick the type that makes the most sense for the situation.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
sometime over the last several decades—and it is only over the last several decades—science has filled in enough knowledge to make ineptitude as much our struggle as ignorance.,The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"under conditions of complexity, not only are checklists a help, they are required for success.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"And the reason is increasingly evident: the volume and complexity of what we know has exceeded our individual ability to deliver its benefits correctly, safely, or reliably. Knowledge has both saved us and burdened us.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"Listening to the radio, I heard the story behind rocker David Lee Roth’s notorious insistence that Van Halen’s contracts with concert promoters contain a clause specifying that a bowl of M&M’s has to be provided backstage, but with every single brown candy removed, upon pain of forfeiture of the show, with full compensation to the band. And at least once, Van Halen followed through, peremptorily canceling a show in Colorado when Roth found some brown M&M’s in his dressing room. This turned out to be, however, not another example of the insane demands of power-mad celebrities but an ingenious ruse. As Roth explained in his memoir, Crazy from the Heat, “Van Halen was the first band to take huge productions into tertiary, third-level markets. We’d pull up with nine eighteen-wheeler trucks, full of gear, where the standard was three trucks, max. And there were many, many technical errors—whether it was the girders couldn’t support the weight, or the flooring would sink in, or the doors weren’t big enough to move the gear through. The contract rider read like a version of the Chinese Yellow Pages because there was so much equipment, and so many human beings to make it function.” So just as a little test, buried somewhere in the middle of the rider, would be article 126, the no-brown-M&M’s clause. “When I would walk backstage, if I saw a brown M&M in that bowl,” he wrote, “well, we’d line-check the entire production. Guaranteed you’re going to arrive at a technical error.… Guaranteed you’d run into a problem.” These weren’t trifles, the radio story pointed out. The mistakes could be life-threatening. In Colorado, the band found the local promoters had failed to read the weight requirements and the staging would have fallen through the arena floor.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"We are all plagued by failures - by missed subtleties, overlooked knowledge, and outright errors. For the most part, we have imagined that little can be done beyond working harder and harder to catch the problems clean up after them. We are not in the habit of thinking the way the army pilots did as they looked upon their shiny new Model 299 bomber — a machine so complex no one was sure human beings could try it.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,['human-nature']
"You would think that this would be whether the entrepreneur’s idea is actually a good one. But finding a good idea is apparently not all that hard. Finding an entrepreneur who can execute a good idea is a different matter entirely. One needs a person who can take an idea from proposal to reality, work the long hours, build a team, handle the pressures and setbacks, manage technical and people problems alike, and stick with the effort for years on end without getting distracted or going insane. Such people are rare and extremely hard to spot.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,['vc']
"It is common to misconceive how checklists function in complex lines of work. They are not comprehensive how-to guides, whether for building a skyscraper or getting a plane out of trouble. They are quick and simple tools aimed to buttress the skills of expert professionals. And by remaining swift and usable and resolutely modest, they are saving thousands upon thousands of lives. *",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"Much of our work today has entered its own B-17 phase. Substantial parts of what software designers, financial managers, firefighters, police officers, lawyers, and most certainly clinicians do are now too complex for them to carry out reliably from memory alone. Multiple fields, in other words, have become too much airplane for one person to fly. Yet it is far from obvious that something as simple as a checklist could be of substantial help.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"checklists seem able to defend anyone, even the experienced, against failure in many more tasks than we realized.",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"The power of checklists is limited, Boorman emphasized. They can help experts remember how to manage a complex process or configure a complex machine. They can make priorities clearer and prompt people to function better as a team. By themselves, however, checklists cannot make anyone follow them. I",The Checklist Manifesto: How to Get Things Right,Atul Gawande,[]
"Self-Management If you can read just one book on motivation—yours and others: Dan Pink, Drive If you can read just one book on building new habits: Charles Duhigg, The Power of Habit If you can read just one book on harnessing neuroscience for personal change: Dan Siegel, Mindsight If you can read just one book on deep personal change: Lisa Lahey and Bob Kegan, Immunity to Change If you can read just one book on resilience: Seth Godin, The Dip Organizational Change If you can read just one book on how organizational change really works: Chip and Dan Heath, Switch If you can read just two books on understanding that change is a complex system: Frederic Laloux, Reinventing Organizations Dan Pontefract, Flat Army Hear interviews with FREDERIC LALOUX, DAN PONTEFRACT, and JERRY STERNIN at the Great Work Podcast. If you can read just one book on using structure to change behaviours: Atul Gawande, The Checklist Manifesto If you can read just one book on how to amplify the good: Richard Pascale, Jerry Sternin and Monique Sternin, The Power of Positive Deviance If you can read just one book on increasing your impact within organizations: Peter Block, Flawless Consulting Other Cool Stuff If you can read just one book on being strategic: Roger Martin and A.G. Lafley, Playing to Win If you can read just one book on scaling up your impact: Bob Sutton and Huggy Rao, Scaling Up Excellence If you can read just one book on being more helpful: Edgar Schein, Helping Hear interviews with ROGER MARTIN, BOB SUTTON, and WARREN BERGER at the Great Work Podcast. If you can read just two books on the great questions: Warren Berger, A More Beautiful Question Dorothy Strachan, Making Questions Work If you can read just one book on creating learning that sticks: Peter Brown, Henry Roediger and Mark McDaniel, Make It Stick If you can read just one book on why you should appreciate and marvel at every day, every moment: Bill Bryson, A Short History of Nearly Everything If you can read just one book that saves lives while increasing impact: Michael Bungay Stanier, ed., End Malaria (All money goes to Malaria No More; about $400,000 has been raised so far.) IF THERE ARE NO STUPID QUESTIONS, THEN WHAT KIND OF QUESTIONS DO STUPID PEOPLE ASK?","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
