quoteText,bookTitle,bookAuthor,tags
"While good strategy content is based on a compelling value proposition for buyers with a robust profit proposition for the organization, sustainable strategy execution is based largely on a motivating-people proposition.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
Blue oceans are right next to you in every industry.,HBR's 10 Must Reads on Strategy,"W. Chan Kim, Renée Mauborgne",[]
Value innovation requires companies to orient the whole system toward achieving a leap in value for both buyers and themselves.,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,W. Chan Kim,[]
"An Incoherent Strategy When a company’s value curve looks like a bowl of spaghetti—a zigzag with no rhyme or reason, where the offering can be described as “low-high-low-low-high-low-high”—it signals that the company doesn’t have a coherent strategy. Its strategy is likely based on independent substrategies. These may individually make sense and keep the business running and everyone busy, but collectively they do little to distinguish the company from the best competitor or to provide a clear strategic vision. This is often a reflection of an organization with divisional or functional silos.",Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,W. Chan Kim,[]
"Simply put, there is no substitute for meeting and listening to dissatisfied customers directly.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
"To tip the cognitive hurdle fast, tipping point leaders such as Bratton zoom in on the act of disproportionate influence: making people see and experience harsh reality firsthand.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,"['leader', 'leadership', 'tipping-point']"
"Value innovation is the cornerstone of blue ocean strategy. We call it value innovation because instead of focusing on beating the competition, you focus on making the competition irrelevant by creating a leap in value for buyers and your company, thereby opening up new and uncontested market space.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
senior managers’ goal here should be to manage their portfolio of businesses to wisely balance between profitable growth and cash flow at a given point in time.,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,W. Chan Kim,[]
"Experiences that don’t involve touching, seeing, or feeling actual results, such as being presented with an abstract sheet of numbers, are shown to be non-impactful and easily forgotten.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
stop looking to the competition. Value-innovate and let the competition worry about you.,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,"['competition', 'innovation']"
"To reach your organization’s tipping point and execute blue ocean strategy, you must alert employees to the need for a strategic shift and identify how it can be achieved with limited resources. For a new strategy to become a movement, people must not only recognize what needs to be done, but they must also act on that insight in a sustained and meaningful way. How","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
"Focus on innovating at value, not positioning against competitors","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,"['competition', 'innovation']"
Value innovation is the cornerstone of blue ocean strategy,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,['innovation']
Competition is only good up to a point. When supply exceeds demand,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,['competition']
Every blue ocean will eventually be imitated and turn red,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,['imitation']
A company should never outsource its eyes. There is simply no substitute for seeing for yourself. Great artists don’t paint from other people’s descriptions or even from photographs; they like to see the subject for themselves. The same is true for great strategists.,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
Technology is not a defining feature. You can create blue oceans with or without it.,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
Blue ocean strategy is not about being first to market. Rather it’s about being first to get it right by linking innovation to value.,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
"If you can move people by inspiring and building their confidence to own and drive your new strategy, they will be committed to seeing change through and overcoming the organizational constraints you confront.",Blue Ocean Shift: Beyond Competing - Proven Steps to Inspire Confidence and Seize New Growth,W. Chan Kim,[]
"Commitment, trust, and voluntary cooperation are not merely attitudes or behaviors. They are intangible capital. They allow companies to stand apart in the speed, quality, and consistency of their execution and to implement strategic shifts fast at low cost.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
"Salespeople on commission, for example, are seldom sensitive to the costs of the sales they produce.","Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,[]
