quoteText,bookTitle,bookAuthor,tags
"as Joe Kraue, CEA of JotSpot ... puts it, ""Up until now, the focus has been on dozens of markets of millions, instead of millions of markets of dozens.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"When the tools of production are available to everyone, everyone becomes a producer.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"In fact, as these companies offered more and more (simply because they could), they found that demand actually followed supply. The act of vastly increasing choice seemed to unlock demand for that choice. Whether it was latent demand for niche goods that was already there or a creation of new demand, we don't yet know. But what we do know is that the companies for which we have the most complete data - netflix, Amazon, Rhapsody - sales of products not offered by their bricks-and-mortar competitors amounted to between a quarter and nearly half of total revenues - and that percentage is rising each year. in other words, the fastest-growing part of their businesses is sales of products that aren't available in traditional, physical retail stores at all.",The Long Tail: Why the Future of Business is Selling Less of More,Chris Anderson,"['business-strategy', 'marketing', 'sales', 'the-long-tail']"
"For too long we’ve been suffering the tyranny of lowest-common-denominator fare, subjected to brain-dead summer blockbusters and manufactured pop. Why? Economics. Many of our assumptions about popular taste are actually artifacts of poor supply-and-demand matching—a market response to inefficient distribution.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"What we're now starting to see, as online retailers begin to capitalize on their extraordinary economic efficiences, is the shape of a massive mountain of choice emerging where before there was just a peak.... By necessity, the conomics of traditional, hit-driven retail limit choice. When you dramatically lower the costs of connecting supply and demand, it changes not just the numbers, but the entire nature of the market. This is not just a quantiative change, but a qualitative one, too. Bringing niches within reach reveals latent demand for noncommercial content. Then, as demand shifts toward the niches, the economics of provided them improve further, and so on, creating a positive feedback loop that will transform entire industries - and the culture - for decades to come.",The Long Tail: Why the Future of Business is Selling Less of More,Chris Anderson,"['business-strategy', 'marketing', 'sales', 'the-long-tail']"
"In a world of infinite choice, context—not content—is king.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"The theory of the long tail as popularized by Chris Anderson in his book of the same name is that our culture and economy are increasingly shifting away from a focus on a relatively small number of major hits (mainstream products and markets) at the head of the demand curve and toward a huge number of niches in the tail. As the costs of production and distribution fall, especially online, there is now less need to lump products and consumers into one-size-fits-all containers. In an era without the constraints of physical shelf space and other bottlenecks of distribution, narrowly targeted goods and services can be as economically attractive as mainstream fare. 5","The New Rules of Marketing and PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott,[]
"This is the world of “peer production,” the extraordinary Internet-enabled phenomenon of mass volunteerism and amateurism. We are at the dawn of an age where most producers in any domain are unpaid, and the main difference between them and their professional counterparts is simply the (shrinking) gap in the resources available to them to extend the ambition of their work. When the tools of production are available to everyone, everyone becomes a producer.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"A few years ago, most of these authors wouldn’t have been published at all—and that would have been enough to discourage many of them from writing a book in the first place. But today, the economics of publishing have fallen so low that nearly everyone can do it. That means people can write books for whatever reason they want, and they don’t need to depend on some publisher deciding if the book is worth taking to market. The effect of this is being felt throughout the industry, right up to the giant booksellers. In 2005, Barnes & Noble sold 20 percent more unique titles than it had in 2004, something its CEO, Steve Riggio, attributes to three forces: (1) the efficiencies of print-on-demand, which keeps more books in print; (2) the increase in the number of smaller and independent publishers; and (3) self-publishing.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"Over the next few years, the traditional definition of what a 'published book' is will have less meaning,” he says. “Individuals will increasingly use the Internet as a first stage to publish their work, whether they are books, short stories, works in progress, or articles on their area of expertise. The best of this work will turn into physical books. I tend to be sanguine about the book industry’s prospects because a whole new and efficient means of first-step publishing is emerging and rapidly becoming more sophisticated.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"A few years ago, most of these authors wouldn’t have been published at all—and that would have been enough to discourage many of them from writing a book in the first place. But today, the economics of publishing have fallen so low that nearly everyone can do it. That means people can write books for whatever reason they want, and they don’t need to depend on some publisher deciding if the book is worth taking to market. The effect of this is being felt throughout the industry, right up to the giant booksellers. In 2005, Barnes & Noble sold 20 percent more unique titles than it had in 2004, something its CEO, Steve Riggio, attributes to three forces: (1) the efficiencies of print-on-demand, which keeps more books in print; (2) the increase in the number of smaller and independent publishers; and (3) self-publishing. “Over the next few years, the traditional definition of what a 'published book' is will have less meaning,” he says. “Individuals will increasingly use the Internet as a first stage to publish their work, whether they are books, short stories, works in progress, or articles on their area of expertise. The best of this work will turn into physical books. I tend to be sanguine about the book industry’s prospects because a whole new and efficient means of first-step publishing is emerging and rapidly becoming more sophisticated.” One of the big differences between the head and the tail of producers is that the farther down you are in the tail, the more likely you are to have to keep your day job. And that’s okay. The distinction between “professional” producers and “amateurs” is blurring and may, in fact, ultimately become irrelevant. We make not just what we’re paid to make, but also what we want to make. And both can have value.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"From filmmakers to bloggers, producers of all sorts that start in the Tail with few expectations of commercial success can afford to take chances. They’re willing to take more risks, because they have less to lose. There’s no need for permission, a business plan, or even capital. The tools of creativity are now cheap, and talent is more widely distributed than we know.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"As this figure shows, a once-monolithic industry structure where professionals produced and amateurs consumed is now a two-way marketplace, where anyone can be in any camp at any time. This",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"in his book The Rise of the Creative Class, puts it, “the world is spiky”: People cluster not simply because they like to be around one another or they prefer cosmopolitan centers with lots of amenities, though both those things count. They and their companies also cluster because of the powerful productivity advantages, economies of scale, and knowledge spillovers such density brings. Ideas flow more freely, are honed more sharply, and can be put into practice more quickly when large numbers of innovators, implementers, and financial backers are in constant contact with one another, both in and out of the office.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
"Those retailers are simply fated to live in the inflexible world of racks and aisles, where products must obey the uncompromising physics of atoms, not bits. One of those unfortunate rules of corporeal matter is that it cannot transcend time and space. Obviously, a physical item can be in only one place at any given time. For instance, a can of tuna cannot exist simultaneously in multiple categories, even though the interests and browsing paths of each shopper might suggest many: “fish,” “canned food,” “sandwich makings,” “low-fat,” “on sale,” “best-selling,” “back-to-school,” “under $2,” and so on. A physical store cannot be reconfigured on the fly to cater to each customer based on his or her particular interests.",The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,[]
