quoteText,bookTitle,bookAuthor,tags
"Vulnerability doesn’t come after trust—it precedes it. Leaping into the unknown, when done alongside others, causes the solid ground of trust to materialize beneath our feet.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
The road to success is paved with mistakes well handled.,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Give a good idea to a mediocre team, and they’ll find a way to screw it up. Give a mediocre idea to a good team, and they’ll find a way to make it better. The goal needs to be to get the team right, get them moving in the right direction, and get them to see where they are making mistakes and where they are succeeding.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Hire people smarter than you. Fail early, fail often. Listen to everyone’s ideas. Face toward the problems. B-level work is bad for your soul. It’s more important to invest in good people than in good ideas.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"When we hear a fact, a few isolated areas of our brain light up, translating words and meanings. When we hear a story, however, our brain lights up like Las Vegas, tracing the chains of cause, effect, and meaning. Stories are not just stories; they are the best invention ever created for delivering mental models that drive behavior.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"As Dave Cooper says, I screwed that up are the most important words any leader can say.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
I’m giving you these comments because I have very high expectations and I know that you can reach them.,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"the number-one job is to take care of each other. I didn’t always know that, but I know it now.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"One misconception about highly successful cultures is that they are happy, lighthearted places. This is mostly not the case. They are energized and engaged, but at their core their members are oriented less around achieving happiness than around solving hard problems together. This task involves many moments of high-candor feedback, uncomfortable truth-telling, when they confront the gap between where the group is, and where it ought to be.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Belonging cues are behaviors that create safe connection in groups. They include, among others, proximity, eye contact, energy, mimicry, turn taking, attention, body language, vocal pitch, consistency of emphasis, and whether everyone talks to everyone else in the group.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
We are all paid to solve problems. Make sure to pick fun people to solve problems with.,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"While successful culture can look and feel like magic, the truth is that it’s not. Culture is a set of living relationships working toward a shared goal. It’s not something you are. It’s something you do.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"You can’t prevent mistakes, but you can solve problems graciously.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"No shortcuts,” “Work hard, be nice,” “Don’t eat the marshmallow,” “Team and family,” “If there’s a problem, we look for the solution,” “Read, baby, read,” “All of us will learn,” “KIPPsters do the right thing when no one is watching,” “Everything is earned,” “Be the constant, not the variable,” “If a teammate needs help, we give; if we need help, we ask,” “No robots,” and “Prove the doubters wrong.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Building purpose in a creative group is not about generating a brilliant moment of breakthrough but rather about building systems that can churn through lots of ideas in order to help unearth the right choices. This is why Catmull has learned to focus less on the ideas than on people—specifically, on providing teams with tools and support to locate paths, make hard choices, and navigate the arduous process together.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"You know the phrase ‘Don’t shoot the messenger’?” Edmondson says. “In fact, it’s not enough to not shoot them. You have to hug the messenger and let them know how much you need that feedback. That way you can be sure that they feel safe enough to tell you the truth next time.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Thinking about your ancestors makes you smarter. A research team led by Peter Fischer found that spending a few minutes contemplating your family tree (as opposed to contemplating a friend, or a shopping list, or nothing at all) significantly boosted performance on tests of cognitive intelligence. Their hypothesis is that thinking about our connections to the group increases our feelings of autonomy and control.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"[Building purpose is...] not as simple as carving a mission statement in granite or encouraging everyone to recite a hymnal of catchphrases. It's a never-ending process of trying, failing, reflecting and above all learning. High-purpose environments don't descend on groups from on high; they are dug out of the ground, over and over, as a group navigates it's problems together and evolves to meet the challenges of a fast-changing world.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,"['culture', 'mission', 'performance']"
"There’s a tendency in our business, as in all businesses, to value the idea as opposed to the person or a team of people,” he says. “But that’s not accurate. Give a good idea to a mediocre team, and they’ll find a way to screw it up. Give a mediocre idea to a good team, and they’ll find a way to make it better. The goal needs to be to get the team right, get them moving in the right direction, and get them to see where they are making mistakes and where they are succeeding.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"Actually, when you look more closely at the sentence, it contains three separate cues: 1. You are part of this group. 2. This group is special; we have high standards here. 3. I believe you can reach those standards. These signals provide a clear message that lights up the unconscious brain: Here is a safe place to give effort.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"This is a different way of thinking about human beings,"" Pentland says. ""Individuals aren't really individuals. They're more like musicians in a jazz quartet, forming a web of unconscious actions and reactions to complement others in the group. You don't look at the informational content of the messages; you look at patterns that show how the message is being sent. Those patterns contain many signals that tell us about the relationship and what's really going on beneath the surface.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"In Conversation, Resist the Temptation to Reflexively Add Value: The most important part of creating vulnerability often resides not in what you say but in what you do not say. This means having the willpower to forgo easy opportunities to offer solutions and make suggestions. Skilled listeners do not interrupt with phrases like Hey, here’s an idea or Let me tell you what worked for me in a similar situation because they understand that it’s not about them. They use a repertoire of gestures and phrases that keep the other person talking. “One of the things I say most often is probably the simplest thing I say,” says Givechi. “ ‘Say more about that.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
"The goal needs to be to get the team right, get them moving in the right direction, and get them to see where they are making mistakes and where they are succeeding.",The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,[]
