quoteText,bookTitle,bookAuthor,tags
"You have people walking around with all the knowledge of humanity on their phone, but they have no idea how to integrate it. We don’t train people in thinking or reasoning.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Modern work demands knowledge transfer: the ability to apply knowledge to new situations and different domains. Our most fundamental thought processes have changed to accommodate increasing complexity and the need to derive new patterns rather than rely only on familiar ones. Our conceptual classification schemes provide a scaffolding for connecting knowledge, making it accessible and flexible.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"If we treated careers more like dating, nobody would settle down so quickly.",Range: Why Generalists Triumph in a Specialized World,David Epstein,"['career', 'dating', 'specialization']"
"The challenge we all face is how to maintain the benefits of breadth, diverse experience, interdisciplinary thinking, and delayed concentration in a world that increasingly incentivizes, even demands, hyperspecialization",Range: How Generalists Triumph in a Specialized World,David Epstein,[]
"Whether chemists, physicists, or political scientists, the most successful problem solvers spend mental energy figuring out what type of problem they are facing before matching a strategy to it, rather than jumping in with memorized procedures.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"The more confident a learner is of their wrong answer, the better the information sticks when they subsequently learn the right answer. Tolerating big mistakes can create the best learning opportunities.*",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
Learning stuff was less important than learning about oneself. Exploration is not just a whimsical luxury of education; it is a central benefit.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
everyone needs habits of mind that allow them to dance across disciplines.,Range: How Generalists Triumph in a Specialized World,David Epstein,[]
"The precise person you are now is fleeting, just like all the other people you’ve been. That feels like the most unexpected result, but it is also the most well documented.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Like chess masters and firefighters, premodern villagers relied on things being the same tomorrow as they were yesterday. They were extremely well prepared for what they had experienced before, and extremely poorly equipped for everything else. Their very thinking was highly specialized in a manner that the modern world has been telling us is increasingly obsolete. They were perfectly capable of learning from experience, but failed at learning without experience. And that is what a rapidly changing, wicked world demands—conceptual reasoning skills that can connect new ideas and work across contexts. Faced with any problem they had not directly experienced before, the remote villagers were completely lost. That is not an option for us. The more constrained and repetitive a challenge, the more likely it will be automated, while great rewards will accrue to those who can take conceptual knowledge from one problem or domain and apply it in an entirely new one.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Our work preferences and our life preferences do not stay the same, because we do not stay the same.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"breadth of training predicts breadth of transfer. That is, the more contexts in which something is learned, the more the learner creates abstract models, and the less they rely on any particular example. Learners become better at applying their knowledge to a situation they’ve never seen before, which is the essence of creativity.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"In a wicked world, relying upon experience from a single domain is not only limiting, it can be disastrous.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Their findings about who these people are should sound familiar by now: ""high tolerance for ambiguity""; ""systems thinkers""; ""additional technical knowledge from peripheral domains""; ""repurposing what is already available""; ""adept at using analogous domains for finding inputs to the invention process""; ""ability to connect disparate pieces of information in new ways""; ""synthesizing information from many different sources""; ""they appear to flit among ideas""; ""broad range of interests""; ""they read more (and more broadly) than other technologists and have a wider range of outside interests""; ""need to learn significantly across domains""; ""Serial innovators also need to communicate with various individuals with technical expertise outside of their own domain.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"The labs in which scientists had more diverse professional backgrounds were the ones where more and more varied analogies were offered, and where breakthroughs were more reliably produced when the unexpected arose.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Instead of asking whether someone is gritty, we should ask when they are. “If you get someone into a context that suits them,” Ogas said, “they’ll more likely work hard and it will look like grit from the outside.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Who do I really want to become?,” their work indicated that it is better to be a scientist of yourself, asking smaller questions that can actually be tested—“Which among my various possible selves should I start to explore now? How can I do that?” Be a flirt with your possible selves.* Rather than a grand plan, find experiments that can be undertaken quickly. “Test-and-learn,” Ibarra told me, “not plan-and-implement.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"First act and then think...We discover the possibilities by doing, by trying new activities, building new networks, finding new role models."" We learn who we are in practice, not in theory.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
Overspecialization can lead to collective tragedy even when every individual separately takes the most reasonable course of action.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"it is difficult to accept that the best learning road is slow, and that doing poorly now is essential for better performance later. It is so deeply counterintuitive that it fools the learners themselves,",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
Almost none of the students in any major showed a consistent understanding of how to apply methods of evaluating truth they had learned in their own discipline to other areas.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"In one of the most cited studies of expert problem solving ever conducted, an interdisciplinary team of scientists came to a pretty simple conclusion: successful problem solvers are more able to determine the deep structure of a problem before they proceed to match a strategy to it. Less successful problem solvers are more like most students in the Ambiguous Sorting Task: they mentally classify problems only by superficial, overtly stated features, like the domain context.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"mental meandering and personal experimentation are sources of power, and head starts are overrated",Range: Why Generalists Triumph in a Specialized World,David Epstein,"['experimentation', 'range', 'specialization']"
"As each man amassed more information for his own view, each became more dogmatic, and the inadequacies in their models of the world more stark.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"We fail...tasks we don't have the guts to quit.""...knowing when to quit is such a strategic advantage that every single person, before undertaking an endeavor should enumerate conditions under which they should quit.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"My inclination is to attack a problem by building a narrative. I figure out the fundamental questions to ask, and if you ask those questions of the people who actually do know their stuff, you are still exactly where you would be if you had all this other knowledge inherently.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
Seeding the soil for generalists and polymaths who integrate knowledge takes more than money. It takes opportunity.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"A separate, international team analyzed more than a half million research articles, and classified a paper as “novel” if it cited two other journals that had never before appeared together. Just one in ten papers made a new combination, and only one in twenty made multiple new combinations. The group tracked the impact of research papers over time. They saw that papers with new knowledge combinations were more likely to be published in less prestigious journals, and also much more likely to be ignored upon publication. They got off to a slow start in the world, but after three years, the papers with new knowledge combos surpassed the conventional papers, and began accumulating more citations from other scientists. Fifteen years after publication, studies that made multiple new knowledge combinations were way more likely to be in the top 1 percent of most-cited papers. To recap: work that builds bridges between disparate pieces of knowledge is less likely to be funded, less likely to appear in famous journals, more likely to be ignored upon publication, and then more likely in the long run to be a smash hit in the library of human knowledge. •",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
AI systems are like savants.” They need stable structures and narrow worlds.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Whether or not experience inevitably led to expertise, they agreed, depended entirely on the domain in question. Narrow experience made for better chess and poker players and firefighters, but not for better predictors of financial or political trends, or of how employees or patients would perform.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"The precise person you are now is fleeting, just like all the other people you’ve been.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Everyone is digging deeper into their own trench and rarely standing up to look in the next trench over, even though the solution to their problem happens to reside there.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"We learn who we are only by living, and not before.",Range: Why Generalists Triumph in a Specialized World,David Epstein,"['career-path', 'inspirational-life']"
"Career goals that once felt safe and certain can appear ludicrous, to use Darwin’s adjective, when examined in the light of more self-knowledge. Our work preferences and our life preferences do not stay the same, because we do not stay the same.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Our greatest strength is the exact opposite of narrow specialization. It is the ability to integrate broadly. According to Gary Marcus, a psychology and neural science professor who sold his machine learning company to Uber, “In narrow enough worlds, humans may not have much to contribute much longer. In more open-ended games, I think they certainly will. Not just games, in open ended real-world problems we’re still crushing the machines.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"The average expert was a horrific forecaster. Their areas of specialty, years of experience, academic degrees, and even (for some) access to classified information made no difference. They were bad at short-term forecasting, bad at long-term forecasting, and bad at forecasting in every domain. When experts declared that some future event was impossible or nearly impossible, it nonetheless occurred 15 percent of the time. When they declared a sure thing, it failed to transpire more than one-quarter of the time.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"...he preferred to view his crew leadership not as decision making, but as sensemaking. ""If I make a decision, it is a possession, I take pride in it. I tend to defend it and not listen to those who question it...If I make sense, then this is more dynamic and I listen and I can change it.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
Specialization is obvious: keep going straight. Breadth is trickier to grow.,Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Compared to other scientists, Nobel laureates are at least twenty-two times more likely to partake as an amateur actor, dancer, magician, or other type of performer. Nationally recognized scientists are much more likely than other scientists to be musicians, sculptors, painters, printmakers, woodworkers, mechanics, electronics tinkerers, glassblowers, poets, or writers, of both fiction and nonfiction. And, again, Nobel laureates are far more likely still.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Don’t end up a clone of your thesis adviser,’” he [Oliver Smithies] told me. 'Take your skills to a place that’s not doing the same sort of thing. Take your skills and apply them to a new problem, or take your problem and try completely new skills.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"All of the strengths-finder stuff, it gives people license to pigeonhole themselves or others in ways that just don’t take into account how much we grow and evolve and blossom and discover new things,",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"learning itself is best done slowly to accumulate lasting knowledge, even when that means performing poorly on tests of immediate progress. That is, the most effective learning looks inefficient; it looks like falling behind.",Range: How Generalists Triumph in a Specialized World,David Epstein,[]
"I propose instead that you don’t commit to anything in the future, but just look at the options available now, and choose those that will give you the most promising range of options afterward.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"While it is undoubtedly true that there are areas that require individuals with Tiger’s precocity and clarity of purpose, as complexity increases—as technology spins the world into vaster webs of interconnected systems in which each individual only sees a small part—we also need more Rogers: people who start broad and embrace diverse experiences and perspectives while they progress. People with range.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"The jazz musician is a creative artist, the classical musician is a re-creative artist.",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
"Mostly, though, students get what economist Bryan Caplan called narrow vocational training for jobs few of them will ever have. Three-quarters of American college graduates go on to a career unrelated to their major—a trend that includes math and science majors—after having become competent only with the tools of a single discipline. One good tool is rarely enough in a complex, interconnected, rapidly changing world. As the historian and philosopher Arnold Toynbee said when he described analyzing the world in an age of technological and social change, “No tool is omnicompetent.” •",Range: Why Generalists Triumph in a Specialized World,David Epstein,[]
