quoteText,bookTitle,bookAuthor,tags
"The number-one corporate objective, when crossing the chasm, is to secure a distribution channel into the mainstream market, one with which the pragmatist customer will be comfortable. This objective comes before revenues, before profits, before press, even before customer satisfaction. All these other factors can be fixed later - but only if the channel is established.",Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,[]
pragmatists are more interested in the market’s response to a product than in the product itself. What,Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"This material focuses primarily on marketing, because that is where the leadership must come from,",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"there is something fundamentally different between a sale to an early adopter and a sale to the early majority, even",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"Chasm crossing is not the end, but rather the beginning, of mainstream market development.",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"When pragmatists buy, they care about the company they are buying from, the quality of the product they are buying, the infrastructure of supporting products and system interfaces, and the reliability of the service they are going to get.",Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,[]
"Oh, to be sure, there are the get-rich dreams that float in and out of idle conversation. But there are much headier rewards closer at hand - the freedom to be your own boss and chart your own course, the chance to explore the leading edge of some new technology, the career-opening opportunity to take on far more responsibility than any established organisation would ever grant. These are what really drive early market organisations to work such long hours for such modest rewards - the dream of getting rich on equity is only an excuse, something to hold on to your family and friends as a rationale for all this otherwise crazy behavior.",Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,[]
the company may be saying “state-of-the-art” when the pragmatist wants to hear “industry standard.,Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"you get installed by the pragmatists as the leader, and from then on, they conspire to help keep you there.",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"Entering the mainstream market is an act of burglary, of breaking and entering, of deception, often even of stealth.",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"customers often bend over backward to give market share leaders second and third chances, bringing cries of anguish from their competitors who would never be granted such grace.",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
"the key to getting beyond the enthusiasts and winning over a visionary is to show that the new technology enables some strategic leap forward, something never before possible, which has an intrinsic value and appeal to the nontechnologist.",Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,[]
