quoteText,bookTitle,bookAuthor,tags
"While exponential growth is a remarkable manifestation of our extraordinary accomplishments as a species, built into it are the potential seeds of our demise and the portent of big troubles just around the next corner.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"A major intent is to show that underlying the extraordinary complexity, diversity, and apparent messiness of the world we live in lies a surprising unity and simplicity when viewed through the lens of scale.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"It is all too often forgotten that the whole point of a city is to bring people together, to facilitate interaction, and thereby to create ideas and wealth, to enhance innovative thinking and encourage entrepreneurship and cultural activity by taking advantage of the extraordinary opportunities that the diversity of a great city offers.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"We need to understand how the dynamics of innovation, technological advances, urbanization, financial markets, social networks, and population dynamics are interconnected and how their evolving interrelationships fuel growth and societal change—and, as manifestations of human endeavors, how they are all integrated into a holistic interacting systemic framework . . . and whether such a dynamically evolving system is ultimately sustainable.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"The late maverick economist Kenneth Boulding perhaps best summed it up when testifying before the U.S. Congress, declaring that “anyone who believes exponential growth can go on forever in a finite world is either a madman or an economist.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"Knowing and being cognizant of the underlying principles and dynamics, seeing the problem in a broad systemic context, thinking quantitatively and analytically, all need to be integrated with the necessarily dominant focus on detail relevant to the specific problem in order to optimize design and minimize unintended consequences.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"With the invention of the city and its powerful combination of economies of scale coupled to innovation and wealth creation came the great divisions of society. Our present social network structures barely existed in their present form until urban communities evolved. Hunter-gatherers were significantly less hierarchical, more egalitarian and community oriented than we are. The struggle and tension between unbridled individual self-enhancement and the care and concern for the less fortunate has been a major thread running throughout human history, especially over the past two hundred years. Nevertheless, it seems that without the motive of self-interest our entrepreneurial free market economy would collapse. The system we have evolved critically relies on people continually wanting new cars and new cell phones, new widgets and gadgets, new clothes and new washing machines, new thrills, new entertainment, and pretty much new everything, even when they already have enough of “everything.” It may not be a pretty picture and it doesn’t work for everyone, but so far, it’s worked remarkably well for most of us, and apparently most of us seem to want it to continue. Whether it can is a topic I’ll return to in the last chapter.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"Many of the most interesting phenomena that we have touched upon fall into this category, including the occurrence of disasters such as earthquakes, financial market crashes, and forest fires. All of these have fat-tail distributions with many more rare events, such as enormous earthquakes, large market crashes, and raging forest fires, than would have been predicted by assuming that they were random events following a classic Gaussian distribution.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"Thus, to avoid collapse a new innovation must be initiated that resets the clock, allowing growth to continue and the impending singularity to be avoided.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"The two dominant components that constitute a city, its physical infrastructure and its socioeconomic activity, can both be conceptualized as approximately self-similar fractal-like network structures.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"But like all excellent, fulfilling and meaningful relationships, it has also occasionally been frustrating and challenging.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
"So in marked contrast to infrastructure, which scales sublinearly with population size, socioeconomic quantities—the very essence of a city—scale superlinearly, thereby manifesting systematic increasing returns to scale.","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life, in Organisms, Cities, Economies, and Companies",Geoffrey West,[]
