quoteText,bookTitle,bookAuthor,tags
"Over the years, I've learned that the first idea you have is irrelevant. It's just a catalyst for you to get started. Then you figure out what's wrong with it and you go through phases of denial, panic, regret. And then you finally have a better idea and the second idea is always the important one.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"the less energy people expend on performance, the more they expend on appearances to compensate.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"The goal - at least the way I think about entrepreneurship - is you realize one day that you can't really work anyone else. You have to start your own thing. It almost doesn't matter what the thing is. We had six different business plan changes, and then the last one was PayPal.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"['perseverance', 'self-employment', 'startups']"
"Paul Buchheit: I'm suddenly reminded that, for a while, I asked people if they were playing Russian Roulette with a gun with a billion barrels (or some huge number, so in other words, some low probability that they would actually be killed), how much would they have to be paid to play one round? A lot of people were almost offended by the question and they'd say, ""I wouldn't do it at any price."" But, of course, we do that everyday. They drive to work in cars to earn money and they are taking risks all the time, but they don't like to acknowledge that they are taking risks. They want to pretend that everything is risk-free.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"['paul-buchheit', 'people', 'risk', 'risks']"
I think there are very few people who have a capacity to see the future. So it can be difficult when you are talking about something where nothing about it exists yet.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Much better to figure out where the marketplace is going to be in a few years, focus on providing a solution to that, and let the market forces catch up to you.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Venture capitalists, with the exception of people like Don Valentine, would tell you that they'd rather fund a great team than a great idea. The reason is that if they have a bad idea, great teams can figure out a better one. Mediocre people even with a great idea can screw it up in its execution. Or if they have a bad idea, then they aren't going to be in a position to think about how to change it. They're just going to pursue it blindly.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Wozniak: Well, we added up to the total everything that was needed. If there was anything that neither one of us knew how to do, Steve would do it. He'd just find a way to do it. He was just gung ho and pressing for this company to be successful. And me, I was pretty much only in my technical head with the circuits.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"I didn't really want to patent it because, for one, I don't like software patents, and, two, if you patent it, you make it public. Even if you don't know someone's infringing, they will still be getting the benefit. Instead, we just chose to keep it a trade secret and not show it to anyone.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"People like the idea of innovation in the abstract, but when you present them with any specific innovation, they tend to reject it because it doesn't fit with what they already know.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Because you'll go through so many changes, I don't think it pays off to overanalyze the first business plan, for example. The first business plan is there to make sure you can use Microsoft Word.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"A startup is a company that builds some kind of technology that people want. The mistake that a lot of founders make is to build something they think users want, but that users don’t actually want."" - Paul Graham",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Livingston: Some aspects of business turned out to be less of a mystery than you had thought. What did you find you were better at than you thought? Graham: I found I could actually sell moderately well. I could convince people of stuff. I learned a trick for doing this: to tell the truth. A lot of people think that the way to convince people of things is to be eloquent—to have some bag of tricks for sliding conclusions into their brains. But there's also a sort of hack that you can use if you are not a very good salesman, which is simply tell people the truth. Our strategy for selling our software to people was: make the best software and then tell them, truthfully, ""this is the best software."" And they could tell we were telling the truth. Another advantage of telling the truth is that you don't have to remember what you've said. You don't have to keep any state in your head. It's a purely functional business strategy. (Hackers will get what I mean.)",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Innovations seem inevitable in retrospect, but at the time it's an uphill battle.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Some famous person said, ""Success is 50 percent luck and 50 percent preparedness for that luck."" I think that's a lot of it. It's being ready to take advantage of opportunities when they arise.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"A company that is not designed to create high-tech products is very unlikely to have the culture or the DNA that it takes to create high-tech products. So if you are a high-tech person in that company, then you're basically a glorified typist in some sense. It's very unlikely that the kind of people who would be successful in an entertainment company would even understand what programmers do that makes them more than typists.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"In big companies, there's always going to be more politics and less scope for individual decisions. But seeing what startups are really like will at least show other organizations what to aim for. The time may soon be coming when instead of startups trying to seem more corporate, corporations will try to seem more like startups. That would be a good thing.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,['startups']
"..determination is the most important quality in a founder, open-mindedness and willingness to change your idea are key, and all startups face rejection at first.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"['determination', 'startups']"
Livingston: What is the key to excellence for an engineer? Wozniak: You have to be very diligent. You have to check every little detail. You have to be so careful that you haven't left something out. You have to think harder and deeper than you normally would.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Apparently sprinters reach their highest speed right out of the blocks, and spend the rest of the race slowing down. The winners slow down the least. It's that way with most startups too. The earliest phase is usually the most productive. That's when they have the really big ideas. Imagine what Apple was like when 100% of its employees were either Steve Jobs or Steve Wozniak.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Pick a big enough project, something that's really hard, something that over the years you can work on.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"when you build only software that you absolutely need, you don't get more software than you'll actually use.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
A lot of the machines that Google is built on—commodity is the polite word for them—they're regular PCs and so they're not always the most reliable.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"['google', 'linux', 'pc', 'server', 'servers', 'startup', 'startups', 'technology']"
"Paul Buchheit: Then you have what we do with PCs, and that's technically pretty challenging—to take this big network of machines that are unreliable and build a big, reliable storage system out of it.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"['google', 'linux', 'paul-buchheit', 'pc', 'server', 'servers', 'startup', 'startups', 'technology']"
"I'd say determination is the single most important quality in a startup founder. If the founders I spoke with were superhuman in any way, it was in their perseverance.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"We need to make sure that we are allowing students to be exposed to future technology and not reducing it to current—what a lot of people would like to say, ""relevant"" teaching.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
you've got to be investing today in what your future's going to be 5 or 10 years out.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
The one thing we learned over 5 years is that nothing works better than just improving your product.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"We had this angry phone conversation where he said something like, ""We've been working on this thing for a whole month, and it's still not finished."" It's funny in retrospect, because we were still working on it 3 years later.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Livingston: Do you remember how you felt when it worked? Graham: I was pretty excited, because it meant we could start a company without having to learn Windows. The prospect of having to write desktop software was horrifying to us, because at the time, writing desktop software meant writing Windows software. Neither of us knew how to write Windows software and we didn't want to learn. It seemed like this huge steaming turd that was best just avoided. So the main thing we thought when we first had the idea of doing web-based applications was, ""Thank God, we don't have to write software on Windows.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Steve did a prepayment on royalties to make sure we had the resources to stay in business,",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Livingston: Why did users like Viaweb? Graham: I think the main thing was that it was easy. Practically all the software in the world is either broken or very difficult to use. So users dread software. They've been trained that whenever they try to install something, or even fill out a form online, it's not going to work. I dread installing stuff, and I have a PhD in computer science. So if you're writing applications for end users, you have to remember that you're writing for an audience that has been traumatized by bad experiences. We worked hard to make Viaweb as easy as it could possibly be, and we had this confidence-building online demo where we walked people through using the software. That was what got us all the users.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"It was just a few million bucks to take us out of our misery, to pay off our loans.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Even though it seems like it's big business and impersonal, and ""they"" take care of it, it really isn't. There is no ""they."" It always comes down to an ""I"" of somebody, and in many cases, it's a principal.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"It's better to be young because you can spend a lot more nights, very, very late. Because you have to get things done, and there's almost no other way to get around that. When the times come, they are critical.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"So we said, ""OK, we'll do Apple Computer."" In those days there was no money yet in this microcomputer business, and big experienced companies and investors, analysts-those kind of people, that are trained in business and much smarter than we were-they didn't think that this was going to be a real big market. They thought it was going to be a little hobby thing, like home robots or ham radios, that a few techie people would get into and really it wasn't going to go to the masses.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Wozniak: Well, actually we never did much in the garage. People think we had a garage where we sat down with soldering irons and we designed stuff. No.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"I intuitively did well when I was leading the whole team, but once we got past 25 people, you can't do that. And so I made a series of classic mistakes in hiring. And not building a good middle management structure. And not recruiting a board that could help me build the company. Big mistakes in picking a successor, big mistakes in having an undisciplined product strategy—I was much more interested in having distinctive, innovative products and thinking about what would make sense for a product line for our business overall—and big mistakes in expanding too fast and not having discipline about what we were doing. So I give myself a C or C– on all that stuff.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Second is, don't try to change user behavior dramatically. If you are expecting people to dramatically change the way they do things, it's not going to happen. Try to make it such that it's a small change, yet an important one.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
You've got to say you are a step ahead of where you actually are to move to the step that you want to be at.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Livingston: In addition to all your responsibilities, you were also starting the Rails project. How did you manage it? Heinemeier Hansson: When you have to do a project like Basecamp and you only have 10 hours a week, you can't spend your time on things that don't produce anything. So you get extremely aware of tools that aren't necessarily helping your productivity and you go seeking tools that can help. That's how I found Ruby. It was such a nice experience for me and a nice productivity booster. I was coming from PHP. I had also looked at Java and other environments and I wasn't finding anything else that would allow me, as a single programmer, to deliver all this stuff.",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
Programmers have not been professionals because they haven't really cared about quality.,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
"Another thing is that we communicate mainly through IM, which is a fairly low-bandwidth way of communicating, so you're not going to disrupt somebody unless you're going to say something that matters. If you meet in person, it's very easy to just talk for 30 minutes, and what was the information exchange actually about?",Founders at Work: Stories of Startups' Early Days,Jessica Livingston,[]
