quoteText,bookTitle,bookAuthor,tags
Competing to be the best feeds on imitation. Competing to be unique thrives on innovation.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Porter defines the value proposition as the answer to three fundamental questions (see figure 4-1): Which customers are you going to serve? Which needs are you going to meet? What relative price will provide acceptable value for customers and acceptable profitability for the company?,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
A common mistake in strategy is to choose the same core competences as everyone else in your industry.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"The first test of a strategy is whether your value proposition is different from your rivals. If you are trying to serve the same customers and meet the same needs and sell at the same relative price, then by Porter’s definition, you don’t have a strategy.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Insight into customers’ needs is important, but it’s not enough. The essence of strategy and competitive advantage lies in the activities, in choosing to perform activities differently or to perform different activities from those of rivals. Each of the companies we’ve just described has done just that, tailoring their value chains to their value propositions.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Instead of competing to be the best, companies can—and should—compete to be unique. This concept is all about value.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Memorizing the five forces won’t make you a better business thinker; it will only help you to sound like one. It matters that you grasp the deeper point: there are a limited number of structural forces at work in every industry that systematically impact profitability in a predictable direction.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"In business, multiple winners can thrive and coexist. Competition focuses more on meeting customers needs than on demolishing rivals. Just look around. Because there are so many needs to serve, there are many ways to win.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Only by competing to be unique can an organization achieve sustained, superior performance.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"The key to competitive success—for businesses and nonprofits alike—lies in an organization’s ability to create unique value. Porter’s prescription: aim to be unique, not best. Creating value, not beating rivals, is at the heart of competition.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Strategy explains how an organization, faced with competition, will achieve superior performance. The definition is deceptively simple.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"In the vast majority of businesses, there is simply no such thing as “the best.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"If rivals all pursue the “one best way” to compete, they will find themselves on a collision course.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"The five forces framework explains the industry’s average prices and costs, and therefore the average industry profitability you are trying to beat.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Strategic competition means choosing a path different from that of others.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Powerful buyers will force prices down or demand more value in the product, thus capturing more of the value for themselves.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Substitutes—products or services that meet the same basic need as the industry’s product in a different way—put a cap on industry profitability.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Entry barriers protect an industry from newcomers who would add new capacity.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"If rivalry is intense, companies compete away the value they create, passing it on",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"The essence of strategy,” Porter often says, “is choosing what not to do.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"Strategy explains how an organization, faced with competition, will achieve superior performance.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"A strategic positioning, especially when it has a high degree of focus, is sometimes seen as carving out a “niche.” The implication of that word is that the market opportunity is small. Although this may sometimes be the case, even focused competitors can be very large. In the case of Southwest, what initially looked like a narrow niche has revolutionized the airline industry.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
The real point of competition is not to beat your rivals. It’s not about winning a sale. The point is to earn profits.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
disruptive technology will invalidate the assets of the current generation of industry leaders. Digital,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
