quoteText,bookTitle,bookAuthor,tags
We don’t hire smart people to tell them what to do. We hire smart people so they can tell us what to do. —Steve Jobs,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"Bad companies,” Andy wrote, “are destroyed by crisis. Good companies survive them. Great companies are improved by them.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"When people have conflicting priorities or unclear, meaningless, or arbitrarily shifting goals, they become frustrated, cynical, and demotivated.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"We must realize—and act on the realization—that if we try to focus on everything, we focus on nothing.",Measure What Matters,John Doerr,[]
"Leaders must get across the why as well as the what. Their people need more than milestones for motivation. They are thirsting for meaning, to understand how their goals relate to the mission.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"Early on in your career, when you’re an individual contributor, you’re graded on the volume and quality of your work. Then one day, all of a sudden, you’re a manager. Let’s assume you do well and move up to manage more and more people. Now you’re no longer paid for the amount of work you do; you’re paid for the quality of decisions you make.",Measure What Matters,John E. Doerr,[]
"Then come the four OKR “superpowers”: focus, align, track, and stretch.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"An effective goal-setting system starts with disciplined thinking at the top, with leaders who invest the time and energy to choose what counts.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"Here are some reflections for closing out an OKR cycle: Did I accomplish all of my objectives? If so, what contributed to my success? If not, what obstacles did I encounter? If I were to rewrite a goal achieved in full, what would I change? What have I learned that might alter my approach to the next cycle’s OKRs?","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"As Jim Collins observes in Good to Great, first you need to get “the right people on the bus, the wrong people off the bus, and the right people in the right seats.” Only then do you turn the wheel and step on the gas.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"But exactly how do you build engagement? A two-year Deloitte study found that no single factor has more impact than “clearly defined goals that are written down and shared freely. . . . Goals create alignment, clarity, and job satisfaction.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"Contributors are most engaged when they can actually see how their work contributes to the company’s success. Quarter to quarter, day to day, they look for tangible measures of their achievement. Extrinsic rewards—the year-end bonus check—merely validate what they already know. OKRs speak to something more powerful, the intrinsic value of the work itself.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
There are so many people working so hard and achieving so little.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"If the heart doesn't find a perfect rhyme with the head, then your passion means nothing.",Measure What Matters,John Doerr,"['bono', 'head', 'heart', 'magic', 'okr', 'passion', 'rhyme']"
"Acute focus, open sharing, exacting measurement, a license to shoot for the moon—these are the hallmarks of modern goal science.",Measure What Matters,John Doerr,['goal-setting']
"KEY RESULTS benchmark and monitor HOW we get to the objective. Effective KRs are specific and time-bound, aggressive yet realistic. Most of all, they are measurable and verifiable. (As prize pupil Marissa Mayer would say, “It’s not a key result unless it has a number.”)","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
There are so many people working so hard and achieving so little. —Andy Grove,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"OKRs are big, not incremental—we don’t expect to hit all of them. (If we do, we’re not setting them aggressively enough.) We grade them with a color scale to measure how well we did: 0.0–0.3 is red 0.4–0.6 is yellow 0.7–1.0 is green","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
He wanted people at Google to be “uncomfortably excited.” He wanted us to have “a healthy disregard for the impossible.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"An OBJECTIVE, I explained, is simply WHAT is to be achieved, no more and no less. By definition, objectives are significant, concrete, action oriented, and (ideally) inspirational. When properly designed and deployed, they’re a vaccine against fuzzy thinking—and fuzzy execution. KEY RESULTS benchmark and monitor HOW we get to the objective. Effective KRs are specific and time-bound, aggressive yet realistic. Most of all, they are measurable and verifiable. (As prize pupil Marissa Mayer would say, “It’s not a key result unless it has a number.”) You either meet a key result’s requirements or you don’t; there is no gray area, no room for doubt.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"as Larry Page says, “If you set a crazy, ambitious goal and miss it, you’ll still achieve something remarkable.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"Where an objective can be long-lived, rolled over for a year or longer, key results evolve as the work progresses.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"Learning “from direct experience,” a Harvard Business School study found, “can be more effective if coupled with reflection—that is, the intentional attempt to synthesize, abstract, and articulate the key lessons taught by experience.” The philosopher and educator John Dewey went a step further: “We do not learn from experience . . . we learn from reflecting on experience.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
Innovation tends to dwell less at the center of an organization than at its edges,Measure What Matters,John Doerr,[]
What are you working on? How are you doing; how are your OKRs coming along? Is there anything impeding your work? What do you need from me to be (more) successful? How do you need to grow to achieve your career goals?,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"standout performance correlated to affirmative responses to these five questions: Structure and clarity: Are goals, roles, and execution plans on our team clear? Psychological safety: Can we take risks on this team without feeling insecure or embarrassed? Meaning of work: Are we working on something that is personally important for each of us? Dependability: Can we count on each other to do high-quality work on time? Impact of work: Do we fundamentally believe that the work we’re doing matters?","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"You’re not going to get the system just right the first time around. It’s not going to be perfect the second or third time, either. But don’t get discouraged. Persevere. You need to adapt it and make it your own.” Commitment feeds on itself. Stay the course with OKRs, as I know firsthand, and you will reap amazing benefits.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"For anyone striving for high performance in the workplace, goals are very necessary things.",Measure What Matters,John Doerr,['goal-setting']
"Less is more. “A few extremely well-chosen objectives,” Grove wrote, “impart a clear message about what we say ‘yes’ to and what we say ‘no’ to.” A limit of three to five OKRs per cycle leads companies, teams, and individuals to choose what matters most. In general, each objective should be tied to five or fewer key results. (See chapter 4, “Superpower #1: Focus and Commit to Priorities.”) Set goals from the bottom up. To promote engagement, teams and individuals should be encouraged to create roughly half of their own OKRs, in consultation with managers. When all goals are set top-down, motivation is corroded. (See chapter 7, “Superpower #2: Align and Connect for Teamwork.”) No dictating. OKRs are a cooperative social contract to establish priorities and define how progress will be measured. Even after company objectives are closed to debate, their key results continue to be negotiated. Collective agreement is essential to maximum goal achievement. (See chapter 7, “Superpower #2: Align and Connect for Teamwork.”) Stay flexible. If the climate has changed and an objective no longer seems practical or relevant as written, key results can be modified or even discarded mid-cycle. (See chapter 10, “Superpower #3: Track for Accountability.”) Dare to fail. “Output will tend to be greater,” Grove wrote, “when everybody strives for a level of achievement beyond [their] immediate grasp. . . . Such goal-setting is extremely important if what you want is peak performance from yourself and your subordinates.” While certain operational objectives must be met in full, aspirational OKRs should be uncomfortable and possibly unattainable. “Stretched goals,” as Grove called them, push organizations to new heights. (See chapter 12, “Superpower #4: Stretch for Amazing.”) A tool, not a weapon. The OKR system, Grove wrote, “is meant to pace a person—to put a stopwatch in his own hand so he can gauge his own performance. It is not a legal document upon which to base a performance review.” To encourage risk taking and prevent sandbagging, OKRs and bonuses are best kept separate. (See chapter 15, “Continuous Performance Management: OKRs and CFRs.”) Be patient; be resolute. Every process requires trial and error. As Grove told his iOPEC students, Intel “stumbled a lot of times” after adopting OKRs: “We didn’t fully understand the principal purpose of it. And we are kind of doing better with it as time goes on.” An organization may need up to four or five quarterly cycles to fully embrace the system, and even more than that to build mature goal muscle.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
It almost doesn’t matter what you know. It’s what you can do with whatever you know or can acquire and actually accomplish [that] tends to be valued here.” Hence the company’s slogan: “Intel delivers.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"If you set a crazy, ambitious goal and miss it, you’ll still achieve something remarkable.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"Divorce compensation (both raises and bonuses) from OKRs. These should be two distinct conversations, with their own cadences and calendars. The first is a backward-looking assessment, typically held at year’s end. The second is an ongoing, forward-looking dialogue between leaders and contributors. It centers on five questions: What are you working on? How are you doing; how are your OKRs coming along? Is there anything impeding your work? What do you need from me to be (more) successful? How do you need to grow to achieve your career goals?","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
KEY RESULTS (AS MEASURED BY . . .) Deliver five benchmarks. Develop a demo. Develop sales training materials for the field force. Call on three customers to prove the material works.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"If an objective is well framed, three to five KRs will usually be adequate to reach it.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"For the Chrome project, we created a sub-OKR to turbocharge JavaScript. The goal was to make applications on the web work as smoothly as downloads on a desktop. We set a moonshot goal of 10x improvement and named the project “V8,” after the high-performance car engine. We were fortunate to find a Danish programmer named Lars Bak, who’d built virtual machines for Sun Microsystems and held more than a dozen patents. Lars is one of the great artists in his field. He came to us and said, without an ounce of bravado, “I can do something that is much, much faster.” Within four months, he had JavaScript running ten times as fast as it ran on Firefox. Within two years, it was more than twenty times faster—incredible progress. (Sometimes a stretch goal is not as wildly aspirational as it may seem. As Lars later told Steven Levy in In the Plex, “We sort of underestimated what we could do.”)","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
(Wrong decisions can be corrected once results begin to roll in. Nondecisions—or hastily abandoned ones—teach us nothing.),"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"Or as Larry Page would say, winning organizations need to “put more wood behind fewer arrows.",Measure What Matters,John E. Doerr,[]
"The best way to solve a management problem, he believed, was through “creative confrontation”—by facing people “bluntly, directly, and unapologetically.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"You can tell people to clean up a mess, but should you be telling them which broom to use? When top management was saying “We’ve got to crush Motorola!” somebody at the bottom might have said “Our benchmarks are lousy; I think I’ll write some better benchmarks.” That was how we worked.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
"So I’d come to a philosophy, my mantra: Ideas are easy. Execution is everything.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John E. Doerr,[]
"You know, in our business we have to set ourselves uncomfortably tough objectives, and then we have to meet them. And then after ten milliseconds of celebration we have to set ourselves another [set of] highly difficult-to-reach objectives and we have to meet them. And the reward of having met one of these challenging goals is that you get to play again.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
We do not learn from experience . . . we learn from reflecting on experience.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
Stretch goals can be crushing if people don’t believe they’re achievable.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,[]
