quoteText,bookTitle,bookAuthor,tags
People think focus means saying yes to the thing you’ve got to focus on. But that’s not what it means at all. It means saying no to the hundred other good ideas that there are. You have to pick carefully. I’m actually as proud of the things we haven’t done as the things we have done. Innovation is saying no to a thousand things.,Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"I didn’t think of Steve in terms of being nice or mean, approving or disapproving. He was simply being straight with me. The relationship we would have over the years ahead would always remain that simple. Steve didn’t like Complexity in his working relationships any more than he liked extra buttons on his iPod.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
It should now be considered a basic law of commerce: Simplicity attracts.,Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"His bottom line was that the ship had to be moving forward every day. If you weren’t helping, that’s when you got in trouble.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"he was just being himself, and I was happy that at least the ice was broken, even though part of my ego was broken as well.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"When process is king, ideas will never be. It takes only Common Sense to recognize that the more layers you add to a process, the more watered down the final work will become.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"Think Brutal.No need to be mean, just brutally honest—and avoid the partial truths while you’re at it. Ask those you interact with to do the same. People will be more focused, more positive, and more productive when they don’t have to guess what you’re thinking. Positive or negative, make honesty the basis of all interactions. You’ll avoid wasting valuable time and energy later.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"Think Small. Swear allegiance to the concept of small groups of smart people. Remember it well when new project groups are formed. This is a key component of Simplicity, and you must become its champion. Small groups of smart people deliver better results, higher efficiency, and improved morale. Also, look suspiciously at any project plan that doesn’t include the regular participation of the final decision maker. It’s critical. Having the decision maker appear at the very end of the process to say yea or nay is a recipe for frustration and mediocrity.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"Think Minimal. Be mindful of the fact that every time you attempt to communicate more than one thing, you’re splintering the attention of those you’re talking to—whether they’re customers or colleagues. If it’s necessary to deliver multiple messages, find a common theme that unites them all and push hard on that idea. You want people to remember what you say—and the more you cram into your communication, the more difficult you make it for them. Remember that a sea of choices is no choice at all. The more you can minimize your proposition, the more attractive it will be.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"Think Motion. The perfect project timeline is only slightly less elusive than the Holy Grail. It takes some effort to figure it out, but once you do, you’ll have created a template that promotes success. You may not be the person tasked with creating timelines, but you can try to influence those who are. This is the kind of thing that most people just accept, but they shouldn’t. The right timing is as important as the right people. Always be wary of the “comfortable” timeline—it’s just a fact of life that a degree of pressure keeps things moving ahead with purpose. With too much time in the schedule, you’re just inviting more opinions, and more opportunities to have your ideas nibbled to death. Keep things in motion at all times.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
"Think Iconic. Even if you’re not in the marketing biz, it will serve you well to crystallize your thinking by leveraging an image that can symbolize your idea, or the spirit of it. And if you are in the marketing business, you’re simply required by law to think this way. Whatever presentations you make, whatever products you sell, whomever you’re trying to convince—never forget the power of an image to galvanize your audience. Note that there’s a big difference between finding a great image and decorating a PowerPoint presentation. There’s too much decorating in the world already, and for the most part it’s meaningless. Find a conceptual image that actually captures the essence of your idea. Be simple and be strong. The same principle applies whether you’re talking to colleagues or to the public. Over time, a conceptual image gives people an easy way to identify your company, your idea or your product. Memorable images often communicate more effectively than words—which is why those who value Simplicity tend to rely on them.",Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,[]
