quoteText,bookTitle,bookAuthor,tags
"If you’re achieving all your goals, you’re not setting them aggressively enough.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"If your goals are ambitious and crazy enough, even failure will be a pretty good achievement.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
All it takes is a belief that people are fundamentally good—and enough courage to treat your people like owners instead of machines. Machines do their jobs; owners do whatever is needed to make their companies and teams successful. People spend,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"So we ran the experiment. For a period of time, in our control groups of Googlers, people who were nominated for cash awards continued to receive them. In our experimental groups, nominated winners received trips, team parties, and gifts of the same value as the cash awards they would have received. Instead of making public stock awards, we sent teams to Hawaii. Instead of smaller awards, we provided trips to health resorts, blowout team dinners, or Google TVs for the home. The result was astounding. Despite telling us they would prefer cash over experiences, the experimental group was happier. Much happier. They thought their awards were 28 percent more fun, 28 percent more memorable, and 15 percent more thoughtful. This was true whether the experience was a team trip to Disneyland (it turns out most adults are still kids on the inside) or individual vouchers to do something on their own. And they stayed happier for a longer period of time than Googlers who received money. When resurveyed five months later, the cash recipients’ levels of happiness with their awards had dropped by about 25 percent. The experimental group was even happier about the award than when they received it. The joy of money is fleeting, but memories last forever.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Micromanagement is mismanagement. … [P]eople micromanage to assuage their anxieties about organizational performance: they feel better if they are continuously directing and controlling the actions of others—at heart, this reveals emotional insecurity on their part. It gives micromanagers the illusion of control (or usefulness). Another motive is lack of trust in the abilities of staff—micromanagers do not believe that their colleagues will successfully complete a task or discharge a responsibility even when they say they will.”108",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"How many people would you trade for your very best performer? If the number is more than five, you’re probably underpaying your best person. And if it’s more than ten, you’re almost certainly underpaying.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"So what is Adam’s insight? Having workers meet the people they are helping is the greatest motivator, even if they only meet for a few minutes. It imbues one’s work with a significance that transcends careerism or money.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Work is far less meaningful and pleasant than it needs to be because well-intentioned leaders don’t believe, on a primal level, that people are good. Organizations build immense bureaucracies to control their people. These control structures are an admission that people can’t be trusted. Or at best, they suggest that one’s baser nature can be controlled and channeled by some enlightened figure with the wisdom to know what is best.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Put simply, because many professionals are almost always successful at what they do, they rarely experience failure. And because they have rarely failed, they have never learned how to learn from failure. … [T]hey become defensive, screen out criticism, and put the “blame” on anyone and everyone but themselves. In short, their ability to learn shuts down precisely at the moment they need it the most.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
The focus on process rather than purpose creates an insidious opportunity for sly employees to manipulate the system.,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Companies then turn vice into virtue by bragging about how much they spend on training. But since when is spending a measure of quality results? Do people boast, “I’m in great shape—I spent $500 on my gym membership this month?” The presence of a huge training budget is not evidence that you’re investing in your people. It’s evidence that you failed to hire the right people to begin with.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Googlers working in engineering or product management can nominate themselves for promotion.xlv Interestingly enough, we found that women are less likely to nominate themselves for promotion, but that when they do, they are promoted at slightly higher rates than men.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Senior executives shouldn’t be wasting time debating whether the best background color for an ad is yellow or blue. Just run an experiment. This leaves management free to worry about the stuff that is hard to quantify, which is usually a much better use of their time.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Ujjwal Singh, Steve Crossan, and Abdel Karim Mardini partnered with engineers from Twitter following the Egyptian government’s shutdown of the Internet in early 2011 to create Speak2Tweet, a product that takes messages from a voice mailbox and transcribes them into Tweets broadcast around the world.35 This gave Egyptians a way to communicate en masse with the world and, by dialing into the voice mailbox, to listen to one another.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"if you believe people are fundamentally good and worthy of trust, you must be honest and transparent with them. That includes telling them when they are lagging behind in their performance. But having a mission-driven, purposeful workplace also requires that you approach people with sensitivity.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"A billion hours ago, modern Homo sapiens emerged. A billion minutes ago, Christianity began. A billion seconds ago, the IBM personal computer was released. A billion Google searches ago… was this morning. —HAL VARIAN, GOOGLE’S CHIEF ECONOMIST, DECEMBER 20, 2013",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"The very best people aren’t out there looking for work. Great-performing people are happy and being amply rewarded where they are today. They don’t occur to people as referrals, because why would you bother referring someone who is happy at their current job?",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
The pedigree of your college education matters far less than what you have accomplished.,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"We have an embarrassingly simple solution. Never have the conversations at the same time. Annual reviews happen in November, and pay discussions happen a month later. Everyone at Google is eligible for stock grants, but those decisions are made a further six months down the line.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Building an exceptional team or institution starts with a founder. But being a founder doesn’t mean starting a new company. It is within anyone’s grasp to be the founder and culture-creator of their own team, whether you are the first employee or joining a company that has existed for decades.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"When people gather together in unexpected ways, it inevitably spurs innovation—the third goal driving our programs. Amazon lists 54,950 books on innovation for sale, presenting many competing and often conflicting theories. Google, of course, has a number of approaches, but the most salient one is the way we use our benefits and also our environment to increase the number of “moments of serendipity” that spark creativity.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"Ronald Burt, a sociologist at the University of Chicago, has shown that innovation tends to occur in the structural holes between social groups. These could be the gaps between business functional units, teams that tend not to interact, or even the quiet person at the end of the conference table who never says anything. Burt has a delicious way of putting it: “People who stand near the holes in a social structure are at higher risk of having good ideas.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
"But without state-approved syllabi and standardized testing, my education can only go so far.",Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,[]
