quoteText,bookTitle,bookAuthor,tags
Companies with strong product-driven or engineering cultures tend to be the ones that develop feature shocks. Firms with a culture of playing it safe and avoiding big risks typically suffer minivations. Hidden gems most often afflict companies that coddle the core business. And undeads are born in firms whose top-down cultures discourage feedback and criticism from below. Let,Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"Starting with the customer, market, and price is the only approach for product success.” —",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"When most people hear the word “price,” they think of a number. That's a price point. When we use the term price, we are trying to get at something more fundamental. We want to understand the perceived value that the innovation holds for the customer.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
More specifically the typical process steps are as follows: Hypothesis development: Innovation teams start with identifying the white space. They ask questions like “Where can we create and deliver differentiated value?” and “Which markets are underserved?,Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"Internal refinement: A cross-functional group of internal experts comes together to refine and pressure test the hypotheses. These discussions bring together teams like marketing, sales, pricing, and product design. Initial customer validation: The team then starts validating product-market fit, perceived value, and WTP with target markets. Methods used include value trade-offs, ideal package (i.e. product configuration) creation, unaided WTP, and purchase probability (as outlined in Chapter 4). This typically occurs prior to writing any code. The gut-check: The concept must then pass an internal “smell test.” The team typically pitches the product concept to LinkedIn",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"If your customers perceive your discount as signaling a lack of confidence in your product's value, they may not want to buy it at any price.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"If you are losing a high percentage of deals or your sales greatly and consistently deviate from your target plan, or if the sales force complains that price is the only reason they're losing deals, you could have a sales training problem. Or you may have to revisit your pricing guidance.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"By the way, be prepared to learn that your price might not be high enough. The number of escalated deals is an important KPI here. Having too few escalated deals could indicate the sales team is finding it too easy to sell. You need to ask yourself whether you priced your product high enough.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"Price Wars: The Only Winning Move Is Not to Play Price wars are about seeing who can lower prices the most. You don't want to start one, and you don't want to be the first one to move. Ultimately, a price war has only one winner: the supplier with the lowest cost. Most likely, that's not you.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
price is both an indication of what customers value and a measure of how much they are willing to pay for that value. Porsche,Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
"These firms must get comfortable with the idea of giving their low-price segment only basic quality and service levels, rather than giving them everything. In other words, product configuration requires the guts to take away features.",Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,[]
