quoteText,bookTitle,bookAuthor,tags
"As you get older, if you’re at all self-aware, you learn two important things about yourself: what you like, and what you’re good at. Anyone who gets to spend his day doing both of those things is a lucky man.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"Nolan Bushnell, the co-founder of Atari, once said something that has always resonated with me. “Everyone who has taken a shower has had an idea,” he said. “But it’s the people who get out of the shower, towel off, and do something about it that make the difference.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"You see, a startup is a lonely place. You are working on something that no one believes in, that you’ve been told time and time again will never work. It’s you against the world. But the reality is that you can’t really do it on your own. You need to enlist help. Bring others around to your way of thinking. Let them share in your enthusiasm.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
you're going to get things wrong. you just don't want to get the same things wrong twice.,That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"What do they all say? That will never work. By now, I hope you know what my answer to that line is. Nobody Knows Anything. I only get to write this book once. And I’d feel like I missed an opportunity if I ended this story without giving you some advice. The most powerful step that anyone can take to turn their dreams into reality is a simple one: you just need to start. The only real way to find out if your idea is a good one is to do it. You’ll learn more in one hour of doing something than in a lifetime of thinking about it. So take that step. Build something, make something, test something, sell something. Learn for yourself if your idea is a good one. What happens if your idea doesn’t work? What happens if your test fails, if nobody orders your product or joins your club? What if sales don’t go up and customer complaints don’t go down? What if you get halfway through writing your novel and get writer’s block? What if after dozens of tries – even hundreds of attempts – you still haven’t seen your dream become anything close to real? You have to learn to love the problem, not the solution. That’s how you stay engaged when things take longer than you expected.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"Epiphanies are rare. And when they appear in origin stories, they're often oversimplified or just plain false. We like these tales because they align with a romantic idea about inspiration and genius",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
everyone is aligned when the wind is blowing the right way. it's when a storm comes up that all of a sudden it becomes apparent that people have different goals and objectives,That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
Real innovation comes not from top-down pronouncements and narrowly defined tasks. It comes from hiring innovators focused on the big picture who can orient themselves within a problem and solve it without having their hand held the whole time. We call it being loosely coupled but tightly aligned.,That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"Truths like: Distrust epiphanies. The best ideas rarely come on a mountaintop in a flash of lightning. They don’t even come to you on the side of a mountain, when you’re stuck in traffic behind a sand truck. They make themselves apparent more slowly, gradually, over weeks and months. And in fact, when you finally have one, you might not realize it for a long time.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
"Epiphanies are rare. And when they appear in origin stories, they’re often oversimplified or just plain false. We like these tales because they align with a romantic idea about inspiration and genius. We want our Isaac Newtons to be sitting under the apple tree when the apple falls. We want Archimedes in his bathtub. But the truth is usually more complicated than that. The truth is that for every good idea, there are a thousand bad ones. And sometimes it can be hard to tell the difference.",That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,[]
