quoteText,bookTitle,bookAuthor,tags
"Team Topologies provides four fundamental team types—stream-aligned, platform, enabling, and complicated-subsystem—and three core team interaction modes—collaboration, X-as-a-Service, and facilitating.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"When cognitive load isn’t considered, teams are spread thin trying to cover an excessive amount of responsibilities and domains. Such a team lacks bandwidth to pursue mastery of their trade and struggles with the costs of switching contexts.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"To avoid the too-common trap of building a platform disconnected from the needs of teams, it is essential to ensure that the platform teams have a focus on user experience (UX) and particularly developer experience (DevEx).",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"As Allan Kelly says, “software developers love building platforms and, without strong product management input, will create a bigger platform than needed.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
The most important part of the platform is that it is built for developers.”21,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"The purpose of a platform team is to enable stream-aligned teams to deliver work with substantial autonomy. The stream-aligned team maintains full ownership of building, running, and fixing their application in production. The platform team provides internal services to reduce the cognitive load that would be required from stream-aligned teams to develop these underlying services.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"However, it is not sufficient to simply choose a team boundary a single time and expect no further changes; instead, organizations must anticipate the need for evolution of team patterns to meet business, organizational, market, technological, and personnel needs.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"Loose coupling—components do not hold strong dependencies on other components ​•​High cohesion—components have clearly bounded responsibilities, and their internal elements are strongly related ​•​Clear and appropriate version compatibility ​•​Clear and appropriate cross-team testing",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"Developing and operating software effectively for modern, interconnected systems and services requires organizations to consider many different dimensions. Historically, most organizations have seen software development as a kind of manufacturing to be completed by separate individuals arranged into functional specialties, with large projects planned up front and with little consideration for sociotechnical dynamics. This led to the prevailing problems depicted in Figure 1.2 on page 12.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
These capabilities include (but are not restricted to): ​•​Application security ​•​Commercial and operational viability analysis ​•​Design and architecture ​•​Development and coding ​•​Infrastructure and operability ​•​Metrics and monitoring ​•​Product management and ownership ​•​Testing and quality assurance ​•​User experience (UX),Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
"In this multi-channel, highly connected context, a “product” can mean very different things, making it hard to understand what the responsibilities of a “product team” are.",Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,[]
