quoteText,bookTitle,bookAuthor,tags
"This is why, in a nutshell, advice is overrated. I can tell you something, and it’s got a limited chance of making its way into your brain’s hippocampus, the region that encodes memory. If I can ask you a question and you generate the answer yourself, the odds increase substantially.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"If this were a haiku rather than a book, it would read: Tell less and ask more. Your advice is not as good As you think it is.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
The essence of strategy is choosing what not to do.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Five times a second, at an unconscious level, your brain is scanning the environment around you and asking itself: Is it safe here? Or is it dangerous?","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
You have to help people do more of the work that has impact and meaning.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
help create the space for people to have those learning moments.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Being busy is a form of laziness—lazy thinking and indiscriminate action,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"WITHOUT A GOOD QUESTION, A GOOD ANSWER HAS NO PLACE TO GO.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Coaching for performance is about addressing and fixing a specific problem or challenge. It’s putting out the fire or building up the fire or banking the fire. It’s everyday stuff, and it’s important and necessary. Coaching for development is about turning the focus from the issue to the person dealing with the issue, the person who’s managing the fire. This conversation is more rare and significantly more powerful.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Winston Churchill said that “we shape our buildings; and thereafter they shape us.” We,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Michael Porter’s best, when he said, “The essence of strategy is choosing what not to do.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Stop offering advice with a question mark attached. That doesn't count as asking a question,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"When you build a coaching habit, you can more easily break out of three vicious circles that plague our workplaces: creating overdependence, getting overwhelmed and becoming disconnected.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"though it accounts for only about 2 percent of your body weight, your brain uses about 20 percent of your energy.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"People don’t really learn when you tell them something. They don’t even really learn when they do something. They start learning, start creating new neural pathways, only when they have a chance to recall and reflect on what just happened.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"To build an effective new habit, you need five essential components: a reason, a trigger, a micro-habit, effective practice, and a p","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"You already know it’s hard to change old ways of behaving, however good your intentions. Or is it just me who has: sworn not to check email first thing in the morning, and nonetheless found myself in the wee small hours, my face lit by that pale screen glow; intended to find inner peace through the discipline of meditation, yet couldn’t find five minutes to just sit and breathe, sit and breathe; committed to take a proper lunch break, and somehow found myself shaking the crumbs out of my keyboard, evidence of sandwich spillage; or decided to abstain from drinking for a while, and yet had a glass of good Australian shiraz mysteriously appear in my hand at the end of the day?","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Self-Management If you can read just one book on motivation—yours and others: Dan Pink, Drive If you can read just one book on building new habits: Charles Duhigg, The Power of Habit If you can read just one book on harnessing neuroscience for personal change: Dan Siegel, Mindsight If you can read just one book on deep personal change: Lisa Lahey and Bob Kegan, Immunity to Change If you can read just one book on resilience: Seth Godin, The Dip Organizational Change If you can read just one book on how organizational change really works: Chip and Dan Heath, Switch If you can read just two books on understanding that change is a complex system: Frederic Laloux, Reinventing Organizations Dan Pontefract, Flat Army Hear interviews with FREDERIC LALOUX, DAN PONTEFRACT, and JERRY STERNIN at the Great Work Podcast. If you can read just one book on using structure to change behaviours: Atul Gawande, The Checklist Manifesto If you can read just one book on how to amplify the good: Richard Pascale, Jerry Sternin and Monique Sternin, The Power of Positive Deviance If you can read just one book on increasing your impact within organizations: Peter Block, Flawless Consulting Other Cool Stuff If you can read just one book on being strategic: Roger Martin and A.G. Lafley, Playing to Win If you can read just one book on scaling up your impact: Bob Sutton and Huggy Rao, Scaling Up Excellence If you can read just one book on being more helpful: Edgar Schein, Helping Hear interviews with ROGER MARTIN, BOB SUTTON, and WARREN BERGER at the Great Work Podcast. If you can read just two books on the great questions: Warren Berger, A More Beautiful Question Dorothy Strachan, Making Questions Work If you can read just one book on creating learning that sticks: Peter Brown, Henry Roediger and Mark McDaniel, Make It Stick If you can read just one book on why you should appreciate and marvel at every day, every moment: Bill Bryson, A Short History of Nearly Everything If you can read just one book that saves lives while increasing impact: Michael Bungay Stanier, ed., End Malaria (All money goes to Malaria No More; about $400,000 has been raised so far.) IF THERE ARE NO STUPID QUESTIONS, THEN WHAT KIND OF QUESTIONS DO STUPID PEOPLE ASK?","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
But a Yes is nothing without the No that gives it boundaries and form.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"even though we don’t really know what the issue is, or what’s going on for the person, we’re quite sure we’ve got the answer she needs.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"five types of triggers: location, time, emotional state, other people, and the immediately preceding action. You","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"One of the laws of change: As soon as you try something new, you’ll get resistance.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
What will you say No to if you’re truly saying Yes to this?,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"The Drama Triangle, a practical interpretation of TA developed by Stephen Karpman M.D., is one way to make TA practical and useful. The Drama Triangle starts by assuming that, at least some of the time, we’re playing less-than-fantastic versions of ourselves with most of the people with whom we interact. If you’ve ever found yourself playing one of the Seven Dysfunctional Dwarfs (Sulky, Moany, Shouty, Crabby, Martyr-y, Touchy and Petulant), even when you know you should know better, you get the point. When this happens, Karpman says, we’re bouncing around between three archetypal roles—Victim, Persecutor and Rescuer—each one as unhelpful and dysfunctional as the other.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Even Dilbert mocks coaching—and there’s no surer sign of mainstream success than that.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Part of what makes the Focus Question work so well are those two final words, “for you.” A 1997 study involving a fairly convoluted series of math problems focused on the impact of having the word “you” as part of a math problem’s description. The researchers found that when the word “you” was present, the questions needed to be repeated fewer times, and the problems were solved in a shorter amount of time and with more accuracy.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Samuel Beckett put it best: “Go on failing. Go on. Only next time, try to fail better.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Your job as a manager and a leader is to help create the space for people to have those learning moments.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Eisenhower who said, “Plans are useless, but planning is indispensable,","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"You want your people to feel that working with you is a place of reward, not risk.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Winston Churchill said that people “occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing ever happened.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
WE LIVE IN THE WORLD OUR QUESTIONS CREATE. David Cooperrider,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
ANSWERS ARE CLOSED ROOMS; AND QUESTIONS ARE OPEN DOORS THAT INVITE US IN. Nancy Willard,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"The simple act of adding “for you” to the end of as many questions as possible is an everyday technique for making conversations more development- than performance-oriented. Yes, the problems still get sorted out. But with “for you” there’s often additional personal insight, and with personal insight comes increased growth and capability.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"George Bernard Shaw was on to something years ago when one of his maxims for revolutionaries stated, “The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"a Duke University study says that at least 45 percent of our waking behaviour is habitual. Although we’d like to think we’re in charge, it turns out that we’re not so much controlling how we act with our conscious mind as we are being driven by our subconscious or unconscious mind. It’s amazing; also, it’s a little disturbing.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
John. He’s a nightmare. Never before have I met someone who suffers more acutely from SOS: Shiny Object Syndrome. He’s so scattered that it’s like working with confetti.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Winston Churchill said that “we shape our buildings; and thereafter they shape us.” We live within our habits. So shape the way you want to lead, and build the right coaching habits.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"When you’re talking about people, though, you’re not really talking about them. You’re talking about a relationship and, specifically, about what your role is in this relationship that might currently be less than ideal.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Coaching for development is about turning the focus from the issue to the person dealing with the issue, the person' who's managing the fire.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
Coming up with ways to fix things feels more comfortable than sitting in the ambiguity of trying to figure out the challenge...,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"The Strategic Question: If You’re Saying Yes to This, What Are You Saying No To?","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Bite your tongue, and don’t fill the silence. I know it will be uncomfortable, and I know it creates space for learning and insight.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
known as a micromanager. People do the minimum for you and no more. And no one likes a bully.,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Resilient systems build in fail-safes so that when something breaks down, the next step to recover is obvious. Make your habit a resilient system.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Resilient systems build in fail-safes so that when something breaks down, the next step to recover","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
"Coaching should be a daily, informal act, not an occasional, formal “It’s Coaching Time!” event.","The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,[]
