quoteText,bookTitle,bookAuthor,tags
"TWO THINGS STRIKE every Irish person when he comes to America, Irish friends tell me: the vastness of the country, and the seemingly endless desire of its people to talk about their personal problems. Two things strike an American when he comes to Ireland: how small it is, and how tight-lipped. An Irish person with a personal problem takes it into a hole with him, like a squirrel with a nut before winter. He tortures himself and sometimes his loved ones, too. What he doesn’t do, if he has suffered some reversal, is vent about it to the outside world. The famous Irish gift of gab is a cover for all the things they aren’t telling you.",Boomerang: Travels in the New Third World,Michael Lewis,[]
"There is nothing more satisfying to me,” he said, “than to create a complete self-contained world when a computer is controlling it.",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
His life was dedicated to the fine art of tearing down and building anew.,The New New Thing: A Silicon Valley Story,Michael Lewis,[]
In something like an instant the man had changed his life. He reinvented his relationship to the world around him in a way that is considered normal only in California.,The New New Thing: A Silicon Valley Story,Michael Lewis,[]
"The first thing Gutenberg sought to publish, after the Bible, was a laxative timetable he called a “Purgation-Calendar.” Then there is the astonishing number of anal German folk sayings. “As the fish lives in water, so does the shit stick to the asshole!,” to select but one of the seemingly endless examples.",Boomerang: Travels in the New Third World,Michael Lewis,[]
"This gorgeous financial myopia was common in the Valley, and one of the chief sources of its success.",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
"The technologist’s tendency to commit all his resources to new technology,",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
This was only one of many recent changes along the capitalist food chain. Wall Street had gone from being the celebrities of the money culture to being its lackeys.,The New New Thing: A Silicon Valley Story,Michael Lewis,[]
Moore’s law came with a social corollary: high-tech could not remain high-tech for long.,The New New Thing: A Silicon Valley Story,Michael Lewis,[]
"For a technology company to succeed, he argued, it needed always to be looking to destroy itself. If it didn’t, someone else would.",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
"The American Home of the Future, it went without saying, would be controlled and monitored by a computer. The computer would permit the owner to enter into a new, fantastic relationship with his dwelling.",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
"The general idea was to sell their software first to rich technophiles and then, gradually, infiltrate the minds of the middle-class owners of suburban tract houses.",The New New Thing: A Silicon Valley Story,Michael Lewis,[]
