quoteText,bookTitle,bookAuthor,tags
Competing to be the best feeds on imitation. Competing to be unique thrives on innovation.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"consumers tend to be more price sensitive if they are purchasing products that are undifferentiated, expensive relative to their incomes, or of a sort where quality is not particularly important to them.",Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,[]
"Competition on dimensions other than price - on product features, support services, delivery time, or brand image, for instance - is less likely to erode profitability because it improves customer value and can support higher prices. p.32",HBR's 10 Must Reads on Strategy,Michael E. Porter,[]
"Understanding the competitive forces, and their underlying causes, reveals the roots of an industry’s current profitability while providing a framework for anticipating and influencing competition (and profitability) over time. P. 26",HBR's 10 Must Reads on Strategy,Michael E. Porter,"['competition', 'competitive-forces', 'strategic', 'strategy']"
"The strongest competitive force or forces determine the profitability of an industry and become the most important to strategy formulation. The most salient force, however, is not always obvious. P. 26",HBR's 10 Must Reads on Strategy,Michael E. Porter,"['competition', 'competitive-forces', 'strategic', 'strategy']"
Porter defines the value proposition as the answer to three fundamental questions (see figure 4-1): Which customers are you going to serve? Which needs are you going to meet? What relative price will provide acceptable value for customers and acceptable profitability for the company?,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
A common mistake in strategy is to choose the same core competences as everyone else in your industry.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Competitive strategy is about being different. It means deliberately choosing a different set of activities to deliver a unique mix of value.,HBR's 10 Must Reads on Strategy,Michael E. Porter,[]
"The first test of a strategy is whether your value proposition is different from your rivals. If you are trying to serve the same customers and meet the same needs and sell at the same relative price, then by Porter’s definition, you don’t have a strategy.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"As important as the dimensions of rivalry is whether rivals compete on the same dimensions. When all or many competitors aim to meet the same needs or compete on the same attributes, the result is zero-sum competition. P. 33",HBR's 10 Must Reads on Strategy,Michael E. Porter,[]
"If the forces are intense, (..) almost no company earns attractive returns on investment.",HBR's 10 Must Reads on Strategy,Michael E. Porter,"['competition', 'competitive-forces', 'strategic', 'strategy']"
"Insight into customers’ needs is important, but it’s not enough. The essence of strategy and competitive advantage lies in the activities, in choosing to perform activities differently or to perform different activities from those of rivals. Each of the companies we’ve just described has done just that, tailoring their value chains to their value propositions.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"This is analogous to the situation in which the robber says, “stick ’em up, I want your money,” and the deranged-looking victim says “If you take it, I will explode this bomb and kill us both!",Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,[]
"Instead of competing to be the best, companies can—and should—compete to be unique. This concept is all about value.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
"The myriad activities that go into creating, producing, selling, and delivering a product or service are the basic units of competitive advantage. Operational effectiveness means performing these activities better—that is, faster, or with fewer inputs and defects—than rivals. Companies can reap enormous advantages from operational effectiveness, as Japanese firms demonstrated in the 1970s and 1980s with such practices as total quality management and continuous improvement. But from a competitive standpoint, the problem with operational effectiveness is that best practices are easily emulated. As all competitors in an industry adopt them, the productivity frontier—the maximum value a company can deliver at a given cost, given the best available technology, skills, and management techniques—shifts outward, lowering costs and improving value at the same time. Such competition produces absolute improvement in operational effectiveness, but relative improvement for no one. And the more benchmarking that companies do, the more competitive convergence you have—that is, the more indistinguishable companies are from one another. Strategic positioning attempts to achieve sustainable competitive advantage by preserving what is distinctive about a company. It means performing different activities from rivals, or performing similar activities in different ways.",HBR's 10 Must Reads on Strategy,Michael E. Porter,[]
Memorizing the five forces won’t make you a better business thinker; it will only help you to sound like one. It matters that you grasp the deeper point: there are a limited number of structural forces at work in every industry that systematically impact profitability in a predictable direction.,Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
Understanding industry structure is also essential to effective strategic positioning P. 26,HBR's 10 Must Reads on Strategy,Michael E. Porter,"['competition', 'competitive-forces', 'strategic', 'strategy']"
"In business, multiple winners can thrive and coexist. Competition focuses more on meeting customers needs than on demolishing rivals. Just look around. Because there are so many needs to serve, there are many ways to win.",Understanding Michael Porter: The Essential Guide to Competition and Strategy,Joan Magretta,[]
