quoteText,bookTitle,bookAuthor,tags
"Not finance. Not strategy. Not technology. It is teamwork that remains the ultimate competitive advantage, both because it is so powerful and so rare.",The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,[]
"When there is trust, conflict becomes nothing but the pursuit of truth, an attempt to find the best possible answer.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"The only way for the leader of a team to create a safe environment for his team members to be vulnerable is by stepping up and doing something that feels unsafe and uncomfortable first. By getting naked before anyone else, by taking the risk of making himself vulnerable with no guarantee that other members of the team will respond in kind, a leader demonstrates an extraordinary level of selflessness and dedication to the team. And that gives him the right, and the confidence, to ask others to do the same.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"the fundamental attribution error is the tendency of human beings to attribute the negative or frustrating behaviors of their colleagues to their intentions and personalities, while attributing their own negative or frustrating behaviors to environmental factors.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
the fear of conflict is almost always a sign of problems.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
teamwork is not a virtue. It is a choice—and a strategic one.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"No one on a cohesive team can say, Well, I did my job. Our failure isn’t my fault.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
executives must put the needs of the higher team ahead of the needs of their departments.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"Most organizations exploit only a fraction of the knowledge, experience, and intellectual capital that is available to them.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
The single greatest advantage any company can achieve is organizational health.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"organizations learn by making decisions, even bad ones.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"Healthy organizations believe that performance management is almost exclusively about eliminating confusion. They realize that most of their employees want to succeed, and that the best way to allow them to do that is to give them clear direction, regular information about how they’re doing, and access to the coaching they need.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
most of a leadership team’s objectives should be collective ones.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"Every endeavor of importance in life, whether it is creative, athletic, interpersonal, or academic, brings with it a measure of discomfort,",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"there cannot be alignment deeper in the organization, even when employees want to cooperate, if the leaders at the top aren’t in lockstep with one another",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
Most people are generally reasonable and can rally around an idea that wasn’t their own as long as they know they’ve had a chance to weigh in.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
Hiring without clear and strict criteria for cultural fit greatly hampers the potential for success of any organization.,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"I honestly believe that in this day and age of informational ubiquity and nanosecond change, teamwork remains the one sustainable competitive advantage that has been largely untapped.","Overcoming the Five Dysfunctions of a Team: A Field Guide for Leaders, Managers, and Facilitators",Patrick Lencioni,[]
"At the heart of vulnerability lies the willingness of people to abandon their pride and their fear, to sacrifice their egos for the collective good of the team. While this can be a little threatening and uncomfortable at first, ultimately it becomes liberating for people who are tired of spending time and energy overthinking their actions and managing interpersonal politics at work.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"Leaders who can identify, hire, and cultivate employees who are humble, hungry, and smart will have a serious advantage over those who cannot.",The Ideal Team Player: How to Recognize and Cultivate The Three Essential Virtues,Patrick Lencioni,[]
"When team members trust one another, when they know that everyone on the team is capable of admitting when they don’t have the right answer, and when they’re willing to acknowledge when someone else’s idea is better than theirs, the fear of conflict and the discomfort it entails is greatly diminished. When there is trust, conflict becomes nothing but the pursuit of truth, an attempt to find the best possible answer. It is not only okay but desirable.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"Becoming a healthy organization takes a little time. Unfortunately, many of the leaders I’ve worked with suffer from a chronic case of adrenaline addiction, seemingly hooked on the daily rush of activity and firefighting within their organizations. It’s as though they’re afraid to slow down and deal with issues that are critical but don’t seem particularly urgent.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"The healthier an organization is, the more of its intelligence it is able to tap into and use. Most organizations exploit only a fraction of the knowledge, experience, and intellectual capital that is available to them. But the healthy ones tap into almost all of it.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"every organization must contribute in some way to a better world for some group of people, because if it doesn’t, it will, and should, go out of business.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
"leaders confuse the mere transfer of information to an audience with the audience’s ability to understand, internalize, and embrace the message that is being communicated.",The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,[]
