quoteText,bookTitle,bookAuthor,tags
"This book has pushed back against the randomness thesis, emphasizing instead the skill in venture capital. It has done so for four reasons. First, the existence of path dependency does not actually prove that skill is absent. Venture capitalists need skill to enter the game: as the authors of the NBER paper say, path dependency can only influence which among the many skilled players gets to be the winner. Nor is it clear that path dependency explains why some skilled operators beat other ones. The finding that a partnership’s future IPO rate rises by 1.6 percentage points is not particularly strong, and the history recounted in these pages shows that path dependency is frequently disrupted.[5] Despite his powerful reputation, Arthur Rock was unsuccessful after his Apple investment. Mayfield was a leading force during the 1980s; it too faded. Kleiner Perkins proves that you can dominate the Valley for a quarter of a century and then decline precipitously. Accel succeeded early, hit a rough patch, and then built itself back. In an effort to maintain its sense of paranoia and vigilance, Sequoia once produced a slide listing numerous venture partnerships that flourished and then failed. “The Departed,” it called them. The second reason to believe in skill lies in the origin story of some partnerships. Occasionally a newcomer breaks into the venture elite in such a way that skill obviously does matter. Kleiner Perkins became a leader in the business because of Tandem and Genentech. Both companies were hatched from within the KP office and actively shaped by Tom Perkins; there was nothing lucky about this. Tiger Global and Yuri Milner invented the art of late-stage venture capital. They had a genuinely novel approach to tech investing; they offered much more than the equivalent of another catchy tune competing against others. Paul Graham’s batch-processing method at Y Combinator offered an equally original approach to seed-stage investing. A clever innovation, not random fortune, explains Graham’s place in venture history.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"By September 2004, Zuckerberg was referring to Parker as Facebook’s president, and Parker was steering Zuckerberg away from conventional venture capitalists. He told Benchmark and Google to back off, preferring to take a leaf out of Google’s own book; he wanted to raise capital from angels. His first port of call was an entrepreneur named Reid Hoffman, who had coached him through the Plaxo denouement. Hoffman declined to lead an investment in Facebook; he had himself founded a social network called LinkedIn, and there might be some rivalry. So Hoffman put Parker in touch with a Stanford friend named Peter Thiel, the co-founder of an online payments company called PayPal. Pretty soon, Thiel agreed to kick in $500,000 in exchange for 10.2 percent of the firm, with Hoffman providing a further $38,000.[11] A third social-networking entrepreneur named Mark Pincus also wrote a check for $38,000.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"Recalling the atmosphere of this period, Mark Pincus remarked, “There were about six people that I knew who were interested in doing anything in the consumer internet, and we all kind of went to the same two coffee shops.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"Third, the idea that venture capitalists get into deals on the strength of their brands can be exaggerated. A deal seen by a partner at Sequoia will also be seen by rivals at other firms: in a fragmented cottage industry, there is no lack of competition. Often, winning the deal depends on skill as much as brand: it’s about understanding the business model well enough to impress the entrepreneur; it’s about judging what valuation might be reasonable. One careful tally concluded that new or emerging venture partnerships capture around half the gains in the top deals, and there are myriad examples of famous VCs having a chance to invest and then flubbing it.[6] Andreessen Horowitz passed on Uber. Its brand could not save it. Peter Thiel was an early investor in Stripe. He lacked the conviction to invest as much as Sequoia. As to the idea that branded venture partnerships have the “privilege” of participating in supposedly less risky late-stage investment rounds, this depends from deal to deal. A unicorn’s momentum usually translates into an extremely high price for its shares. In the cases of Uber and especially WeWork, some late-stage investors lost millions. Fourth, the anti-skill thesis underplays venture capitalists’ contributions to portfolio companies. Admittedly, these contributions can be difficult to pin down. Starting with Arthur Rock, who chaired the board of Intel for thirty-three years, most venture capitalists have avoided the limelight. They are the coaches, not the athletes. But this book has excavated multiple cases in which VC coaching made all the difference. Don Valentine rescued Atari and then Cisco from chaos. Peter Barris of NEA saw how UUNET could become the new GE Information Services. John Doerr persuaded the Googlers to work with Eric Schmidt. Ben Horowitz steered Nicira and Okta through their formative moments. To be sure, stories of venture capitalists guiding portfolio companies may exaggerate VCs’ importance: in at least some of these cases, the founders might have solved their own problems without advice from their investors. But quantitative research suggests that venture capitalists do make a positive impact: studies repeatedly find that startups backed by high-quality VCs are more likely to succeed than others.[7] A quirky contribution to this literature looks at what happens when airline routes make it easier for a venture capitalist to visit a startup. When the trip becomes simpler, the startup performs better.[8]",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"Only a fraction of 1 percent of firms in the United States receive venture backing.[34] But in a study covering the quarter century from 1995 to 2019, Josh Lerner and Ramana Nanda find that VC-backed companies accounted for fully 47 percent of U.S. nonfinancial IPOs;",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"Thus, even though VC-backed firms accounted for 47 percent of IPOs, they accounted for 76 percent of the market value at the end of the study. They also accounted for fully 89 percent of R&D spending.[35",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"The six other members of the Traitorous Eight bought shares, and Robert Noyce saw to it that his small alma mater, Grinnell College, was invited to participate.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"In a famous essay in Esquire, the master storyteller Tom Wolfe presents Robert Noyce, the charismatic leader of Fairchild’s eight traitors, as the father of Silicon Valley.[51] Noyce came from a family of Congregational ministers in Grinnell, Iowa, the very middle of the Midwest, where the land was as flat as the social structure. When Noyce moved out to California, he brought Grinnell with him, “as though sewn into the lining of his coat.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"For politicians who worry about technology’s geopolitical impact, it’s tempting to get the government directly involved in subsidizing venture capital. But this is a mistake. In most cases, four simple steps will pay off more. Encourage limited partnerships. Encourage stock options. Invest in scientific education and research. Think globally.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
"The prevailing narrative about Silicon Valley’s culture lionizes company founders, and Tom Wolfe’s exquisite storytelling has played up Noyce’s roots in small-town Iowa as the genesis of the egalitarian, stock-for-everyone business culture of the West Coast.[66] But, as we have seen, it was Arthur Rock who provided the impetus for Fairchild’s creation and who opened the founders’ eyes to the possibility of owning the fruits of their research. It was Rock who demonstrated the potential of the limited partnership that developed the Valley’s equity culture, and Rock who helped to catalyze the failure of the corporate venture model at Fairchild by prying away Jean Hoerni and Jay Last. When it came to the creation of Intel’s employee stock plan, moreover, it was probably Rock who proposed access for everyone, and it was certainly Rock who devised the plan’s details.[67] In a letter laying out his thinking in August 1968, Rock described a way of balancing the interests of investors and workers: Intel should avoid equity grants to short-term employees but extend them to everyone who made a long-term commitment. “There are too many millionaires who did nothing for their company except leave after a short period,” he observed wisely.[68] Without Rock’s judicious counsel, Intel’s employee stock program would not have set the standard in the Valley, because it would not have been sustainable.",The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,[]
