quoteText,bookTitle,bookAuthor,tags
"It doesn’t matter how many times I have to click, as long as each click is a mindless, unambiguous choice.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['usability', 'web-design']"
"If there's one thing you learn by working on a lot of different Web sites, it's that almost any design idea--no matter how appallingly bad--can be made usable in the right circumstances, with enough effort.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,['web-design']
"Get rid of half the words on each page, then get rid of half of what’s left.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['content', 'usability', 'webdesign', 'writing']"
"Your primary role should be to share what you know, not to tell people how things should be done.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"Your objective should always be to eliminate instructions entirely by making everything self-explanatory, or as close to it as possible. When instructions are absolutely necessary, cut them back to a bare minimum.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'usability']"
"Designers love subtle cues, because subtlety is one of the traits of sophisticated design. But Web users are",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'designers', 'usability', 'web-design']"
"If you want a great site, you’ve got to test. After you’ve worked on a site for even a few weeks, you can’t see it freshly anymore. You know too much. The only way to find out if it really works is to test it.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['usability', 'user-experience', 'user-testing', 'web-design']"
"And not just the right thing; it’s profoundly the right thing to do, because the one argument for accessibility that doesn’t get made nearly often enough is how extraordinarily better it makes some people’s lives. How many opportunities do we have to dramatically improve people’s lives just by doing our job a little better?",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['accessibility', 'design', 'ethics']"
"In reality, though, most of the time we don’t choose the best option—we choose the first reasonable option, a strategy known as satisficing.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'psychology', 'usability', 'web-design']"
"As a rule, conventions only become conventions if they work.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'usability', 'web-design']"
"The problem is there are no simple “right” answers for most Web design questions (at least not for the important ones). What works is good, integrated design that fills a need—carefully thought out, well executed, and tested.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'designer', 'user-testing', 'web-design']"
"If you can’t make something self-evident, you at least need to make it self-explanatory.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
The main thing you need to know about instructions is that no one is going to read them—at least not until after repeated attempts at “muddling through” have failed.,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
Nothing important should ever be more than two clicks away,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
The fact that the people who built the site didn’t care enough to make things obvious—and easy—can erode our confidence in the site and the organization behind it.,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
If something requires a large investment of time—or looks like it will—it’s less likely to be used.,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"usability is about people and how they understand and use things, not about technology.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
Sometimes time spent reinventing the wheel results in a revolutionary new rolling device. But sometimes it just amounts to time spent reinventing the wheel.,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['creativity', 'design', 'invention', 'work']"
"Faced with the prospect of following a convention, there’s a great temptation for designers to try reinventing the wheel instead, largely because they feel (not incorrectly) that they’ve been hired to do something new and different, not the same old thing. Not to mention the fact that praise from peers, awards, and high-profile job offers are rarely based on criteria like “best use of conventions.” Occasionally, time spent reinventing the wheel results in a revolutionary new rolling device. But usually it just amounts to time spent reinventing the wheel.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"It doesn’t matter how many times I have to click, as long as each click is a mindless, unambiguous choice. —KRUG’S SECOND LAW OF USABILITY","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"The more you watch users carefully and listen to them articulate their intentions, motivations, and thought processes, the more you realize that their individual reactions to Web pages are based on so many variables that attempts to describe users in terms of one-dimensional likes and dislikes are futile and counter-productive. Good design, on the other hand, takes this complexity into account.",Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"['design', 'usability', 'user-centered-design', 'user-experience', 'users']"
How many opportunities do we have to dramatically improve people’s lives just by doing our job a little better?,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"Or as Jakob Nielsen so aptly put it: The human brain’s capacity doesn’t change from one year to the next, so the insights from studying human behavior have a very long shelf life. What was difficult for users twenty years ago continues to be difficult today. I","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
The name of the page will match the words I clicked to get there. In,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"In the last few years, making things more usable has become almost everybody’s responsibility. Visual designers and developers now often find themselves doing things like interaction design (deciding what happens next when the user clicks, taps, or swipes) and information architecture (figuring out how everything should be organized). I","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"The problem is, the rewards and the costs of adding more things to the Home page aren’t shared equally. The section that’s being promoted gets a huge gain in traffic, while the overall loss in effectiveness of the Home page as it gets more cluttered is shared by all sections.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
The reality is that in the business world almost everyone is just a very small cog in a huge collection of cogs.2 2 Sorry. Try not to take it personally. Do good work. Enjoy your home life. Be happy.,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
"every question mark adds to our cognitive workload, distracting our attention from the task at hand.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,[]
