quoteText,bookTitle,bookAuthor,tags
Never let a good crisis go to waste. It’s the universe challenging you to learn something new and rise to the next level of your potential.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"What advice would you give to a smart, driven college student about to enter the “real world”? What advice should they ignore? I’m probably hopelessly out of date but my advice is get real-world experience: Be a cowboy. Drive a truck. Join the Marine Corps. Get out of the hypercompetitive “life hack” frame of mind. I’m 74. Believe me, you’ve got all the time in the world. You’ve got ten lifetimes ahead of you. Don’t worry about your friends “beating” you or “getting somewhere” ahead of you. Get out into the real dirt world and start failing. Why do I say that? Because the goal is to connect with your own self, your own soul. Adversity. Everybody spends their life trying to avoid it. Me too. But the best things that ever happened to me came during the times when the shit hit the fan and I had nothing and nobody to help me. Who are you really? What do you really want? Get out there and fail and find out.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Life punishes the vague wish and rewards the specific ask. After all, conscious thinking is largely asking and answering questions in your own head. If you want confusion and heartache, ask vague questions. If you want uncommon clarity and results, ask uncommonly clear questions.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Often, all that stands between you and what you want is a better set of questions.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
One of my favorite quotes is by Ralph Waldo Emerson: “To laugh often and much; to win the respect of intelligent people and the affection of children . . . to leave the world a bit better . . . to know even one life has breathed easier because you have lived; this is to have succeeded.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Don’t do things that you know are morally wrong. Not because someone is watching, but because you are. Self-esteem is just the reputation that you have with yourself. You’ll always know.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"It’s a short reminder that success can usually be measured by the number of uncomfortable conversations we are willing to have, and by the number of uncomfortable actions we are willing to take. The most fulfilled and effective people I know—world-famous creatives, billionaires, thought leaders, and more—look at their life’s journey as perhaps 25 percent finding themselves and 75 percent creating themselves.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Life punishes the vague wish and rewards the specific ask.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"When you feel overwhelmed or unfocused, what do you do? I have a friend at the gym who knew Jack LaLanne (Google him if the name is unfamiliar). Jack used to say it’s okay to take a day off from working out. But on that day, you’re not allowed to eat. That’s the short way of saying you’re not really allowed to get unfocused. Take a vacation. Gather yourself. But know that the only reason you’re here on this planet is to follow your star and do what the Muse tells you. It’s amazing how a good day’s work will get you right back to feeling like yourself.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Life shrinks or expands in proportion to one’s courage.” –Anaïs Nin,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
