quoteText,bookTitle,bookAuthor,tags
"The value of a college education is not the learning of many facts but the training of the mind to think, he [Einstein] said.",Einstein: His Life and Universe,Walter Isaacson,[]
To dwell on the things that depress or anger us does not help in overcoming them. One must knock them down alone.,Einstein: His Life and Universe,Walter Isaacson,[]
"One of the strongest motives that leads men to art and science is escape from everyday life with its painful crudity and hopeless dreariness. Such men make this cosmos and its construction the pivot of their emotional life, in order to find the peace and security which they cannot find in the narrow whirlpool of personal experience.",Einstein: His Life and Universe,Walter Isaacson,[]
"A society’s competitive advantage will come not from how well its schools teach the multiplication and periodic tables, but from how well they stimulate imagination and creativity.",Einstein: His Life and Universe,Walter Isaacson,[]
"Life is like riding a bicycle. To keep your balance you must keep moving. —ALBERT EINSTEIN, IN A LETTER TO HIS SON EDUARD, FEBRUARY 5, 1930",Einstein: His Life and Universe,Walter Isaacson,[]
"A new idea comes suddenly and in a rather intuitive way,” Einstein once said, “but intuition is nothing but the outcome of earlier intellectual experience.","The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,[]
How did he get his ideas? “I’m enough of an artist to draw freely on my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Einstein: His Life and Universe,Walter Isaacson,[]
"I believe that love is a better teacher than a sense of duty,” he said, “at least for me.",Einstein: His Life and Universe,Walter Isaacson,[]
"In addition to his instinct for discerning patterns across disciplines, Leonardo honed two other traits that aided his scientific pursuits: an omnivorous curiosity, which bordered on the fanatical, and an acute power of observation, which was eerily intense. Like much with Leonardo, these were interconnected. Any person who puts “Describe the tongue of the woodpecker” on his to-do list is overendowed with the combination of curiosity and acuity. His curiosity, like that of Einstein, often was about phenomena that most people over the age of ten no longer puzzle about: Why is the sky blue? How are clouds formed? Why can our eyes see only in a straight line? What is yawning? Einstein said he marveled about questions others found mundane because he was slow in learning to talk as a child. For Leonardo, this talent may have been connected to growing up with a love of nature while not being overly schooled in received wisdom.",Leonardo Da Vinci,Walter Isaacson,[]
"Politics is for the present, while our equations are for eternity.",Einstein: His Life and Universe,Walter Isaacson,[]
"He was a loner with an intimate bond to humanity, a rebel who was suffused with reverence. And thus it was that an imaginative, impertinent patent clerk became the mind reader of the creator of the cosmos, the locksmith of the mysteries of the atom and the universe.",Einstein: His Life and Universe,Walter Isaacson,[]
"I believe that the most important mission of the state is to protect the individual and to make it possible for him to develop into a creative personality,",Einstein: His Life and Universe,Walter Isaacson,[]
"If we want to resist the powers that threaten to suppress intellectual and individual freedom, we must be clear what is at stake,” he said. “Without such freedom there would have been no Shakespeare, no Goethe, no Newton, no Faraday, no Pasteur, no Lister.” Freedom was a foundation for creativity.",Einstein: His Life and Universe,Walter Isaacson,[]
"science without religion is lame, religion without science is blind.",Einstein: His Life and Universe,Walter Isaacson,[]
"It is tasteless to prolong life artificially,” he told Dukas. “I have done my share, it is time to go. I will do it elegantly.",Einstein: His Life and Universe,Walter Isaacson,[]
"Falling in love is not the most stupid thing that people do,” Einstein scribbled on the letter, “but gravitation cannot be held responsible for it.",Einstein: His Life and Universe,Walter Isaacson,[]
"Einstein was asked what the next war would look like. “I do not know how the Third World War will be fought,” he answered, “but I can tell you what they will use in the Fourth—rocks.",Einstein: His Life and Universe,Walter Isaacson,[]
"innovation resides where art and science connect is not new. Leonardo da Vinci was the exemplar of the creativity that flourishes when the humanities and sciences interact. When Einstein was stymied while working out General Relativity, he would pull out his violin and play Mozart until he could reconnect to what he called the harmony of the spheres.","The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,[]
The most beautiful emotion we can experience is the mysterious. It is the fundamental emotion that stands at the cradle of all true art and science. He to whom,Einstein: His Life and Universe,Walter Isaacson,[]
"During the crossing, Einstein explained his theory to me every day, and by the time we arrived I was fully convinced that he really understands it.",Einstein: His Life and Universe,Walter Isaacson,[]
"By then Einstein had finally discovered what was fundamental about America: it can be swept by waves of what may seem, to outsiders, to be dangerous political passions but are, instead, passing sentiments that are absorbed by its democracy and righted by its constitutional gyroscope. McCarthyism had died down, and Eisenhower had proved a calming influence. “God’s own country becomes stranger and stranger,” Einstein wrote Hans Albert that Christmas, “but somehow they manage to return to normality. Everything—even lunacy—is mass produced here. But everything goes out of fashion very quickly.”9 Almost",Einstein: His Life and Universe,Walter Isaacson,[]
When a person can take pleasure in marching in step to a piece of music it is enough to make me despise him. He has been given his big brain only by mistake.,Einstein: His Life and Universe,Walter Isaacson,[]
"The most beautiful emotion we can experience is the mysterious. It is the fundamental emotion that stands at the cradle of all true art and science. He to whom this emotion is a stranger, who can no longer wonder and stand rapt in awe, is as good as dead, a snuffed-out candle. To sense that behind anything that can be experienced there is something that our minds cannot grasp, whose beauty and sublimity reaches us only indirectly: this is religiousness. In this sense, and in this sense only, I am a devoutly religious man.5 People",Einstein: His Life and Universe,Walter Isaacson,[]
"So did Einstein, who wrote to another friend, “You and I never cease to stand like curious children before the great mystery into which we were born.”5 We should be careful to never outgrow our wonder years, or to let our children do so.",Leonardo da Vinci,Walter Isaacson,[]
"One day someone called the Institute and asked to speak to a particular dean. When his secretary said that the dean wasn’t available, the caller hesitantly asked for Einstein’s home address. That was not possible to give out, he was informed. The caller’s voice then dropped to a whisper. “Please don’t tell anybody,” he said, “but I am Dr. Einstein, I’m on my way home, and I’ve forgotten where my house is.”40",Einstein: His Life and Universe,Walter Isaacson,[]
"It was a sunny day, and Einstein merrily played with the telescope’s dials and instruments. Elsa came along as well, and it was explained to her that the equipment was used to determine the scope and shape of the universe. She reportedly replied, “Well, my husband does that on the back of an old envelope.",Einstein: His Life and Universe,Walter Isaacson,[]
"Since the mathematicians have grabbed hold of the theory of relativity, I myself no longer understand it.",Einstein: His Life and Universe,Walter Isaacson,[]
"Be curious, relentlessly curious. “I have no special talents,” Einstein once wrote to a friend. “I am just passionately curious.”4 Leonardo actually did have special talents, as did Einstein, but his distinguishing and most inspiring trait was his intense curiosity. He wanted to know what causes people to yawn, how they walk on ice in Flanders, methods for squaring a circle, what makes the aortic valve close, how light is processed in the eye and what that means for the perspective in a painting. He instructed himself to learn about the placenta of a calf, the jaw of a crocodile, the tongue of a woodpecker, the muscles of a face, the light of the moon, and the edges of shadows. Being relentlessly and randomly curious about everything around us is something that each of us can push ourselves to do, every waking hour, just as he did.",Leonardo Da Vinci,Walter Isaacson,[]
Blind respect for authority is the greatest enemy of truth.,Einstein: His Life and Universe,Walter Isaacson,[]
