quoteText,bookTitle,bookAuthor,tags
One way to remember who you are is to remember who your heroes are.,Steve Jobs,Walter Isaacson,"['steve-jobs', 'think-different']"
"If you want to live your life in a creative way, as an artist, you have to not look back too much. You have to be willing to take whatever you’ve done and whoever you were and throw them away. The more the outside world tries to reinforce an image of you, the harder it is to continue to be an artist, which is why a lot of times, artists have to say, “Bye. I have to go. I’m going crazy and I’m getting out of here.” And they go and hibernate somewhere. Maybe later they re-emerge a little differently.",Steve Jobs,Walter Isaacson,"['1985', 'interview', 'playboy', 'steve-jobs']"
"If you act like you can do something, then it will work.",Steve Jobs,Walter Isaacson,[]
"If you just sit and observe, you will see how restless your mind is. If you try to calm it, it only makes it worse, but over time it does calm, and when it does, there's room to hear more subtle things - that's when your intuition starts to blossom and you start to see things more clearly and be in the present more. Your mind just slows down, and you see a tremendous expanse in the moment. You see so much more than you could see before. It's a discipline; you have to practice it.",Steve Jobs,Walter Isaacson,"['india', 'inspirational', 'meditation', 'steve-jobs', 'zen']"
People who know what they’re talking about don’t need PowerPoint.,Steve Jobs,Walter Isaacson,[]
Steve Jobs: “The best way to predict the future is to invent it.,Steve Jobs,Walter Isaacson,[]
"Picasso had a saying - 'good artists copy, great artists steal' - and we have always been shameless about stealing great ideas.",Steve Jobs,Walter Isaacson,"['artists', 'inspiration']"
"I think different religions are different doors to the same house. Sometimes I think the house exists, and sometimes I don’t. It’s the great mystery.",Steve Jobs,Walter Isaacson,"['religions', 'steve-jobs']"
Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose. You are already naked. There is no reason not to follow your heart.,Steve Jobs,Walter Isaacson,[]
"Some people say, ""Give the customers what they want."" But that's not my approach. Out job is to figure out what they're going to want before they do. I think Henry Ford once said, ""If I'd asked customers what they wanted, they would have told me, 'A faster horse!'"" People don't know what they want until you show it to them.",Steve Jobs,Walter Isaacson,['apple']
You should never start a company with the goal of getting rich. Your goal should be making something you believe in and making a company that will last.,Steve Jobs,Walter Isaacson,"['apple', 'inspirational', 'mike-markkula', 'steve-jobs', 'walter-isaacson']"
"On the day he unveiled the Macintosh, a reporter from Popular Science asked Jobs what type of market research he had done. Jobs responded by scoffing, ""Did Alexander Graham Bell do any market research before he invented the telephone?",Steve Jobs,Walter Isaacson,[]
"What are the five products you want to focus on? Get rid of the rest, because they’re dragging you down. They’re turning you into Microsoft. They’re causing you to turn out products that are adequate but not great.",Steve Jobs,Walter Isaacson,"['focus', 'microsoft']"
"Steve Jobs had a tendency to see things in a binary way: ""A person was either a hero or a bozo, a product was either amazing or shit",Steve Jobs,Walter Isaacson,[]
"In the first 30 years of your life, you make your habits. For the last 30 years of your life, your habits make you.",Steve Jobs,Walter Isaacson,[]
"if you can't keep him interested, that's your fault.",Steve Jobs,Walter Isaacson,[]
"Was he smart? No, not exceptionally. Instead, he was a genius.",Steve Jobs,Walter Isaacson,['paradoxical']
"The older I get, the more I see how much motivations matter. The Zune was crappy because the people at Microsoft don’t really love music or art the way we do. We won because we personally love music.",Steve Jobs,Walter Isaacson,[]
"The people who invented the twenty-first century were pot-smoking, sandal-wearing hippies from the West Coast like Steve, because they saw differently,” he said. ""The hierarchical systems of the East Coast, England, Germany, and Japan do not encourage this different thinking. The sixties produced an anarchic mind-set that is great for imagining a world not yet in existence.",Steve Jobs,Walter Isaacson,"['1960s', 'counter-culture']"
"So that’s our approach. Very simple, and we’re really shooting for Museum of Modern Art quality. The way we’re running the company, the product design, the advertising, it all comes down to this: Let’s make it simple. Really simple.” Apple’s design mantra would remain the one featured on its first brochure: “Simplicity is the ultimate sophistication.",Steve Jobs,Walter Isaacson,"['clare-boothe-luce', 'design', 'kiss', 'simple']"
"Otherwise, as Dylan says, if you're not busy being born, you're busy dying.",Steve Jobs,Walter Isaacson,"['bob-dylan', 'steve-jobs']"
"Jobs insisted that Apple focus on just two or three priorities at a time. “There is no one better at turning off the noise that is going on around him,” Cook said. “That allows him to focus on a few things and say no to many things. Few people are really good at that.",Steve Jobs,Walter Isaacson,"['apple', 'focus']"
"I think the biggest innovations of the twenty-first century will be the intersection of biology and technology. A new era is beginning, just like the digital one was when I was his age.",Steve Jobs,Walter Isaacson,[]
"The reality distortion field was a confounding mélange of a charismatic rhetorical style, indomitable will, and eagerness to bend any fact to fit the purpose at hand,",Steve Jobs,Walter Isaacson,[]
"There are parts of his life and personality that are extremely messy, and that's the truth",Steve Jobs,Walter Isaacson,[]
"Simply handing over your iPod to a friend, your blind date, or the total stranger sitting next to you on the plane opens you up like a book."" (Steven Levy)",Steve Jobs,Walter Isaacson,"['intimacy', 'ipod', 'music']"
"Steve has a reality distortion field.” When Hertzfeld looked puzzled, Tribble elaborated. “In his presence, reality is malleable. He can convince anyone of practically anything. It wears off when he’s not around, but it makes it hard to have realistic schedules.",Steve Jobs,Walter Isaacson,[]
"for Steve, less is always more, simpler is always better. Therefore, if you can build a glass box with fewer elements, it’s better, it’s simpler, and it’s at the forefront of technology. That’s where Steve likes to be, in both his products and his stores.",Steve Jobs,Walter Isaacson,"['design', 'kiss']"
"I have my own theory about why decline happens at companies like IBM or Microsoft. The company does a great job, innovates and becomes a monopoly or close to it in some field, and then the quality of the product becomes less important. The company starts valuing the great salesmen, because they’re the ones who can move the needle on revenues, not the product engineers and designers. So the salespeople end up running the company.",Steve Jobs,Walter Isaacson,['companies']
"He had the uncanny capacity to know exactly what your weak point is, know what will make you feel small, to make you cringe,"" Joanna Hoffman said. ""It's a common trait in people who are charismatic and know how to manipulate people. Knowing that he can crush you makes you feel weakened and eager for his approval, so then he can elevate you and put you on a pedestal and own you.",Steve Jobs,Walter Isaacson,[]
