quoteText,bookTitle,bookAuthor,tags
"The least favorite students were the non-conformists who made up their own rules. Teachers tend to discriminate against highly creative students, labeling them as troublemakers. In",Originals: How Nonconformists Move the World,Adam M. Grant,[]
"When our commitment is wavering, the best way to stay on track is to consider the progress we've already made. As we recognize what we've invested and attained, it seems like a waste to give up, and our confidence and commitment surge.",Originals: How Non-Conformists Move the World,Adam M. Grant,"['commitment', 'grit', 'motivation', 'perseverance', 'self-doubt']"
"When we're determined to reach an objective, it's the gap between where we are and where we aspire to be that lights a fire under us.",Originals: How Non-Conformists Move the World,Adam M. Grant,"['aspiration', 'motivation']"
"Dissenting opinions are useful, even when they are wrong.",Originals: How Non-Conformists Move the World,Adam Grant,"['business', 'debate', 'decision-making', 'design', 'dissent']"
"The first follower is what transforms a lone nut into a leader."" - Quoting Derek Sivers",Originals: How Non-Conformists Move the World,Adam M. Grant,"['conformism', 'innovation', 'leadership', 'peer-pressure']"
"To overcome fear, why does getting excited work better than trying to calm yourself down? Fear is an intense emotion. You can feel your heart pumping and your blood coursing. In that state, trying to relax is like slamming on the brakes when a car is going 80 miles per hour. The vehicle still has momentum. Rather than trying to suppress a strong emotion, it's easier to convert it into a different emotion - one that's equally intense, but propels is to step on the gas.",Originals: How Non-Conformists Move the World,Adam Grant,['emotional-intelligence']
Having a sense of security in one realm gives us the freedom to be original in another.,Originals: How Non-Conformists Move the World,Adam Grant,[]
Entrepreneurs who kept their day jobs had 33 percent lower odds of failure than those who quit.,Originals: How Non-Conformists Move the World,Adam Grant,[]
"Before women gained the right to vote in America, many “had never before considered their degraded status as anything but natural,” historian Jean Baker observes. As the suffrage movement gained momentum, “a growing number of women were beginning to see that custom, religious precept, and law were in fact man-made and therefore reversible.",Originals: How Non-Conformists Move the World,Adam Grant,[]
"Reasoning does create a paradox: it leads both to more rule following and more rebelliousness. By explaining moral principles, parents encourage their children to comply voluntarily with rules that align with important values and to question rules that don’t. Good explanations enable children to develop a code of ethics that often coincides with societal expectations; when they don’t square up, children rely on the internal compass of values rather than the external compass of rules.",Originals: How Non-Conformists Move the World,Adam Grant,"['children', 'morals', 'reason']"
"High academic achievers were 2.3 times as likely to be firstborn as lastborn. Rebels were twice as likely to be lastborn as firstborn. And when asked to write about the few most rebellious or unconventional things they had ever done in their lives, laterborns had longer responses and described more unconventional behaviors. Hundreds of studies point to the same conclusion: although firstborns tend to be more dominant, conscientious, and ambitious, laterborns are more open to taking risks and embracing original ideas. Firstborns tend to defend the status quo; laterborns are inclined to challenge it.",Originals: How Non-Conformists Move the World,Adam Grant,"['challenge', 'dominant', 'firstborn', 'idea', 'lastborn', 'rebel', 'risk', 'status-quo', 'unconventional']"
"In the deepest sense of the word, a friend is someone who sees more potential in you than you see in yourself, someone who helps you become the best version of yourself.",Originals: How Non-Conformists Move the World,Adam Grant,[]
Passionate people don’t wear their passion on their sleeves; they have it in their hearts.,Originals: How Non-Conformists Move the World,Adam Grant,[]
"If we communicate the vision behind our ideas, the purpose guiding our products, people will flock to us.",Originals: How Non-Conformists Move the World,Adam Grant,[]
"Without a sense of urgency , people ... won't make needed sacrafices. Instead they cling to the status quo and resist.' - Quoting John Kotter",Originals: How Non-Conformists Move the World,Adam M. Grant,"['motivation', 'sense-of-urgency', 'timing']"
