quoteText,bookTitle,bookAuthor,tags
"Remember too that your time is your one finite resource, and when you say “yes” to one thing you are inevitably saying “no” to another.",High Output Management,Andrew S. Grove,[]
"The absolute truth is that if you don’t know what you want, you won’t get it.",High Output Management,Andrew S. Grove,[]
"But in the end self-confidence mostly comes from a gut-level realization that nobody has ever died from making a wrong business decision, or taking inappropriate action, or being overruled. And everyone in your operation should be made to understand this.",High Output Management,Andrew S. Grove,[]
"Here I’d like to introduce the concept of leverage, which is the output generated by a specific type of work activity. An activity with high leverage will generate a high level of output; an activity with low leverage, a low level of output.",High Output Management,Andrew S. Grove,[]
"Remember that by saying “yes”—to projects, a course of action, or whatever—you are implicitly saying “no” to something else.",High Output Management,Andrew S. Grove,[]
"We must recognize that no amount of formal planning can anticipate changes such as globalization and the information revolution we’ve referred to above. Does that mean that you shouldn’t plan? Not at all. You need to plan the way a fire department plans. It cannot anticipate where the next fire will be, so it has to shape an energetic and efficient team that is capable of responding to the unanticipated as well as to any ordinary event.",High Output Management,Andrew S. Grove,[]
"Just as you would not permit a fellow employee to steal a piece of office equipment worth $2,000, you shouldn’t let anyone walk away with the time of his fellow managers.",High Output Management,Andrew S. Grove,[]
"My day always ends when I’m tired and ready to go home, not when I’m done. I am never done.",High Output Management,Andrew S. Grove,[]
"Let chaos reign, then rein in chaos.",High Output Management,Andrew S. Grove,[]
"[..] in the work of the soft professions, it becomes very difficult to distinguish between output and activity. And as noted, stressing output is the key to improving productivity, while looking to increase activity can result in just the opposite.",High Output Management,Andrew S. Grove,[]
"To get acceptable quality at the lowest cost, it is vitally important to reject defective material at a stage where its accumulated value is at the lowest possible level. Thus, as noted, we are better off catching a bad raw egg than a cooked one, and screening out our college applicant before he visits Intel. In short, reject before investing further value.",High Output Management,Andrew S. Grove,[]
Reports are more a medium of self-discipline than a way to communicate information. Writing the report is important; reading it often is not.,High Output Management,Andrew S. Grove,[]
