quoteText,bookTitle,bookAuthor,tags
"The Lesson is, we all need to expose ourselves to the winds of change",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
Businesses fail either because they leave their customers or because their customer leave them !,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"Altogether too often, people substitute opinions for facts and emotions for analysis.",Only the Paranoid Survive,Andrew S. Grove,[]
strategic changes doesn't just start at the top. It starts with your calender,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"The person who is the star of previous era is often the last one to adapt to change, the last one to yield to logic of a strategic inflection point and tends to fall harder than most.",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"if you're wrong, you will die. But most companies don't die because they are wrong; most die because they don't commit themselves. They fritter away their valuable resources while attempting to make a decision. The greatest danger is in Standing still",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"In Technology, whatever can be done will be done",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"Business success contains the seeds of its own destruction. The more Successful you are, the more people want a chunk of your business and then another chunk and then another until there is nothing",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
How can you motivate yourself to continue to follow a leader when he appears to be going around in circles?,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
People in the trenches are usually in touch with impending changes early,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"You need to plan the way a fire department plans: It cannot anticipate where the next fire will be, so it has to shape an energetic and efficient team that is capable of responding to the unanticipated as well as to any ordinary event.",Only the Paranoid Survive,Andrew S. Grove,[]
"As we throw ourselves into raw actions, our senses and instincts will rapidly be honed again",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
It's harder to be the best of class in several fields than in just one,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
You can be the subject of a strategic inflection point but you can also be the cause of one,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"In short, strategic inflection points are about fundamental change in any business, technological or not",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
The ability to recognize that the winds have shifted and to take appropriate action before you wreck your boat in crucial to the future of an enterprise,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
Business success contains the seeds of its own destruction.,Only the Paranoid Survive,Andrew S. Grove,[]
a strategic inflection point is a time in the life of business when its fundamentals are about to change. that change can mean an opportunity to rise to new heights. But it may just as likely signal the beginning of the end,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"The sad news is, nobody owes you a career. Your career is literally your business. You own it as a sole proprietor. You have one employee: yourself. You are in competition with millions of similar businesses: millions of other employees all over the world. You need to accept ownership of your career, your skills and the timing of your moves. It is your responsibility to protect this personal business of yours from harm and to position it to benefit from the changes in the environment. Nobody else can do that for you.",Only the Paranoid Survive,Andrew S. Grove,[]
"Admitting that you need to learn something new is always difficult. It is even harder if you are a senior manager who is accustomed to the automatic deference which people accord you owing to your position. But if you don’t fight it, that very deference may become a wall that isolates you from learning new things. It all takes self-discipline.",Only the Paranoid Survive,Andrew S. Grove,[]
"While the story is unique to Intel, the lessons, I believe, are universal",Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
"If existing management want to keep their jobs when the basics of the business are undergoing profound change, they must adopt an outsider’s intellectual objectivity. They must do what they need to do to get through the strategic inflection point unfettered by any emotional attachment to the past. That’s what Gordon and I had to do when we figuratively went out the door, stomped out our cigarettes and returned to do the job.",Only the Paranoid Survive,Andrew S. Grove,[]
The strategic inflection point is the time to wake up an listen,Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,[]
