quoteText,bookTitle,bookAuthor,tags
"Barry Schwartz points out in his book, The Paradox of Choice, that this kind of sheep-in-wolf’s-clothing decision is more likely to come up the more options you have to choose from. The greater the number of available options, the greater the likelihood that more than one of those options will look pretty good to you. The more options that look pretty good to you, the more time you spend in analysis paralysis. That’s the paradox: more choice, more anxiety. Remember, if the only choices are between Paris and a trout cannery, no one has a problem. But what if the choices are Paris or Rome or Amsterdam or Santorini or Machu Picchu? You get the picture. THE ONLY-OPTION TEST For any options you’re considering, ask yourself, “If this were the only option I had, would I be happy with it?” A useful tool you can use to break the gridlock is the Only-Option Test. If this were the only thing I could order on the menu . . . If this were the only show I could watch on Netflix tonight . . . If this were the only place I could go for vacation . . . If this were the only college I got accepted to . . . If this were the only house I could buy . . . If this were the only job I got offered . . . The Only-Option Test clears away the debris cluttering your decision. If you’d be happy if Paris were your only option, and you’d be happy if Rome were your only option, that reveals that if you just flip a coin, you’ll be happy whichever way the coin lands.",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"And this feeling that the result of the decision tells you something significant about the quality of the decision process is so powerful that even when the description of the decision is identical (you quit your job and take a new position), your view of that decision changes as the quality of the result changes.",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"For reasons that are going to become clear, a good decision tool seeks to reduce the role of cognitive bias (such as overconfidence, hindsight bias, or confirmation bias) and a pros and cons list tends to amplify the role of bias.",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"Determining whether a decision is good or bad means examining the quality of the beliefs informing the decision, the available options, and how the future might turn out given any choice you make.",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"There’s a name for this: Resulting. When people result, they look at whether the result was good or bad to figure out if the decision was good or bad. (Psychologists",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"When the outcome turns out poorly, it’s easy to focus on the details that suggest the decision process was poor. We think we are seeing the decision quality rationally because the bad process is obvious.",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
The quality of the outcome casts a shadow over our ability to see the quality of the decision.,How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
We want outcome quality to align with decision quality.,How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
The decision you make determines which set of outcomes are possible and how likely each of those outcomes is. But it doesn’t determine which of that set of outcomes will actually happen.,How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
"Luck is what intervenes between your decision (which has a range of possible outcomes) and the outcome that you actually get. Because any decision determines only the set of possible outcomes (some good, some bad, some in between), this means good outcomes can result from both good and bad",How to Decide: Simple Tools for Making Better Choices,Annie Duke,[]
