quoteText,bookTitle,bookAuthor,tags
"What makes a decision great is not that it has a great outcome. A great decision is the result of a good process, and that process must include an attempt to accurately represent our own state of knowledge. That state of knowledge, in turn, is some variation of “I’m not sure.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"In most of our decisions, we are not betting against another person. Rather, we are betting against all the future versions of ourselves that we are not choosing.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Improving decision quality is about increasing our chances of good outcomes, not guaranteeing them.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
Thinking in bets starts with recognizing that there are exactly two things that determine how our lives turn out: the quality of our decisions and luck. Learning to recognize the difference between the two is what thinking in bets is all about.,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Even research communities of highly intelligent and well-meaning individuals can fall prey to confirmation bias, as IQ is positively correlated with the number of reasons people find to support their own side in an argument",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Despite the popular wisdom that we achieve success through positive visualization, it turns out that incorporating negative visualization makes us more likely to achieve our goals.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"The secret is to make peace with walking around in a world where we recognize that we are not sure and that’s okay. As we learn more about how our brains operate, we recognize that we don’t perceive the world objectively. But our goal should be to try.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"frame: the smarter you are, the better you are at constructing a narrative that supports your beliefs, rationalizing and framing the data to fit your argument or point of view.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Chess, for all its strategic complexity, isn’t a great model for decision-making in life, where most of our decisions involve hidden information and a much greater influence of luck.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Outcomes don’t tell us what’s our fault and what isn’t, what we should take credit for and what we shouldn’t. Unlike in chess, we can’t simply work backward from the quality of the outcome to determine the quality of our beliefs or decisions. This makes learning from outcomes a pretty haphazard process.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Truthseeking, the desire to know the truth regardless of whether the truth aligns with the beliefs we currently hold, is not naturally supported by the way we process information. We might think of ourselves as open-minded and capable of updating our beliefs based on new information, but the research conclusively shows otherwise. Instead of altering our beliefs to fit new information, we do the opposite, altering our interpretation of that information to fit our beliefs.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
"Over time, those world-class poker players taught me to understand what a bet really is: a decision about an uncertain future. The implications of treating decisions as bets made it possible for me to find learning opportunities in uncertain environments. Treating decisions as bets, I discovered, helped me avoid common decision traps, learn from results in a more rational way, and keep emotions out of the process as much as possible.",Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,[]
