quoteText,bookTitle,bookAuthor,tags
Rivalry causes us to overemphasize old opportunities and slavishly copy what has worked in the past.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"Madness is rare in individuals—but in groups, parties, nations, and ages it is the rule,” Nietzsche wrote (before he went mad).","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
The first step to thinking clearly is to question what we think we know about the past.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"If you’re less sensitive to social cues, you’re less likely to do the same things as everyone else around you.","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
No sector will ever be so important that merely participating in it will be enough to build a great company.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
All happy companies are different: each one earns a monopoly by solving a unique,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"Brilliant thinking is rare, but courage is in even shorter supply than genius. Most","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"the single most powerful pattern I have noticed is that successful people find value in unexpected places, and they do this by thinking about business from first principles instead of formulas. This","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
you must study the endgame before everything else.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"Even in engineering-driven Silicon Valley, the buzzwords of the moment call for building a “lean startup” that can “adapt” and “evolve” to an ever-changing environment. Would-be entrepreneurs are told that nothing can be known in advance: we’re supposed to listen to what customers say they want, make nothing more than a “minimum viable product,” and iterate our way to success. But leanness is a methodology, not a goal. Making small changes to things that already exist might lead you to a local maximum, but it won’t help you find the global maximum. You could build the best version of an app that lets people order toilet paper from their iPhone. But iteration without a bold plan won’t take you from 0 to 1. A company is the strangest place of all for an indefinite optimist: why should you expect your own business to succeed without a plan to make it happen? Darwinism may be a fine theory in other contexts, but in startups, intelligent design works best.","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"Of course, this customer acquisition strategy was unsustainable on its own—when you pay people to be your customers, exponential growth means an exponentially growing cost structure.","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"Making small changes to things that already exist might lead you to a local maximum, but it won’t help you find the global maximum. You","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
Creating value is not enough—you also need to capture some of the value you create.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
people then products then traffic then revenue.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
"WHENEVER I INTERVIEW someone for a job, I like to ask this question: “What important truth do very few people agree with you on?","Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
This is why it’s always a red flag when entrepreneurs talk about getting 1% of a $100 billion market.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
business with a good definite plan will always be underrated in a world where people see the future as random.,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake Masters,[]
