quoteText,bookTitle,bookAuthor,tags
The most basic way to get someone's attention is this: Break a pattern.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath and Dan Heath,"['attention', 'habit', 'pattern']"
"Stephen Covey, in his book The 8th Habit, decribes a poll of 23,000 employees drawn from a number of companies and industries. He reports the poll's findings:",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath & Dan Heath,"['communication', 'human-scale', 'simplicity']"
Anger prepares us to fight and fear prepares us to flee.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath and Dan Heath,"['anger', 'fear', 'fight', 'flee']"
"To make our communications more effective, we need to shift our thinking from ""What information do I need to convey?"" to ""What questions do I want my audience to ask?",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"['audience', 'communication', 'get-them-to-think']"
The first problem of communication is getting people's attention.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath and Dan Heath,"['attention', 'communication']"
"The Curse of Knowledge: when we are given knowledge, it is impossible to imagine what it's like to LACK that knowledge.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
People tend to overuse any idea or concept that delivers an emotional kick.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath and Dan Heath,"['communication', 'emotion', 'idea', 'semantic-stretch']"
"If I already intuitively ""get"" what you're trying to tell me, why should I obsess about remembering it? The danger, of course, is that what sounds like common sense often isn't.... It's your job, as a communicator, to expose the parts of your message that are uncommon sense.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath & Dan Heath,"['common-sense', 'communication', 'express', 'message']"
The most basic way to make people care is to form an association between something they don’t yet care about and something they do care about. We,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"When people know the desired destination, they’re free to improvise, as needed, in arriving there.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"People are tempted to tell you everything, with perfect accuracy, right up front, when they should be giving you just enough info to be useful, then a little more, then a little more.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"So, a good process for making your ideas stickier is: (1) Identify the central message you need to communicate—find the core; (2) Figure out what is counterintuitive about the message—i.e., What are the unexpected implications of your core message? Why isn’t it already happening naturally? (3) Communicate your message in a way that breaks your audience’s guessing machines along the critical, counterintuitive dimension. Then, once their guessing machines have failed, help them refine their machines.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
Mystery is created not from an unexpected moment but from an unexpected journey. We know where we’re headed—we want to solve the mystery—but we’re not sure how we’ll get there.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"The story’s power, then, is twofold: It provides simulation (knowledge about how to act) and inspiration (motivation to act).",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
work to make the core message itself more interesting.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"To make our communications more effective, we need to shift our thinking from “What information do I need to convey?” to “What questions do I want my audience to ask?",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"A great way to avoid useless accuracy, and to dodge the Curse of Knowledge, is to use analogies. Analogies derive their power from schemas: A pomelo is like a grapefruit. A good news story is structured like an inverted pyramid. Skin damage is like aging. Analogies make it possible to understand a compact message because they invoke concepts that you already know.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
for creating a successful idea: a Simple Unexpected Concrete Credentialed Emotional Story.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Nora Ephron is a screenwriter whose scripts for Silkwood, When Harry Met Sally, and Sleepless in Seattle have all been nominated for Academy Awards. Ephron started her career as a journalist for the New York Post and Esquire. She became a journalist because of her high school journalism teacher. Ephron still remembers the first day of her journalism class. Although the students had no journalism experience, they walked into their first class with a sense of what a journalist does: A journalists gets the facts and reports them. To get the facts, you track down the five Ws—who, what, where, when, and why. As students sat in front of their manual typewriters, Ephron’s teacher announced the first assignment. They would write the lead of a newspaper story. The teacher reeled off the facts: “Kenneth L. Peters, the principal of Beverly Hills High School, announced today that the entire high school faculty will travel to Sacramento next Thursday for a colloquium in new teaching methods. Among the speakers will be anthropologist Margaret Mead, college president Dr. Robert Maynard Hutchins, and California governor Edmund ‘Pat’ Brown.” The budding journalists sat at their typewriters and pecked away at the first lead of their careers. According to Ephron, she and most of the other students produced leads that reordered the facts and condensed them into a single sentence: “Governor Pat Brown, Margaret Mead, and Robert Maynard Hutchins will address the Beverly Hills High School faculty Thursday in Sacramento. . .blah, blah, blah.” The teacher collected the leads and scanned them rapidly. Then he laid them aside and paused for a moment. Finally, he said, “The lead to the story is ‘There will be no school next Thursday.’” “It was a breathtaking moment,” Ephron recalls. “In that instant I realized that journalism was not just about regurgitating the facts but about figuring out the point. It wasn’t enough to know the who, what, when, and where; you had to understand what it meant. And why it mattered.” For the rest of the year, she says, every assignment had a secret—a hidden point that the students had to figure out in order to produce a good story.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
mental practice alone produced about two thirds of the benefits of actual physical practice,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"a secondary effect of being angry, which was recently discovered by researchers, is that we become more certain of our judgments. When we’re angry, we know we’re right, as anyone who has been in a relationship can attest.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Statistics are rarely meaningful in and of themselves. Statistics will, and should, almost always be used to illustrate a relationship. It’s more important for people to remember the relationship than the number.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Curiosity, he says, happens when we feel a gap in our knowledge.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Your brain hosts a truly staggering number of loops. The more hooks an idea has, the better it will cling to memory.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
Generative metaphors and proverbs both derive their power from a clever substitution: They substitute something easy to think about for something difficult.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"spell out the benefit of the benefit. In other words, people don’t buy quarter-inch drill bits. They buy quarter-inch holes so they can hang their children’s pictures.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Feature creep is an innocent process. An engineer looking at a prototype of a remote control might think to herself, “Hey, there’s some extra real estate here on the face of the control. And there’s some extra capacity on the chip. Rather than let it go to waste, what if we give people the ability to toggle between the Julian and Gregorian calendars?",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath & Dan Heath,[]
"Lots of us have expertise in particular areas. Becoming an expert in something means that we become more and more fascinated by nuance and complexity. That’s when the Curse of Knowledge kicks in, and we start to forget what it’s like not to know what we know.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"It’s hard to make ideas stick in a noisy, unpredictable, chaotic environment. If we’re to succeed, the first step is this: Be simple. Not simple in terms of “dumbing down” or “sound bites.” You don’t have to speak in monosyllables to be simple. What we mean by “simple” is finding the core of the idea. “Finding the core” means stripping an idea down to its most critical essence. To get to the core, we’ve got to weed out superfluous and tangential elements. But that’s the easy part. The hard part is weeding out ideas that may be really important but just aren’t the most important idea. The Army’s Commander’s Intent forces its officers to highlight the most important goal of an operation. The value of the Intent comes from its singularity. You can’t have five North Stars, you can’t have five “most important goals,” and you can’t have five Commander’s Intents. Finding the core is analogous to writing the Commander’s Intent—it’s about discarding a lot of great insights in order to let the most important insight shine. The French aviator and author Antoine de Saint-Exupéry once offered a definition of engineering elegance: “A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.” A designer of simple ideas should aspire to the same goal: knowing how much can be wrung out of an idea before it begins to lose its essence.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"In reality, electrons move in “probability clouds.” So what do you tell a sixth grader? Do you talk about the motion of planets, which is easy to understand and nudges you closer to the truth? Or do you talk about “probability clouds,” which are impossible to understand but accurate? The choice may seem to be a difficult one: (1) accuracy first, at the expense of accessibility; or (2) accessibility first, at the expense of accuracy. But in many circumstances this is a false choice for one compelling reason: If a message can’t be used to make predictions or decisions, it is without value, no matter how accurate or comprehensive it is. Herb Kelleher could tell a flight attendant that her goal is to “maximize shareholder value.” In some sense, this statement is more accurate and complete than that the goal is to be “THE low-fare airline.” After all, the proverb “THE low-fare airline” is clearly incomplete—Southwest could offer lower fares by eliminating aircraft maintenance, or by asking passengers to share napkins. Clearly, there are additional values (customer comfort, safety ratings) that refine Southwest’s core value of economy. The problem with “maximize shareholder value,” despite its accuracy, is that it doesn’t help the flight attendant decide whether to serve chicken salad. An accurate but useless idea is still useless.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Journalists obsess about their leads. Don Wycliff, a winner of prizes for editorial writing, says, “I’ve always been a believer that if I’ve got two hours in which to write a story, the best investment I can make is to spend the first hour and forty-five minutes of it getting a good lead, because after that everything will come easily.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Ethically challenged people with lots of analytical smarts can, with enough contortions, make almost any case from a given set of statistics.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"If you want your ideas to be stickier, you’ve got to break someone’s guessing machine and then fix it.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"plans are useful, in the sense that they are proof that planning has taken place. The planning process forces people to think through the right issues. But as for the plans themselves, Kolditz says, “They just don’t work on the battlefield.” So, in the 1980s the Army adapted its planning process, inventing a concept called Commander’s Intent (CI). CI is a crisp, plain-talk statement that appears at the top of every order, specifying the plan’s goal, the desired end-state of an operation. At",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"A friend of a friend . . ."" Have you ever noticed that our friends' friends have much more interesting lives than our friends themselves?",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
It changed their attitude from reactive and critical to active and creative.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Stephen Covey, in his book The 8th Habit, describes a poll of 23,000 employees drawn from a number of companies and industries. He reports the poll’s findings: Only 37 percent said they have a clear understanding of what their organization is trying to achieve and why. Only one in five was enthusiastic about their team’s and their organization’s goals. Only one in five said they had a clear “line of sight” between their tasks and their team’s and organization’s goals. Only 15 percent felt that their organization fully enables them to execute key goals. Only 20 percent fully trusted the organization they work for.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
Simple ideas: short sentences (compact) drawn from long experience,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Some analogies are so useful that they don’t merely shed light on a concept, they actually become platforms for novel thinking. For example, the metaphor of the brain as a computer has been central to the insights generated by cognitive psychologists during the past fifty years.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"So, rather than guess about whether people will understand our ideas, we should ask, “Is it concrete?” Rather than speculate about whether people will care, we should ask, “Is it emotional? Does it get out of Maslow’s basement? Does it force people to put on an Analytical Hat or allow them to feel empathy?",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"This is how concreteness helps us understand—it helps us construct higher, more abstract insights on the building blocks of our existing knowledge and perceptions. Abstraction demands some concrete foundation. Trying to teach an abstract principle without concrete foundations is like trying to start a house by building a roof in the air.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Compared with a typical mail-order ad, the “imagine cable television” appeal is a much more subtle appeal to self-interest. Note that the benefits offered were not fantastic in a Caples-esque way. The gist was that you could avoid the hassle of leaving home (!) by ordering cable. Indeed, just hearing about the benefits, in the abstract, wasn’t enough to lure additional subscribers. It was only when people put themselves in the starring role—I can see myself watching a good movie at home with my hubby, and I can get up and check on the kids in the next room whenever I like … and think of all that babysitting money I’d save!—that their interest grew. This finding suggests that it may be the tangibility, rather than the magnitude, of the benefits that makes people care. You don’t have to promise riches and sex appeal and magnetic personalities. It may be enough to promise reasonable benefits that people can easily imagine themselves enjoying.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Good metaphors are “generative.”13 The psychologist Donald Schon introduced this term to describe metaphors that generate “new perceptions, explanations, and inventions.” Many",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Challenge plot, the Connection plot, and the Creativity plot.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"It can feel unnatural to speak concretely about subject matter we’ve known intimately for years. But if we’re willing to make the effort we’ll see the rewards: Our audience will understand what we’re saying and remember it. The moral of this story is not to “dumb things down.” The manufacturing people faced complex problems and they needed smart answers. Rather, the moral of the story is to find a “universal language,” one that everyone speaks fluently. Inevitably, that universal language will be concrete.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Mother Teresa once said, “If I look at the mass, I will never act. If I look at the one, I will.” In",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"One of the worst things about knowing a lot, or having access to a lot of information, is that we’re tempted to share it all.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"To summarize, here’s our checklist for creating a successful idea: a Simple Unexpected Concrete Credentialed Emotional Story.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Denning says that the idea of telling stories initially violated his intuition. He had always believed in the value of being direct, and he worried that stories were too ambiguous, too peripheral, too anecdotal. He thought, “Why not spell out the message17 directly? Why go to the trouble and difficulty of trying to elicit the listener’s thinking indirectly, when it would be so much simpler if I come straight out in an abstract directive? Why not hit the listeners between the eyes?” The problem is that when you hit listeners between the eyes they respond by fighting back. The way you deliver a message to them is a cue to how they should react. If you make an argument, you’re implicitly asking them to evaluate your argument—judge it, debate it, criticize it—and then argue back, at least in their minds. But with a story, Denning argues, you engage the audience—you are involving people with the idea, asking them to participate with you.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"avoid useless accuracy, and to dodge the Curse of Knowledge, is to use analogies.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"the pop-psychology literature is full of gurus urging you to visualize success. It turns out that a positive mental attitude isn’t quite enough to get the job done. Maybe financial gurus shouldn’t be telling us to imagine that we’re filthy rich; instead, they should be telling us to replay the steps that led to our being poor.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
punch line: The most basic way to make people care is to form an association between something they don’t yet care about and something they do care about.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"We discussed the Curse of Knowledge in the introduction—the difficulty of remembering what it was like not to know something. Accuracy to the point of uselessness is a symptom of the Curse of Knowledge. To a CEO, “maximizing shareholder value” may be an immensely useful rule of behavior. To a flight attendant, it’s not. To a physicist, probability clouds are fascinating phenomena. To a child, they are incomprehensible. People are tempted to tell you everything, with perfect accuracy, right up front, when they should be giving you just enough info to be useful, then a little more, then a little more.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"When a CEO discusses “unlocking shareholder value,” there is a tune playing in her head that the employees can’t hear.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Sportsmanship"" had been stretched too far. Like ""relativity,"" it had migrated far afield from its original meaning. It used to refer to the kind of behavior that Lance Armstrong showed Jan Ullrich. But over time the term was stretched to include unimpressive, nonchivalrous behavior, like losing without whining too much or making it through an entire game without assaulting a referee.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"['definitions', 'sportsmanship']"
"An old advertising maxim says you've got to spell out the benefit of the benefit. In other words, people don't buy quarter-inch drill bits. They buy quarter-inch holes so they can hang their children's pictures.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"['communication', 'motives']"
"One important implication of the gap theory is that we need to open gaps before we close them. Our tendency is to tell people the facts. First, though, they must realize that they need these facts. The",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"If an atomic bomb fell on Raleigh, it wouldn’t be news in Benson unless some of the debris and ashes fell on Benson.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"This is the Curse of Knowledge. Once we know something, we find it hard to imagine what it was like not to know it. Our knowledge has “cursed” us.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Contrast the “maximize shareholder value” idea with John F. Kennedy’s famous 1961 call to “put a man on the moon and return him safely by the end of the decade.” Simple? Yes. Unexpected? Yes. Concrete? Amazingly so. Credible? The goal seemed like science fiction, but the source was credible. Emotional? Yes. Story? In miniature. Had John F. Kennedy been a CEO, he would have said, “Our mission is to become the international leader in the space industry through maximum team-centered innovation and strategically targeted aerospace initiatives.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Prioritization rescues people from the quicksand of decision angst, and that’s why finding the core is so valuable.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"When your finance professor starts using the word “dude,” you must eliminate the word from your vocabulary.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
companies often emphasize features when they should be emphasizing benefits.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
people don’t buy quarter-inch drill bits. They buy quarter-inch holes so they can hang their children’s pictures.,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"The linkages between emotion and behavior can be more subtle, though. For instance, a secondary effect of being angry, which was recently discovered by researchers, is that we become more certain of our judgments. When we’re angry, we know we’re right, as anyone who has been in a relationship can attest.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Which of these animals is more likely to kill you? A SHARK                                    A DEER           ANSWER: The deer is more likely to kill you. In fact, it’s 300 times more likely to kill you (via a collision with your car).",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"Know what your listeners care about, so you can tailor your communication to them.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"If you’ve got to teach an idea to a room full of people, and you aren’t certain what they know, concreteness is the only safe language.",Made to Stick (Chapter 3: Concrete): Why Some Ideas Survive and Others Die,Chip Heath,[]
Unexpected ideas are more likely to stick because surprise makes us pay attention and think.,Made to Stick (Chapter 2: Unexpected): Why Some Ideas Survive and Others Die,Chip Heath,[]
"If a message can’t be used to make predictions or decisions, it is without value, no matter how accurate or comprehensive it is.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
"In 1985, an ABC News poll showed that 60 percent of parents worried that their children might be victimized. To this day, many parents warn their children not to eat any snacks that aren’t prepackaged. This is a sad story: a family holiday sullied by bad people who, inexplicably, wish to harm children. But in 1985 the story took a strange twist. Researchers discovered something shocking about the candy-tampering epidemic: It was a myth. The researchers, sociologists Joel Best and Gerald Horiuchi, studied every reported Halloween incident since 1958. They found no instances where strangers caused children life-threatening harm on Halloween by tampering with their candy. Two children did die on Halloween, but their deaths weren’t caused by strangers. A five-year-old boy found his uncle’s heroin stash and overdosed. His relatives initially tried to cover their tracks by sprinkling heroin on his candy. In another case, a father, hoping to collect on an insurance settlement, caused the death of his own son by contaminating his candy with cyanide. In other words, the best social science evidence reveals that taking candy from strangers is perfectly okay. It’s your family you should worry about.",Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,[]
