quoteText,bookTitle,bookAuthor,tags
Disruptive technologies typically enable new markets to emerge.,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"The reason is that good management itself was the root cause. Managers played the game the way it was supposed to be played. The very decision-making and resource-allocation processes that are key to the success of established companies are the very processes that reject disruptive technologies: listening carefully to customers; tracking competitors’ actions carefully; and investing resources to design and build higher-performance, higher-quality products that will yield greater profit. These are the reasons why great firms stumbled or failed when confronted with disruptive technological change.",The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,[]
"disruptive technology should be framed as a marketing challenge, not a technological one.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"First, disruptive products are simpler and cheaper; they generally promise lower margins, not greater profits. Second, disruptive technologies typically are first commercialized in emerging or insignificant markets. And third, leading firms’ most profitable customers generally don’t want, and indeed initially can’t use, products based on disruptive technologies.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"To succeed consistently, good managers need to be skilled not just in choosing, training, and motivating the right people for the right job, but in choosing, building, and preparing the right organization for the job as well.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"Three classes of factors affect what an organization can and cannot do: its resources, its processes, and its values.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"The techniques that worked so extraordinarily well when applied to sustaining technologies, however, clearly failed badly when applied to markets or applications that did not yet exist.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"With few exceptions, the only instances in which mainstream firms have successfully established a timely position in a disruptive technology were those in which the firms’ managers set up an autonomous organization charged with building a new and independent business around the disruptive technology.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
"An organization’s capabilities reside in two places. The first is in its processes—the methods by which people have learned to transform inputs of labor, energy, materials, information, cash, and technology into outputs of higher value. The second is in the organization’s values, which are the criteria that managers and employees in the organization use when making prioritization decisions.",The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
This is one of the innovator’s dilemmas: Blindly following the maxim that good managers should keep close to their customers can sometimes be a fatal mistake.,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
Sound managerial decisions are at the very root of their impending fall from industry leadership.,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,[]
