quoteText,bookTitle,bookAuthor,tags
People don’t want to buy a quarter-inch drill. They want a quarter-inch hole.,The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
Competitiveness is far more about doing what customers value than doing what you think you’re good at. And,The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"Disruptive innovations, in contrast, don’t attempt to bring better products to established customers in existing markets. Rather, they disrupt and redefine that trajectory by introducing products and services that are not as good as currently available products. But disruptive technologies offer other benefits—typically, they are simpler, more convenient, and less expensive products that appeal to new or less-demanding customers.3",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"Research suggests that in over 90 percent of all successful new businesses, historically, the strategy that the founders had deliberately decided to pursue was not the strategy that ultimately led to the business’s success.",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"Predictable marketing requires an understanding of the circumstances in which customers buy or use things. Specifically, customers—people and companies—have “jobs” that arise regularly and need to get done. When customers become aware of a job that they need to get done in their lives, they look around for a product or service that they can “hire” to get the job done.",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
Focus is scary—until you realize that it only means turning your back on markets you could never have anyway. Sharp focus on jobs that customers are trying to get done holds the promise of greatly improving the odds of success in new-product development.,The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"The key to getting hired is to understand the narrative of the customer’s life in such rich detail that you are able to design a solution that far exceeds anything the customer themselves could have found words to request. In hindsight, breakthrough insights might seem obvious, but they rarely are. In fact, they’re fundamentally contrarian: you see something that others have missed.",Competing Against Luck: The Story of Innovation and Customer Choice,Clayton M. Christensen,[]
"cost reductions meant survival, but not profitability,",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"The foundation of our thinking is the Theory of Jobs to Be Done, which focuses on deeply understanding your customers’ struggle for progress and then creating the right solution and attendant set of experiences to ensure you solve your customers’ jobs well, every time. “Theory” may conjure up images of ivory tower musings, but I assure you that it is the most practical and useful business tool we can offer you. Good theory helps us understand “how” and “why.” It helps us make sense of how the world works and predict the consequences of our decisions and our actions. Jobs Theory5, we believe, can move companies beyond hoping that correlation is enough to the causal mechanism of successful innovation. Innovation may never be a perfect science, but that’s not the point. We have the ability to make innovation a reliable engine for growth, an engine based on a clear understanding of causality, rather than simply casting seeds in the hopes of one day harvesting some fruit.",Competing Against Luck: The Story of Innovation and Customer Choice,Clayton M. Christensen,[]
"Keeping high-volume procedures within general hospitals allows hospitals to subsidize the unique, low-volume specialized capabilities that are so central to the value proposition of their solution shops- being able to diagnose and embark on a therapy for anything that might be wrong.",Innovator's Prescription,Clayton M. Christensen,[]
this is a serious development for our medical training establishment is that a host of technological enablers will fuel the disruption of specialists by primary care physicians in the future.,The Innovator's Prescription : A Disruptive Solution for Health Care,Clayton M. Christensen,[]
the breakthrough researcher first discovers the fundamental causal mechanism behind the phenomena of success. This allows those who are looking for “an answer” to get beyond the wings-and-feathers mind-set of copying the attributes of successful companies.,The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"But was the Newton a failure? The timing of Newton’s entry into the handheld market was akin to the timing of the Apple II into the desktop market. It was a market-creating, disruptive product targeted at an undefinable set of users whose needs were unknown to either themselves or Apple. On that basis, Newton’s sales should have been a pleasant surprise to Apple’s executives: It outsold the Apple II in its first two years by a factor of more than three to one. But while selling 43,000 units was viewed as an IPO-qualifying triumph in the smaller Apple of 1979, selling 140,000 Newtons was viewed as a failure in the giant Apple of 1994.","Disruptive Innovation: The Christensen Collection (the Innovator's Dilemma, the Innovator's Solution, the Innovator's DNA, and Harvard Business Review Article ""How Will You Measure Your Life?"")",Clayton M. Christensen,[]
"The circumstance is fundamental to defining the job (and finding a solution for it), because the nature of the progress desired will always be strongly influenced by the circumstance.",Competing Against Luck: The Story of Innovation and Customer Choice,Clayton M. Christensen,[]
"Much of the ability to create and maintain valuable brands, as a consequence, has migrated away from the product and to the channel because, for the present, it is the channel that addresses the piece of added value that is not yet good enough.",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"Probably the most daunting challenge in delivering growth is that if you fail once to deliver it, the odds that you ever will be able to deliver in the future are very low.",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"As Nate Silver, author of The Signal and the Noise: Why So Many Predictions Fail—But Some Don’t, points out, “ice cream sales and forest fires are correlated because both occur more often in the summer heat. But there is no causation; you don’t light a patch of the Montana brush on fire when you buy a pint of Häagen-Dazs.” Of course, it’s no surprise that correlation isn’t the same as causality. But although most organizations know that, I don’t think they act as if there is a difference. They’re comfortable with correlation. It allows managers to sleep at night. But correlation does not reveal the one thing that matters most in innovation—the causality behind why I might purchase a particular solution. Yet few innovators frame their primary challenge around the discovery of a cause. Instead, they focus on how they can make their products better, more profitable, or differentiated from the competition. As W. Edwards Deming, the father of the quality movement that transformed manufacturing, once said: “If you do not know how to ask the right question, you discover nothing.” After decades of watching great companies fail over and over again, I’ve come to the conclusion that there is, indeed, a better question to ask: What job did you hire that product to do? For me, this is a neat idea. When we buy a product, we essentially “hire” something to get a job done. If it does the job well, when we are confronted with the same job, we hire that same product again. And if the product does a crummy job, we “fire” it and look around for something else we might hire to solve the problem. Every day stuff happens to us. Jobs arise in our lives that we need to get done. Some jobs are little (“ pass the time while waiting in line”), some are big (“ find a more fulfilling career”). Some surface unpredictably (“ dress for an out-of-town business meeting after the airline lost my suitcase”), some regularly (“ pack a healthy, tasty lunch for my daughter to take to school”). Other times we know they’re coming. When we realize we have a job to do, we reach out and pull something into our lives to get the job done. I might, for example, choose to buy the New York Times because I have a job to fill my time while waiting for a doctor’s appointment and I don’t want to read the boring magazines available in the lobby. Or perhaps because I’m a basketball fan and it’s March Madness time. It’s only when a job arises in my life that the Times can solve for me that I’ll choose to hire the paper to do it. Or perhaps I have it delivered to my door so that my neighbors think I’m informed—and nothing about their ZIP code or median household income will tell the Times that either.",Competing Against Luck,Clayton M. Christensen,[]
"Frederick Herzberg’s assertion that the most powerful motivator isn’t money; it’s the opportunity to learn, grow in responsibilities, contribute, and be recognized.","Disruptive Innovation: The Christensen Collection (the Innovator's Dilemma, the Innovator's Solution, the Innovator's DNA, and Harvard Business Review Article ""How Will You Measure Your Life?"")",Clayton M. Christensen,[]
"What Is a Job? To summarize, the key features of our definition are: A job is the progress that an individual seeks in a given circumstance. Successful innovations enable a customer’s desired progress, resolve struggles, and fulfill unmet aspirations. They perform jobs that formerly had only inadequate or nonexistent solutions. Jobs are never simply about the functional—they have important social and emotional dimensions, which can be even more powerful than functional ones. Because jobs occur in the flow of daily life, the circumstance is central to their definition and becomes the essential unit of innovation work—not customer characteristics, product attributes, new technology, or trends. Jobs to Be Done are ongoing and recurring. They’re seldom discrete “events.",Competing Against Luck: The Story of Innovation and Customer Choice,Clayton M. Christensen,[]
"when people encounter a significant threat, a response called “threat rigidity” sets in. The instinct of threat rigidity is to cease being flexible and to become “command and control” oriented—to focus everything on countering the threat in order to survive.",The Innovator's Solution: Creating and Sustaining Successful Growth,Clayton M. Christensen,[]
"The most vexing managerial aspect of this problem of asymmetry, where the easiest path to growth and profit is up, and the most deadly attacks come from below, is that “good” management—working harder and smarter and being more visionary—doesn’t solve the problem. The resource allocation process involves thousands of decisions, some subtle and some explicit, made every day by hundreds of people, about how their time and the company’s money ought to be spent. Even when a senior manager decides to pursue a disruptive technology, the people in the organization are likely to ignore it or, at best, cooperate reluctantly if it doesn’t fit their model of what it takes to succeed as an organization and as individuals within an organization. Well-run companies are not populated by yes-people who have been taught to carry out mindlessly the directives of management. Rather, their employees have been trained to understand what is good for the company and what it takes to build a successful career within the company. Employees of great companies exercise initiative to serve customers and meet budgeted sales and profits. It is very difficult for a manager to motivate competent people to energetically and persistently pursue a course of action that they think makes no sense.","Disruptive Innovation: The Christensen Collection (the Innovator's Dilemma, the Innovator's Solution, the Innovator's DNA, and Harvard Business Review Article ""How Will You Measure Your Life?"")",Clayton M. Christensen,[]
