quoteText,bookTitle,bookAuthor,tags
"To sell well is to convince someone else to part with resources—not to deprive that person, but to leave him better off in the end.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Anytime you're tempted to upsell someone else, stop what you're doing and upserve instead.",To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,"['sales', 'service']"
"This is what it means to serve: improving another’s life and, in turn, improving the world.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"In the new world of sales, being able to ask the right questions is more valuable than producing the right answers. Unfortunately, our schools often have the opposite emphasis. They teach us how to answer, but not how to ask.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"The purpose of a pitch isn’t necessarily to move others immediately to adopt your idea. The purpose is to offer something so compelling that it begins a conversation, brings the other person in as a participant, and eventually arrives at an outcome that appeals to both of you.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"One afternoon, Reeves and a colleague were having lunch in Central Park. On the way back to their Madison Avenue office, they encountered a man sitting in the park, begging for money. He had a cup for donations and beside it was a sign, handwritten on cardboard, that read: I AM BLIND. Unfortunately for the man, the cup contained only a few coins. His attempts to move others to donate money were coming up short. Reeves thought he knew why. He told his colleague something to the effect of: “I bet I can dramatically increase the amount of money that guy is raising simply by adding four words to his sign.” Reeves’s skeptical friend took him up on the wager. Reeves then introduced himself to the beleaguered man, explained that he knew something about advertising, and offered to change the sign ever so slightly to increase donations. The man agreed. Reeves took a marker and added his four words, and he and his friend stepped back to watch. Almost immediately, a few people dropped coins into the man’s cup. Other people soon stopped, talked to the man, and plucked dollar bills from their wallets. Before long, the cup was running over with cash, and the once sad-looking blind man, feeling his bounty, beamed. What four words did Reeves add?   It is springtime and   The sign now read:   It is springtime and I am blind.   Reeves won his bet. And we learned a lesson. Clarity depends on contrast.","To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others",Daniel H. Pink,[]
"Extraverts, in other words, often stumble over themselves. They can talk too much and listen too little, which dulls their understanding of others’ perspectives. They can fail to strike the proper balance between asserting and holding back, which can be read as pushy and drive people away.*",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"A few of us are extraverts. A few of us are introverts. But most of us are ambiverts, sitting near the middle, not the edges, happily attuned to those around us. In some sense, we are born to sell.",To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,['sales']
"Sales and theater have much in common. Both take guts. Salespeople pick up the phone and call strangers; actors walk onto the stage in front of them. Both invite rejection—for salespeople, slammed doors, ignored calls, and a pile of nos; for actors, a failed audition, an unresponsive audience, a scathing review. And both have evolved along comparable trajectories.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
What an individual does day to day on the job now must stretch across functional boundaries. Designers analyze. Analysts design. Marketers create. Creators market.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Finally, at every opportunity you have to move someone—from traditional sales, like convincing a prospect to buy a new computer system, to non-sales selling, like persuading your daughter to do her homework—be sure you can answer the two questions at the core of genuine service. If the person you’re selling to agrees to buy, will his or her life improve? When your interaction is over, will the world be a better place than when you began? If the answer to either of these questions is no, you’re doing something wrong.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
We often understand something better when we see it in comparison with something else than when we see it in isolation.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Anytime you’re tempted to upsell someone else, stop what you’re doing and upserve instead. Don’t try to increase what they can do for you. Elevate what you can do for them.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"In a world where anybody can find anything with just a few keystrokes, intermediaries like salespeople are superfluous. They merely muck up the gears of commerce and make transactions slower and more expensive.","To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others",Daniel H. Pink,[]
"As Daniel Pink notes in To Sell Is Human, “Like it or not, we’re all in sales now.”4",Talk Like TED,Carmine Gallo,[]
researchers have found that extraversion has “no statistically significant relationship . . . with sales performance,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
Bezos includes one more chair that remains empty. It’s there to remind those assembled who’s really the most important person in the room: the customer.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"it is springtime and I am blind""... Clarity depends on contrast - 134",To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Every circumstance in which we try to move others by definition involves another human being. Yet in the name of professionalism, we often neglect the human element and adopt a stance that’s abstract and distant.","To Sell Is Human: The Surprising Truth About Persuading, Convincing and Influencing Others",Daniel H. Pink,[]
"Nineteen centuries ago, the Greek Stoic philosopher Epictetus said, “Nature hath given men one tongue but two ears, that we may hear from others twice as much as we speak.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
Good improvisers seem telepathic; everything looks prearranged. This is because they accept all offers made.”9,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
A world of flat organizations and tumultuous business conditions – and that’s our world – punishes fixed skills and prizes elastic ones.,To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Queston 1. ""On a scale of 1 to 10, with 1 meaning 'not the least bit ready' and 10 meaning ""totally ready"", how ready are you to study?",To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
A world of flat organizations and tumultuous business conditions—and that’s our world—punishes fixed skills and prizes elastic ones.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"including a rhyme can enhance the processing fluency of your listeners, allowing your message to stick in their minds when they compare you and your competitors",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"The most popular TED speakers give presentations that stand out in a sea of ideas. As Daniel Pink notes in To Sell Is Human, “Like it or not, we’re all in sales now.”4 If you’ve been invited to give a TED talk, this book is your bible. If you haven’t been invited to give a TED talk and have no intention of doing so, this book is still among the most valuable books you’ll ever read because it will teach you how to sell yourself and your ideas more persuasively than you’ve ever imagined. It will teach you how to incorporate the elements that all inspiring presentations share, and it will show you how to reimagine the way you see yourself as a leader and a communicator. Remember, if you can’t inspire anyone else with your ideas, it won’t matter how great those ideas are. Ideas are only as good as the actions that follow the communication of those ideas.",Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo,[]
"and, in its own sweet way, more beautiful than we realize. The ability to move others to exchange what they have for what we have is crucial to our survival and our happiness.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
The ability to move others to exchange what they have for what we have is crucial to our survival and our happiness.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"The ability to move others to exchange what they have for what we have is crucial to our survival and our happiness. It has helped our species evolve, lifted our living standards, and enhanced our daily lives. The capacity to sell isn’t some unnatural adaptation to the merciless world of commerce. It is part of who we are. As you’re about to see, if I’ve moved you to turn the page, selling is fundamentally human.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Today, they must be good at asking questions—uncovering possibilities, surfacing latent issues, and finding unexpected problems.","To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others",Daniel H. Pink,[]
"Regret is a retrospective emotion. It springs into being when we look backward. But we can also use it prospectively and proactively—to gaze into the future, predict what we will regret, and then reorient our behavior based on our forecast.","The Power of Regret [Hardcover], When, Drive, To Sell Is Human 4 Books Collection Set By Daniel H. Pink",Daniel H. Pink,[]
Being honest about the existence of a small blemish can enhance your offering’s true beauty.,"To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others",Daniel H. Pink,[]
"But the teacher works to convince his class to part with resources—time, attention, effort—and if they do, they will be better off when the term ends than they were when it began.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
One of the most effective ways of moving others is to uncover challenges they may not know they have.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"The model of health care is ‘We’re the experts.’ We go in and tell you what to do.” But she has found, and both experience and evidence confirm, that this approach has its limits. “We need to take a step back and bring [patients] on board,” she told me. “People usually know themselves way better than I do.” So now, in order to move people to move themselves, she tells them, “I need your expertise.” Patients heal faster and better when they’re part of the moving process.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Asymmetrical information creates all sorts of headaches. If the seller knows much more about the product than the buyer, the buyer understandably gets suspicious. What’s the seller concealing?",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"When honest sellers opt out, the only ones who remain are the shysters and the charlatans—pushy guys in suits using sleazy tactics to stick you with a heap of junk. Ick.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
The presence of so many salespeople in the planet’s largest economy seems peculiar given the two seismic economic events of the last decade—the implosion of the global financial system and the explosion of widespread Internet connectivity.,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Power can move you off the proper position on the dial and scramble the signals you receive, distorting clear messages and obscuring more subtle ones.","To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others",Daniel H. Pink,[]
"In those situations, the ability to move others hinges less on problem solving than on problem finding.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"In the mid-1960s, two soon-to-be-legendary University of Chicago social scientists—Jacob Getzels and Mihaly Csikszentmihalyi—began studying the elusive subject of creativity.",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
was trying to solve a problem: How can I produce a good drawing? The second was trying to find a problem: What good drawing can I produce,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
"Across the thirty-five studies, the correlation between extraversion and sales performance was a minuscule 0.07.)",To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
Identifying problems as a way to move others takes two,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,[]
