quoteText,bookTitle,bookAuthor,tags
"Remember, always, that everything you know, and everything everyone knows, is only a model. Get your model out there where it can be viewed. Invite others to challenge your assumptions and add their own.",Thinking in Systems: A Primer,Donella H. Meadows,"['beliefs', 'knowledge', 'understanding']"
There are no separate systems. The world is a continuum. Where to draw a boundary around a system depends on the purpose of the discussion.,Thinking in Systems: A Primer,Donella H. Meadows,[]
You think that because you understand “one” that you must therefore understand “two” because one and one make two. But you forget that you must also understand “and.,Thinking in Systems: A Primer,Donella H. Meadows,[]
"Let's face it, the universe is messy. It is nonlinear, turbulent, and chaotic. It is dynamic. It spends its time in transient behavior on its way to somewhere else, not in mathematically neat equilibria. It self-organizes and evolves. It creates diversity, not uniformity. That's what makes the world interesting, that's what makes it beautiful, and that's what makes it work.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"We can't impose our will on a system. We can listen to what the system tells us, and discover how its properties and our values can work together to bring forth something much better than could ever be produced by our will alone.",Thinking in Systems: A Primer,Donella H. Meadows,"['discovery', 'systems', 'will']"
"a system must consist of three kinds of things: elements, interconnections, and a function or purpose.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Purposes are deduced from behavior, not from rhetoric or stated goals.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"So, what is a system? A system is a set of things—people, cells, molecules, or whatever—interconnected in such a way that they produce their own pattern of behavior over time.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Thou shalt not distort, delay, or withhold information.",Thinking in Systems: A Primer,Meadows. Donella,[]
"No one can define or measure justice, democracy, security, freedom, truth, or love. No one can define or measure any value. But if no one speaks up for them, if systems aren’t designed to produce them, if we don’t speak about them and point toward their presence or absence, they will cease to exist.",Thinking in Systems: A Primer,Meadows. Donella,[]
"If you define the goal of a society as GNP, that society will do its best to produce GNP. It will not produce welfare, equity, justice, or efficiency unless you define a goal and regularly measure and report the state of welfare, equity, justice, or efficiency.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Missing information flows is one of the most common causes of system malfunction. Adding or restoring information can be a powerful intervention, usually much easier and cheaper than rebuilding physical infrastructure.",Thinking in Systems: A Primer,Donella H. Meadows,[]
A system* is an interconnected set of elements that is coherently organized in a way that achieves something.,Thinking in Systems: A Primer,Donella H. Meadows,[]
An important function of almost every system is to ensure its own perpetuation.,Thinking in Systems: A Primer,Donella H. Meadows,[]
You can drive a system crazy by muddying its information streams.,Thinking in Systems: A Primer,Donella H. Meadows,[]
Everything we think we know about the world is a model. Our models do have a strong congruence with the world. Our models fall far short of representing the real world fully.,Thinking in Systems: A Primer,Donella H. Meadows,[]
"Addiction is finding a quick and dirty solution to the symptom of the problem, which prevents or distracts one from the harder and longer-term task of solving the real problem.",Thinking in Systems: A Primer,Donella H. Meadows,[]
This ancient Sufi story was told to teach a simple lesson but one that we often ignore: The behavior of a system cannot be known just by knowing the elements of which the system is made.,Thinking in Systems: A Primer,Donella H. Meadows,[]
"We know a tremendous amount about how the world works, but not nearly enough. Our knowledge is amazing; our ignorance even more so. We can improve our understanding, but we can't make it perfect.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"The most damaging example of the systems archetype called “drift to low performance” is the process by which modern industrial culture has eroded the goal of morality. The workings of the trap have been classic, and awful to behold. Examples of bad human behavior are held up, magnified by the media, affirmed by the culture, as typical. This is just what you would expect. After all, we’re only human. The far more numerous examples of human goodness are barely noticed. They are “not news.” They are exceptions. Must have been a saint. Can’t expect everyone to behave like that. And so expectations are lowered. The gap between desired behavior and actual behavior narrows. Fewer actions are taken to affirm and instill ideals. The public discourse is full of cynicism. Public leaders are visibly, unrepentantly amoral or immoral and are not held to account. Idealism is ridiculed. Statements of moral belief are suspect. It is much easier to talk about hate in public than to talk about love.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Managers do not solve problems, they manage messes. —RUSSELL ACKOFF,",Thinking in Systems: A Primer,Donella H. Meadows,[]
Systems thinkers see the world as a collection of stocks along with the mechanisms for regulating the levels in the stocks by manipulating flows.,Thinking in Systems: A Primer,Donella H. Meadows,[]
"You can’t navigate well in an interconnected, feedback-dominated world unless you take your eyes off short-term events and look for long term behavior and structure; unless you are aware of false boundaries and bounded rationality; unless you take into account limiting factors, nonlinearities and delays.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"A system just can’t respond to short-term changes when it has long term delays. That’s why a massive central-planning system, such as the Soviet Union or General Motors, necessarily functions poorly.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Once you start listing the elements of a system, there is almost no end to the process. You can divide elements into sub-elements and then sub-sub-elements. Pretty soon you lose sight of the system. As the saying goes, you can’t see the forest for the trees.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Because of feedback delays within complex systems, by the time a problem becomes apparent it may be unnecessarily difficult to solve. — A stitch in time saves nine.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"stop looking for who’s to blame; instead you’ll start asking, “What’s the system?” The concept of feedback opens up the idea that a system can cause its own behavior.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"If a factory is torn down but the rationality which produced it is left standing, then that rationality will simply produce another factory. If a revolution destroys a government, but the systematic patterns of thought that produced that government are left intact, then those patterns will repeat themselves. . . . There’s so much talk about the system. And so little understanding. —ROBERT PIRSIG, Zen and the Art of Motorcycle Maintenance",Thinking in Systems: A Primer,Donella H. Meadows,[]
"God grant us the serenity to exercise our bounded rationality freely in the systems that are structured appropriately, the courage to restructure the systems that aren’t, and the wisdom to know the difference!",Thinking in Systems: A Primer,Donella H. Meadows,[]
"A change in purpose changes a system profoundly, even if every element and interconnection remains the same.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Model utility depends not on whether its driving scenarios are realistic (since no one can know that for sure), but on whether it responds with a realistic pattern of behavior.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"Don't be stopped by the ""if you can't define it and measure it, I don't have to pay attention to it"" ploy. No one can define or measure justice, democracy, security, freedom, truth, or love. But if no one speaks up for them, if systems aren't designed to produce them, and point toward their presence or absence, they will cease to exist.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"The balancing feedback loop that should keep the system state at an acceptable level is overwhelmed by a reinforcing feedback loop heading downhill. The lower the perceived system state, the lower the desired state. The lower the desired state, the less discrepancy, and the less corrective action is taken. The less corrective action, the lower the system state. If this loop is allowed to run unchecked, it can lead to a continuous degradation in the system’s performance.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"The system, to a large extent, causes its own behavior! An outside event may may unleash that behavior, but the same outside event applied to a different system is likely to produce a different result.",Thinking in Systems: A Primer,Donella H. Meadows,"['ecology', 'systems']"
"The systems-thinking lens allows us to reclaim our intuition about whole systems and • hone our abilities to understand parts, • see interconnections, • ask “what-if ” questions about possible future behaviors, and • be creative and courageous about system redesign.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"We can’t impose our will on a system. We can listen to what the system tells us, and discover how its properties and our values can work together to bring forth something much better than could ever be produced by our will alone.",Thinking in Systems: A Primer,Donella H. Meadows,[]
The behavior of a system cannot be known just by knowing the elements of which the system is made.,Thinking in Systems: A Primer,Donella H. Meadows,[]
"Remember, always, that everything you know, and everything everyone knows, is only a model. Get your model out there where it can be viewed. Invite others to challenge your assumptions and add their own. Instead of becoming a champion for one possible explanation or hypothesis or model, collect as many as possible. Consider all of them to be plausible until you find some evidence that causes you to rule one out. That way you will be emotionally able to see the evidence that rules out an assumption that may become entangled with your own identity.",Thinking in Systems: A Primer,Donella H. Meadows,[]
"If information-based relationships are hard to see, functions or purposes are even harder. A system’s function or purpose is not necessarily spoken, written, or expressed explicitly, except through the operation of the system. The best way to deduce the system’s purpose is to watch for a while to see how the system behaves.",Thinking in Systems: A Primer,Donella H. Meadows,[]
