quoteText,bookTitle,bookAuthor,tags
"Failure isn’t a necessary evil. In fact, it isn’t evil at all. It is a necessary consequence of doing something new.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"You are not your idea, and if you identify too closely with your ideas, you will take offense when they are challenged.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"If you give a good idea to a mediocre team, they will screw it up. If you give a mediocre idea to a brilliant team, they will either fix it or throw it away and come up with something better.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"Don’t wait for things to be perfect before you share them with others. Show early and show often. It’ll be pretty when we get there, but it won’t be pretty along the way.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"If you aren’t experiencing failure, then you are making a far worse mistake: You are being driven by the desire to avoid it.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
Getting the right people and the right chemistry is more important than getting the right idea.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"I believe the best managers acknowledge and make room for what they do not know—not just because humility is a virtue but because until one adopts that mindset, the most striking breakthroughs cannot occur. I believe that managers must loosen the controls, not tighten them. They must accept risk; they must trust the people they work with and strive to clear the path for them; and always, they must pay attention to and engage with anything that creates fear. Moreover, successful leaders embrace the reality that their models may be wrong or incomplete. Only when we admit what we don’t know can we ever hope to learn it.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"When it comes to creative inspiration, job titles and hierarchy are meaningless.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
Craft is what we are expected to know; art is the unexpected use of our craft.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"When faced with a challenge, get smarter.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
Fear can be created quickly; trust can’t.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"For many people, changing course is also a sign of weakness, tantamount to admitting that you don’t know what you are doing. This strikes me as particularly bizarre—personally, I think the person who can’t change his or her mind is dangerous. Steve Jobs was known for changing his mind instantly in the light of new facts, and I don’t know anyone who thought he was weak.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"Always take a chance on better, even if it seems threatening.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
The future is not a destination - it is a direction.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
You’ll never stumble upon the unexpected if you stick only to the familiar.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"What is the point of hiring smart people, we asked, if you don’t empower them to fix what’s broken?","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
You don’t have to ask permission to take responsibility.,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
"Making the process better, easier, and cheaper is an important aspiration, something we continually work on—but it is not the goal. Making something great is the goal.","Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,[]
