quoteText,bookTitle,bookAuthor,tags
"In fact, the general model for successful tech companies, contrary to myth and legend, is that they become distribution-centric rather than product-centric. They become a distribution channel, so they can get to the world. And then they put many new products through that distribution channel.",High Growth Handbook,Elad Gil,[]
"How to build a strong culture44 1. Have strong hiring filters in place. Explicitly filter for people with common values. You need to be careful that this does not act as a mechanism to inadvertently filter out diverse populations. You can have both a common sense of purpose and a diverse employee base at the same time. See later sections and the interview with Joelle Emerson for more information. 2. Constantly emphasize values day-to-day. Repeat them until you are blue in the face. The second you are really sick of saying the same thing over and over, you will find people have started repeating it back to you. 3. Reward people based on performance as well as culture. People should be rewarded (with promotions, financially, etc.) for both productivity and for living the company’s values. 4. Get rid of bad culture fits quickly. Fire bad culture fits even faster than you fire low performers.45 This chapter focuses on #1 above:",High Growth Handbook,Elad Gil,[]
"Often, CEOs try to find early employees a place where they won’t do much harm, versus a place they will excel. If you find yourself thinking this way, 99% of the time the right answer is to part ways with the early employee. You can let them go with grace and they may be relieved to be free to do something new.",High Growth Handbook,Elad Gil,[]
"Sometimes that gets confused, though, because the group thinks they’re the decision-maker and that the goal is consensus. When really the goal is, “Let’s hash it out together. We may not all agree. One person will be the decision-maker, and then we will all commit to it.” If you don’t clarify what kind of decision this is, then groups really struggle because their expectations are not set correctly.",High Growth Handbook,Elad Gil,[]
Bill Gates famously said that he often hired senior executives so that he could learn from them.,High Growth Handbook,Elad Gil,[]
If you don’t keep innovating—your product will go stale. And somebody will come out with a better product and displace you.” —Marc Andreessen,High Growth Handbook,Elad Gil,[]
"If you don’t start layering in HR once you’ve passed 50 people on your way to 150, something is going to go badly wrong. I think there’s actually an explanation for that. It’s because 150 is the Dunbar number, the number of people you can directly know. So somewhere between 50 to 150 people, everybody doesn’t know everybody. There are people running around who other people have never met. When you were 5 or 10 or 20 people, it was one big happy family and everybody knew everybody—well, maybe it wasn’t, but at least everybody knew everybody. And the CEO had direct one-on-one relationships with everybody in the company. Once you get to 50+, that’s just no longer the case.",High Growth Handbook,Elad Gil,[]
"You obviously want as much defensibility as you can get in your product, and so you try to get as far out ahead as you can. It’s the idealized Peter Thiel model of “build something nobody else can build.” Or the SpaceX model of “go get all the talent.",High Growth Handbook,Elad Gil,[]
"My product is magical and nobody can replicate it, and I need to price it like it’s a commodity.” No, you don’t. In fact, quite the opposite. If you price it high, then you can fund a much more expensive sales and marketing effort, which means you’re much more likely to win the market, which means you’re much more likely to be able afford to do all the R&D and acquisitions you’re going to want to do.",High Growth Handbook,Elad Gil,[]
"I think network effects are great, but in a sense they’re a little overrated. The problem with network effects is they unwind just as fast. And so they’re great while they last, but when they reverse, they reverse viciously. Go ask the MySpace guys how their network effect is going. Network effects can create a very strong position, for obvious reasons. But in another sense, it’s a very weak position to be in. Because if it cracks, you just unravel. I always worry when a company thinks the answer is just network effects. How durable are they?",High Growth Handbook,Elad Gil,[]
