quoteText,bookTitle,bookAuthor
"Choosing an Independent Board Member|Choosing Board Members|Your independent board members will typically be other operators or entrepreneurs with relevant functional experience (e.g., a former CFO) or industry experience. While some series A investors won't push for the independent seat to be filled for a while (or, in some cases, at all), others will push for a faster addition to the board. Please note: this will be one of the most important people you ""hire""--and it will be hard to remove a director once you add one. Proceed carefully and deliberately through these critical steps:
It bears repeating: this is one of the most important people you will hire. You should write up what you would optimally want in a board member by drafting a checklist or hiring spec. This should include:
Experience--which may include:
Depending on your existing board and experiences as a founder, you may or may not care about market experience, functional experience, or operating experience. Or you may be willing to trade these off, as it will be hard to find the perfect person.
Involvement with other high-growth companies (optimally as a founder). People who have not seen a company go from two people in a coffeehouse to a multi-thousand-person organization aren't used to all the bumps in the road that this entails. Things will always take longer and always be rougher than expected. Most startups face at least one moment, if not more, that feels like an existential crisis, where the company faces death from competition, excessive burn, government regulation, or other issues. And, unlike at a large established company, natural momentum won't necessarily exist. At an early-stage startup, each bit of execution is an act of sheer will, rather than an act of momentum. As your company matures, this will shift and eventually you may have too much momentum, with a large, difficult-to-steer ship of your own. This is of course many years down the line, and is in some sense a good problem to have. In the meantime, you need board members who understand this journey.
Optimally, if there is just one independent board slot, the independent board member would be a current or former entrepreneur. Other successful entrepreneurs will be able to relate more closely to a founder's emotional state and provide advice based on their own experiences. They will understand the ""newbie"" nature of being a founder/CEO and be open to answering ""stupid questions"" without condescension or judgment. They will have firsthand knowledge of how to build a business and understand that the bumps along the way are inevitable.
Finally, successful entrepreneurs can serve as a counterweight to the VC board members in a way that benefits the company, and hence also benefits the VC. If an entrepreneur board member is successful enough, the VC is unlikely to have much leverage over them--they already have lots of money, strong personal brands, and others who will work with them. The VC cannot exploit a power dynamic to force a truly independent board member to side with them on contentious board business.
Raw intelligence. This is self-explanatory. Some folks, such as Marc Andreessen, Reid Hoffman, Mike Moritz, and Vinod Khosla, are known for their raw intellectual horsepower. Notably, the former two took board seats or made investments prior to becoming full-time VCs.
Business and strategic sensibility. Ultimately a high-growth company board will face a number of core business and strategic questions. Will they help you navigate the strategic landscape, understand how to use M&A at scale as a tool, or have deep insights into product pricing or other aspects of running a business? Many founder CEOs also need input into team management and operations that a business-savvy independent may provide.
Entrepreneur-friendly orientation. A number of VCs will suggest a ""friend of the (venture) firm"" as your independent board member. These people will often owe the VC more than they will ever owe your company, and when shit hits the fan they'll vote with the VC. In other words, the ""independent"" board seat will in reality be an investor board seat, and you will lose control of the company (see ""Avoiding a VC crony"" below). To avoid this, you ideally want an independent board member who is sympathetic to your aims as an entrepreneur, not just to the VCs' fiduciary duties.
On the other hand, you do want to find someone the VC respects and will listen to. Optimally, the entire venture firm that backed you knows this potential independent board member. The best scenario is to find someone that your VC respects, but who you know is an entrepreneur at heart or who will at least be more entrepreneur- friendly. In the best case, you will have a preexisting, long-term relationship with this person, which will help you trust each other when the company inevitably hits a hard spot.
Respect of investors/VCs.",High Growth Handbook,Elad Gil
"Choosing an Independent Board Member|Choosing Board Members|Part of the independent board member's role will be to remind VC board members that they should be voting in the company's best interest (rather than each investor's own best interest). He or she should have the confidence and insight to push back on the VCs when it makes sense to do so. The independent should help keep the VCs ""honest."" This does not mean the independent should rubber stamp the founder's every whim. Rather, he or she is there to do what is best for the company and to remind the VC members that their purpose should be the same.
This is easiest to accomplish if both the VC and the founder respect the independent board member. Both of you should spend a lot of time with candidates for your board before adding them.
Once you have defined what you want, discuss it with your investors and get agreement on the spec. This helps you call bullshit on them (e.g., when they offer up a friend of the firm with no relevant background) and lets them call bullshit on you and keep you honest (e.g., when you suggest your best friend from high school).
Make a prioritized list of people you would most like to add to the board. You can use an executive search firm which specializes in board members or ask your investors, advisors, or other entrepreneurs for suggestions. Your board members are optimally people that you wish you could hire for the company, that are truly out of reach otherwise.
""Your board members are optimally people that you wish you could hire for the company, that are truly out of reach otherwise.""
- Elad Gil
You will get a lot of pressure from your investors to finalize the board, but don't be afraid to push back and make sure you take the time (many months) to find the right person. You would not rush to hire a crappy engineer ""just to fill the spot."" With a board member (who will be more of a pain than a bad employee) this becomes even more important.
Have some questions and topics ready to discuss with potential board members:
This is really important. You as the founder(s) should have great personal rapport with the independent board member. He or she should be someone you feel you can trust--who you would feel good about calling at midnight on a Friday--and someone you think will be able to help you grow the company and, ideally, grow personally. This board member should be someone who, if circumstances were different, you would be excited to start a company with.
When assessing a potential board member's attitude, there are a few things to avoid:
Does the independent board member understand where you want to take the business? Is he or she aligned with that vision and direction? You want someone who will support that vision rather than second-guess it. Similarly, you want someone who will take a long-term view to building a great company (assuming that is your intent), rather than focus on a short-term flip.
Look at prospective board members' backgrounds: What has happened to the companies they have started or run? Did they sell early, and if so why? What other choices have they made in their careers, and how thoughtful are they in hindsight about those decisions?
What do people who have worked with your prospective board members think of them? Are they high integrity? What are they helpful at? If they are already on boards, what do the entrepreneurs they work with think of them?
Optimally you will take a ""common nominates, preferred stock approves"" approach to adding the independent board member. Just like with the Supreme Court--where the president nominates the justices and Congress approves the nominations--the balance of power lies with the nominator (thanks to Naval Ravikant for this analogy). Your VCs may have some great suggestions for board members (and you should definitely ask for their opinion). But ultimately you want to be driving the final ""election,"" and to do that, your biggest point of leverage is in who you nominate.
Like any other member of your team, the independent board member may eventually lose their usefulness beyond a certain scale of company. A public company board tends to look and act differently from an early stage startup board. If you control the independent seat, you may want to change people out if their skills and insights lose relevance.",High Growth Handbook,Elad Gil
"Removing members from your board|Removing board members|Unfortunately, there are times when things just don't work out with a board member. This could range from board members being benign but useless (e.g., spouting generic advice that does not matter) to being actively destructive. I have heard of board members leaking information to the press, fomenting political factions among the staff under the CEO, derailing a company's financings, or pushing for strategic directions that make no sense. I have seen cofounders leave more than one company due to poor advice from board members, as well as board members who poach executives from one startup to join another of their portfolio companies.
While it is typically straightforward to remove a misbehaving employee, a poorly behaved board member may be harder to ""divorce."" In general, investor board members are harder to remove than independents.",High Growth Handbook,Elad Gil
"Removing members from your board|Removing VC board members|Once they join your board as part of a financing, investor board members are notoriously hard to get rid of, as they usually have contractual rights to the board seat written in their financing documents (i.e., your series A, or series B, C, etc., paperwork). 1
Removing a VC board member can generally only happen at a time of transition or leverage (a financing event, major change in company direction, IPO, etc). Additionally, the VC may have extra economics in the investment for taking the board seat, or view the seat as something that builds her stature in the broader world. So how do you get rid of a misbehaving board member? There are a few tactics you can try, depending on the stage of your company, the leverage you have as an entrepreneur, and your relationship to the VC and her firm.
1. Change the overall composition of the board to reflect the maturation of the company (and boot the VC off as part of this shift). The makeup of your board should change as the company scales from a young organization seeking to develop a meaningful product to a more mature startup in high-growth mode. At the early stages, board members may be valuable in your quest for product/market fit or your next round of funding. For example, board members may know of new distribution tactics or other strategies that are working in their portfolios, which they can share with you (e.g., ""Facebook is suddenly working well for mobile app distribution""). However, if they lack operating experience, a network of potential later-stage executive hires, or broader strategic insights, it might make sense to replace them and other board members as your company starts to scale rapidly.
Once a company finds product/market fit and focuses on scaling, the skill set, network, and advice needed from a board member shifts as well. Similarly, as a company starts to plan to go public it will need to add more independent directors and more operators, as well as more specialized board members (e.g., a former CFO for the finance/audit committee).
""Once a company finds product/market fit and focuses on scaling, the skill set, network and advice needed from a board members shifts as well.""
- Elad Gil
When shifting into high-growth mode, you can ask multiple early board members to step off the board to help enable the transition to a successful later-stage or public company. This approach prevents any one request from being viewed as a personal criticism of any one board member--rather, you are changing the slate as the company matures. If an early board member can be especially helpful in your later stages, you can retain this board member or alternatively convert her to an independent seat.
While the request to step down as the company matures may be a logical one that should increase the value of the company overall, some may refuse--because they benefit from the stature of being on your board, for example, or want to protect their investment in your company until the company has a liquidity event. But if one or more of the other board members step down as part of an overall reshuffle, it puts pressure on the holdouts to comply as well.
Alternatively, as a later-stage funding round occurs you can ask an early investor to step down so that you can create a seat for a later-stage investor. Many early-stage investors may refuse. However, you can point out that the investor coming in brings new and necessary skills, networks, or advice to the table. Remind existing members that there is a need to keep the board to a constrained size and also to start planning toward an IPO (assuming one is in sight in 18 months or less).
In general, simply asking an investor board member to step down is unlikely to work.
2. Buy them out. It takes 5-10 years for most companies to have a liquidity event. Many investors will be raising additional funds from their own limited partners (LPs) along the way, and they'll want to show a return to get the LPs to invest more in those future funds. This means you can offer VC board members an opportunity to sell a subset of their stake in your company in exchange for stepping off the board. This stock sale could happen either via a secondary event (see the chapter on late-stage financings) or as part of a later-stage primary funding round. If the investor does want to sell stock prior to a full liquidity event such as an IPO, you can make the following arguments for why a stock sale should be tied to her stepping off the board:
3. Ask the VC firm to swap out your board member for another partner from their firm. This tends to work only if your company is working really well and the firm wants to maintain a positive relationship with you over time as the founder of a breakout company. Unless the VC partner you are trying to remove controls the whole firm, the firm may agree to swap out your board member for another one to maintain warm ties with you. (Thanks to Reid Hoffman for this insight.)
These conversations, by the way, can be very tough and very emotional. VC board members are humans too, and they may have a lot of ego or emotion wrapped up in a successful company. Even if they have done nothing to help the company beyond capital (and capital is indeed helpful), your VCs may still feel that they fundamentally contributed to the company's success. When making your case that they should step down, be firm, calm, and consistent.",High Growth Handbook,Elad Gil
"Removing members from your board|Removing independent board members|Independent directors are generally easier to remove than investor board members. In some cases, you control the independent board seat and can simply ask the board member to step down (see below on ""Independent board seat structures""). The simplest way is to explain why you want them to do so. Obviously, though, there are lots of reasons (ego, a difference of opinion, VC investor influence, etc.) that board members may not be willing to step down.
There are two types of independent board members: those whose primary relationship is to you, and those whose primary relationship (and sense of loyalty) is to the VC who invested in your company and helped bring them on board. The VC Crony probably owes a lot more to the VC than they do to you. Additionally, they will have a tendency to vote the way the VC wants or push for things the VC asks them to push for.
These VC Crony independents may be harder to remove, as your investor board members will have a disincentive to support their replacement on the board. In some cases you may need to negotiate with the VC directly for the removal of the independent. Alternatively, if you have a larger board with many members, they can help push for the removal of a non-performing independent.",High Growth Handbook,Elad Gil
"Removing members from your board|Removing independent board members|Unfortunately, there are times when things just don't work out with a board member. This could range from board members being benign but useless (e.g., spouting generic advice that does not matter) to being actively destructive. I have heard of board members leaking information to the press, fomenting political factions among the staff under the CEO, derailing a company's financings, or pushing for strategic directions that make no sense. I have seen cofounders leave more than one company due to poor advice from board members, as well as board members who poach executives from one startup to join another of their portfolio companies.
While it is typically straightforward to remove a misbehaving employee, a poorly behaved board member may be harder to ""divorce."" In general, investor board members are harder to remove than independents.",High Growth Handbook,Elad Gil
"The role of the CEO: Managing your board of directors|Board meeting structure|Your board meeting structure 1 is likely to change over the course of the company's evolution, as you move from an early-stage venture struggling for product/market fit 2 to a more mature organization preparing to go public. For an early-stage company, board meetings may be primarily about reviewing a handful of fundamental metrics (e.g., ""Are we running out of money?"" and, ""is our product working?"") as well as broader strategic input, organizational advice, and hiring help for the CEO and executive team. Later-stage board meetings tend to broaden to include advanced strategy questions (e.g., M&A and other conversations).
The larger the board is the harder it will be to manage it and keep it both focused and productive. Just as scaling your team from 10 to 10,000 people changes how you communicate with and manage them, growing the board also changes the conversations and communication styles you need to use at the board level. The hard part is ensuring that meetings remain productive and useful for the company.
Remember, board meetings exist to (1) help the company and (2) provide proper corporate governance for all classes of stock.
In order to make a board meeting effective, the CEO should try to do the following prior to the meeting:
1. Send out the board deck and other materials at least 48-72 hours before the meeting. You want people to have a chance to review it in advance. 3
2. [If you have three or more non-founder members only] Call board members in advance for a 30- to 60-minute 1:1 briefing. This allows board members to give input (and, in some cases, vent) in advance of the board meeting.
3. [If you have multiple board members only] Plan a board dinner the night before, or lunch/dinner right after. While optional, these dinners are an opportunity for board members to form bonds with one another and potentially with you and your team in advance/after the meeting. This works best if your board members are from another geography and need to fly in--otherwise they may not have the time or interest.",High Growth Handbook,Elad Gil
"The role of the CEO: Managing your board of directors|Board meeting agenda|Once you're in the meeting proper, it will likely include the following items:4
1. Board business. This should be short. Get it out of the way quickly.
2. Big picture summary. A short, high-level overview of the state of company.
3. Quick review and discussion of key metrics. You'll want to pay particular attention to those metrics that impact company strategy. These metrics should all have been in the slides sent out 48-72 hours earlier.
4. Follow-up items from last meeting. You can also do this section after the strategy topics. Really what you want is a large block of time to focus on strategy.
5. Discussion of 2-3 key strategy topics important to company. These topics and background on them should have been in the slides sent out 48-72 hours earlier.
The bulk of your time should be spent on #5. Your board members should have reviewed the materials in advance. If you have a larger board, you should have called each member prior to the board meeting for a quick discussion/queue-up of the strategic topics. This allows you to avoid a long rehash of metrics and background that eat into the discussion time.
You can have various members of the executive team attend all or parts of #2-4. Navigate carefully, though: invitations to board meetings can start to become politicized and a sign of the relative importance of members of your executive staff. Be thoughtful about who to invite and why.",High Growth Handbook,Elad Gil
"The role of the CEO: Managing your board of directors|Board observers and random people showing up to board meetings|Some venture firms will ask more junior members of their investment teams to show up along with them at board meetings. Or, they may bring more senior partners to sit in if your company is doing well. Don't tolerate random people showing up. A board meeting is not open to whoever the venture firm wants to include. If the firm wants an additional member to attend--e.g., a junior partner who can help with follow-up for your company (and these people can occasionally be quite helpful)--negotiate parameters with your VC partner. What are the expectations on the junior person's role at the board meeting? Will the board observer have the right to speak up? What specific items will she help with?
Mark Suster has a good post on board observers. 5",High Growth Handbook,Elad Gil
"The role of the CEO: Managing your board of directors|Board meeting structure|Managing your board effectively can help you and/or your company: Your board meeting structure 1 is likely to change over the course of the company's evolution, as you move from an early-stage venture struggling for product/market fit 2 to a more mature organization preparing to go public. For an early-stage company, board meetings may be primarily about reviewing a handful of fundamental metrics (e.g., ""Are we running out of money?"" and, ""is our product working?"") as well as broader strategic input, organizational advice, and hiring help for the CEO and executive team. Later-stage board meetings tend to broaden to include advanced strategy questions (e.g., M&A and other conversations).
The larger the board is the harder it will be to manage it and keep it both focused and productive. Just as scaling your team from 10 to 10,000 people changes how you communicate with and manage them, growing the board also changes the conversations and communication styles you need to use at the board level. The hard part is ensuring that meetings remain productive and useful for the company.
Remember, board meetings exist to (1) help the company and (2) provide proper corporate governance for all classes of stock.
In order to make a board meeting effective, the CEO should try to do the following prior to the meeting:
1. Send out the board deck and other materials at least 48-72 hours before the meeting. You want people to have a chance to review it in advance. 3
2. [If you have three or more non-founder members only] Call board members in advance for a 30- to 60-minute 1:1 briefing. This allows board members to give input (and, in some cases, vent) in advance of the board meeting.
3. [If you have multiple board members only] Plan a board dinner the night before, or lunch/dinner right after. While optional, these dinners are an opportunity for board members to form bonds with one another and potentially with you and your team in advance/after the meeting. This works best if your board members are from another geography and need to fly in--otherwise they may not have the time or interest.",High Growth Handbook,Elad Gil
