quoteText,bookTitle,bookAuthor,tags
"Bill looked for four characteristics in people. The person has to be smart, not necessarily academically but more from the standpoint of being able to get up to speed quickly in different areas and then make connections. Bill called this the ability to make “far analogies.” The person has to work hard, and has to have high integrity. Finally, the person should have that hard-to-define characteristic: grit. The ability to get knocked down and have the passion and perseverance to get up and go at it again.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"ONLY COACH THE COACHABLE THE TRAITS THAT MAKE A PERSON COACHABLE INCLUDE HONESTY AND HUMILITY, THE WILLINGNESS TO PERSEVERE AND WORK HARD, AND A CONSTANT OPENNESS TO LEARNING.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
ALWAYS BUILD COMMUNITIES BUILD COMMUNITIES INSIDE AND OUTSIDE OF WORK. A PLACE IS MUCH STRONGER WHEN PEOPLE ARE CONNECTED.,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"Bill liked to tell a story about when he was at Intuit and they started getting into banking products. They hired some product managers with banking experience. One day, Bill was at a meeting with one of those product managers, who presented his engineers with a list of features he wanted them to build. Bill told the poor product manager, if you ever tell an engineer at Intuit which features you want, I’m going to throw you out on the street. You tell them what problem the consumer has. You give them context on who the consumer is. Then let them figure out the features. They will provide you with a far better solution than you’ll ever get by telling them what to build.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"He believed in striving for the best idea, not consensus (“I hate consensus!” he would growl), intuitively understanding what numerous academic studies have shown: that the goal of consensus leads to “groupthink” and inferior decisions.",Trillion Dollar Coach: The Leadership Handbook of Silicon Valley’s Bill Campbell,Eric Schmidt,[]
"Not what happened and who’s to blame, but what are we going to do about it?",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"This is the power of coaching in general: the ability to offer a different perspective, one unaffected by being “in the game.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"When you listen to people, they feel valued. A 2003 study from Lund University in Sweden finds that “mundane, almost trivial” things like listening and chatting with employees are important aspects of successful leadership, because “people feel more respected, visible and less anonymous, and included in teamwork.”10 And a 2016 paper finds that this form of “respectful inquiry,” where the leader asks open questions and listens attentively to the response, is effective because it heightens the “follower’s” feelings of competence (feeling challenged and experiencing mastery), relatedness (feeling of belonging), and autonomy (feeling in control and having options). Those three factors are sort of the holy trinity of the self-determination theory of human motivation, originally developed by Edward L. Deci and Richard M. Ryan.11",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"There are people who are team players and really care about the company. When they speak up, it matters a lot to me because I know they are coming from the right place.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
"Keep note of the times when they give up things, and when they are excited for someone else’s success. Sundar notes that “sometimes decisions come up and people have to give up things. I overindex on those signals when people give something up.* And also when someone is excited because something else is working well in the company. It isn’t related to them, but they are excited. I watch for that. Like when you see a player on the bench cheering for someone else on the team, like Steph Curry jumping up and down when Kevin Durant hits a big shot. You can’t fake that.",Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,[]
