quoteText,bookTitle,bookAuthor,tags
"Adding manpower to a late software project, makes it later.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Systems program building is an entropy-decreasing process, hence inherently metastable. Program maintenance is an entropy-increasing process, and even its most skillful execution only delays the subsidence of the system into unfixable obsolescence.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"As time passes, the system becomes less and less well-ordered. Sooner or later the fixing cease to gain any ground. Each forward step is matched by a backward one. Although in principle usable forever, the system has worn out as a base for progress. ...A brand-new, from-the-ground-up redesign is necessary.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"The general tendency is to over-design the second system, using all the ideas and frills that were cautiously sidetracked on the first one.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"A baseball manager recognizes a nonphysical talent, hustle, as an essential gift of great players and great teams. It is the characteristic of running faster than necessary, moving sooner than necessary, trying harder than necessary. It is essential for great programming teams, too.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks,['management']
"The management question, therefore, is not whether to build a pilot system and throw it away. You will do that. The only question is whether to plan in advance to build a throwaway, or to promise to deliver the throwaway to customers.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"The programmer, like the poet, works only slightly removed from pure thought-stuff. He builds his castles in the air, from air, creating by exertion of the imagination.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Einstein repeatedly argued that there must be simplified explanations of nature, because God is not capricious or arbitrary. No such faith comforts the software engineer.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"['brooks', 'einstein', 'programming', 'software-development', 'software-engineering']"
Men and months are interchangeable commodities only when a task can be partitioned among many workers with no communication among them (Fig. 2.1). This is true of reaping wheat or picking cotton; it is not even approximately true of systems programming.,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"For the human makers of things, the incompletenesses and inconsistencies of our ideas become clear only during implementation.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
The challenge and the mission are to find real solutions to real problems on actual schedules with available resources.,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
A basic principle of data processing teaches the folly of trying to maintain independent files in synchonism.,The Mythical Man-Month: Essays on Software Engineering,Frederick Phillips Brooks,"['architecture', 'documentation', 'maintenance']"
"By documenting a design, the designer exposes himself to the criticisms of everyone, and he must be able to defend everything he writes. If the organizational structure is threatening in any way, nothing is going to be documented until it is completely defensible.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"An omelette, promised in two minutes, may appear to be progressing nicely. But when it has not set in two minutes, the customer has two choices—wait or eat it raw. Software customers have had the same choices. The cook has another choice; he can turn up the heat. The result is often an omelette nothing can save—burned in one part, raw in another.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
Organizations which design systems are constrained to produce systems which are copies of the communication structures of these organizations.,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Conceptual integrity in turn dictates that the design must proceed from one mind, or from a very small number of agreeing resonant minds.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
Adding manpower to a late software project makes it later.,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"In fact, flow charting is more preached than practiced. I have never seen an experienced programmer who routinely made detailed flow charts before beginning to write programs",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Today I am more convinced than ever. Conceptual integrity is central to product quality. Having a system architect is the most important single step toward conceptual integrity. These principles are by no means limited to software systems, but to the design of any complex construct, whether a computer, an airplane, a Strategic Defense Initiative, a Global Positioning System. After teaching a software engineering laboratory more than 20 times, I came to insist that student teams as small as four people choose a manager and a separate architect. Defining distinct roles in such small teams may be a little extreme, but I have observed it to work well and to contribute to design success even for small teams.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,['software-development']
"Adjusting to the requirement for perfection is, I think, the most difficult part of learning to program.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Observe that for the programmer, as for the chef, the urgency of the patron may govern the scheduled completion of the task, but it cannot govern the actual completion.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Study after study shows that the very best designers produce structures that are faster, smaller, simpler, cleaner, and produced with less effort. The differences between the great and the average approach an order of magnitude.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"...give a great deal of attention to keeping his managers and his technical people as interchangeable as their talents allow. The barriers are sociological... To overcome this problem some laboratories, such as Bell Labs, abolish all job titles. Each professional employee is a ""member of technical staff.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,['definitive']
"Architecture must be carefully distinguished from implementation. As Blaauw has said, ""Where architecture tells what happens, implementation tells how it is made to happen.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
How does a project get to be a year late? . . . . One day at a time.,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"First, one must perform perfectly. The computer resembles the magic of legend in this respect, too. If one character, one pause, of the incantation is not strictly in proper form, the magic doesn't work. Human beings are not accustomed to being perfect, and few areas of human activity demand it. Adjusting to the requirement for perfection is, I think, the most difficult part of learning to program.[1]",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
"Because ease of use is the purpose, this ratio of function to conceptual complexity is the ultimate test of system design. Neither function alone nor simplicity alone defines a good design. This point is widely misunderstood. Operating System/360 is hailed by its builders as the finest ever built, because it indisputably has the most function. Function, and not simplicity, has always been the measure of excellence for its designers. On the other hand, the Time-Sharing System for the PDP-10 is hailed by its builders as the finest, because of its simplicity and the spareness of its concepts. By any measure, however, its function is not even in the same class as that of OS/360. As soon as ease of use is held up as the criterion, each of these is seen to be unbalanced, reaching for only half of the true goal.",The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,[]
