quoteText,bookTitle,bookAuthor,tags
"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",Winning,Jack Welch,[]
You can look at the situation and feel victimized. Or you can look at it and be excited about conquering the challenges and opportunities it presents.,Winning,Jack Welch,[]
Common mission trap for companies: trying to be all things to all people at all times.,Winning,Jack Welch,[]
"Effective people know when to stop assessing and make a tough call, even without total information. Little is worse than a manager who can’t cut bait.",Winning,Jack Welch,[]
"Take every opportunity to inject self-confidence into those who have earned it. Use ample praise, the more specific the better.",Winning,Jack Welch,[]
"When launching something new, you have to go for it—“playing not to lose” can never be an option.",Winning,Jack Welch,[]
No vision is worth the paper it's printed on unless it is communicated constantly and reinforced with rewards.,Winning,Jack Welch,[]
"The mission announces exactly where you are going, and the values describe the behaviors that will get you there.",Winning,Jack Welch,[]
"When you own your choices, you own their consequences.",Winning,Jack Welch,[]
"When you are a leader, your job is to have all the questions. You have to be incredibly comfortable looking like the dumbest person in the room. Every conversation you have about a decision, a proposal, or a piece of market information has to be filled with you saying, “What if?” and “Why not?” and “How come?",Winning,Jack Welch,[]
IT’S SAID that you can only live life forward and understand it backward.,Winning,Jack Welch,[]
"Differentiation favors people who are energetic and extroverted and undervalues people who are shy and introverted, even if they are talented.",Winning,Jack Welch,[]
"Underneath, you would surely see that the best care passionately about their people—about their growth and success. And you would see that they themselves are comfortable in their own skins. They’re real, filled with candor and integrity, optimism and humanity.",Winning,Jack Welch,[]
"The third way is less common and certainly less of a layup—a culture of integrity, meaning a culture of honesty, transparency, fairness, and strict adherence to rules and regulations. In such cultures, there can be no head fakes or winks. People who break the rules do not leave the company for “personal reasons” or to “spend more time with their families.” They are hanged—publicly—and the reasons are made painfully clear to everyone.",Winning,Jack Welch,[]
the only career worth pursuing is the one that turns your crank.,Winning: The Answers: Confronting 74 of the Toughest Questions,Jack Welch,[]
We've all been guilty at one point or another in our careers of boasting of perfect hindsight.,Winning,Jack Welch,[]
"Your people give their days (and sometimes their nights) to you. They give their hands, brains, and hearts. Sure, the company pays them. It fills their wallets. But as a leader, you need to fill their souls. You can do that by getting in their skin, by giving the work meaning, by clearing obstacles, and by demonstrating the generosity gene. And you can do it, perhaps most powerfully, by creating an environment that’s exciting and enjoyable.","The Real-Life MBA: Your No-BS Guide to Winning the Game, Building a Team, and Growing Your Career",Jack Welch,[]
"Leaders relentlessly upgrade their team, using every encounter as an opportunity to evaluate, coach, and build self-confidence.",Winning,Jack Welch,[]
"In my experience, an effective mission statement basically answers one question: How do we intend to win in this business?",Winning,Jack Welch,[]
If a job doesn’t excite you on some level—just because of the stuff of it—don’t settle.,Winning,Jack Welch,[]
Life is too short to spend every day doing something you don’t love.,Winning: The Answers: Confronting 74 of the Toughest Questions,Jack Welch,[]
