quoteText,bookTitle,bookAuthor,tags
To be prepared against surprise is to be trained. To be prepared for surprise is to be educated.,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"['consciousness', 'non-fiction', 'philosophy', 'psychology']"
"A finite game is played for the purpose of winning, an infinite game for the purpose of continuing the play.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"['games', 'play']"
"Strength is paradoxical. I am not strong because I can force others to do what I wish as a result of my play with them, but because I can allow them to do what they wish in the course of my play with them.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
Finite players play within boundaries; infinite players play with boundaries.,Finite and Infinite Games,James Carse,[]
Only that which can change can continue.,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
"We are playful when we engage others at the level of choice, when there is no telling in advance where our relationship with them will come out-- when, in fact, no one has an outcome to be imposed on the relationship, apart from the decision to continue it.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
"Because infinite players prepare themselves to be surprised by the future, they play in complete openness. It is not an openness as in candor, but an openness as in vulnerability. It is not a matter of exposing one's unchanging identity, the true self that has always been, but a way of exposing one's ceaseless growth, the dynamic self that has yet to be.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
"if we cannot tell a story about what happened to us, nothing has happened to us.",Finite and Infinite Games,James P. Carse,[]
"No one can play a game alone. One cannot be human by oneself. There is no selfhood where there is no community. We do not relate to others as the persons we are; we are who we are in relating to others. Simultaneously the others with whom we are in relation are themselves in relation. We cannot relate to anyone who is not also relating to us. Our social existence has, therefore, an inescapably fluid character... this ceaseless change does not mean discontinuity; rather change is itself the very basis of our continuity as persons.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
"War presents itself as necessary for self-protection, when in fact it is necessary for self-identification.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,[]
"What will undo any boundary is the awareness that it is our vision, and not what we are viewing, that is limited.",Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"['inspirational', 'life-lesson', 'revelatory']"
To be serious is to press for a specified conclusion. To be playful is to allow for possibility whatever the cost to oneself.,Finite and Infinite Games,James P. Carse,[]
