quoteText,bookTitle,bookAuthor,tags
"What you do is what matters, not what you think or say or plan.",Rework,Jason Fried,"['actions', 'deeds', 'inspirational', 'work-ethic']"
"When you don’t know what you believe, everything becomes an argument. Everything is debatable. But when you stand for something, decisions are obvious.",Rework,Jason Fried,['kindlehighlight']
"Workaholics aren't heroes. They don't save the day, they just use it up. The real hero is home because she figured out a faster way",Rework,Jason Fried,[]
"Plus, if you’re a copycat, you can never keep up. You’re always in a passive position. You never lead; you always follow. You give birth to something that’s already behind the times—just a knockoff, an inferior version of the original. That’s no way to live.",Rework,Jason Fried,['originality']
"Find a judo solution, one that delivers maximum efficiency with minimum effort. When good enough gets the job done, go for it.",Rework,Jason Fried,[]
Working without a plan may seem scary. But blindly following a plan that has no relationship with reality is even scarier.,Rework,Jason Fried,[]
"If circumstances change, your decisions can change. Decisions are temporary.",Rework,Jason Fried,[]
"If you are trying to decide among a few people to fill a position hire the best writer. it doesn't matter if the person is marketer, salesperson, designer, programmer, or whatever, their writing skills will pay off. That's because being a good writer is about more than writing clear writing. Clear writing is a sign of clear thinking. great writers know how to communicate. they make things easy to understand. they can put themselves in someone else's shoes. they know what to omit. And those are qualities you want in any candidate. Writing is making a comeback all over our society... Writing is today's currency for good ideas.",Rework,Jason Fried,"['inspirational', 'talent']"
"Workaholics don't actually accomplish more than nonworkaholics. They may claim to be perfectionists, but that just mean they're wasting time fixating on inconsequential details instead of moving on to the next task.",Rework,Jason Fried and David Heinemeier Hansson,['work-ethics']
"Until you actually start making something, your brilliant idea is just that, an idea.",Rework,Jason Fried,[]
"Unless you are a fortune-teller, long-term business planning is a fantasy",Rework,Jason Fried,[]
"If you build software, every error message is marketing",Rework,Jason Fried,['work-ethics']
"That world may be real for them, but it doesn't mean you have to live in it.",Rework,Jason Fried,[]
"If you're opening a hot dog stand, you could worry about the condiments, the cart, the name, the decoration. But the first thing you should worry aout is the hot dog. The hot dogs are the epicenter. Everything else is secondary.",Rework,Jason Fried,['work-ethics']
It’s a lot harder to pull your head up and ask why.,Rework,Jason Fried,['kindlehighlight']
"Think about it this way: If you had to launch your business in two weeks, what would you cut out?",ReWork,"Jason Fried, David Heinemeier Hansson",['kindlehighlight']
"There are four-letter words you should never use in business. They're not fuck or shit. They're need, must, can't, easy, just, only and fast. These words gets in the way of healthy communication",Rework,"Jason Fried, David Heinemeier Hansson",[]
"It’s a beautiful way to put it: Leave the poetry in what you make. When something becomes too polished, it loses its soul. It seems robotic.",Rework,Jason Fried,['kindlehighlight']
Don't let yourself off the hook with excuses.,Rework,Jason Fried,[]
"The problem with abstractions (like reports and documents) is that they create illusions of agreement. A hundred people can read the same words, but in their heads, they’re imagining a hundred different things.",ReWork,"Jason Fried, David Heinemeier Hansson",['kindlehighlight']
"Meetings: ""They often include at least one moron who inevitably",Rework,Jason Fried,[]
"When you treat people like children, you get children’s work.",ReWork,Jason Fried,[]
