quoteText,bookTitle,bookAuthor,tags
"When [what you are deeply passionate about, what you can be best in the world at and what drives your economic engine] come together, not only does your work move toward greatness, but so does your life. For, in the end, it is impossible to have a great life unless it is a meaningful life. And it is very difficult to have a meaningful life without meaningful work. Perhaps, then, you might gain that rare tranquility that comes from knowing that you’ve had a hand in creating something of intrinsic excellence that makes a contribution. Indeed, you might even gain that deepest of all satisfactions: knowing that your short time here on this earth has been well spent, and that it mattered.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"['business', 'inspirational']"
"Good is the enemy of great. And that is one of the key reasons why we have so little that becomes great. We don't have great schools, principally because we have good schools. We don't have great government, principally because we have good government. Few people attain great lives, in large part because it is just so easy to settle for a good life.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"['inspirational', 'work-ethic']"
The purpose of bureaucracy is to compensate for incompetence and lack of discipline.,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,['business']
"Greatness is not a function of circumstance. Greatness, it turns out, is largely a matter of conscious choice, and discipline.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
Great vision without great people is irrelevant.,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
A company should limit its growth based on its ability to attract enough of the right people.,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,['entrepreneurship']
"Letting the wrong people hang around is unfair to all the right people, as they inevitably find themselves compensating for the inadequacies of the wrong people. Worse, it can drive away the best people. Strong performers are intrinsically motivated by performance, and when they see their efforts impeded by carrying extra weight, they eventually become frustrated.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
"For, in the end, it is impossible to have a great life unless it is a meaningful life. And it is very difficult to have a meaningful life without meaningful work.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,['inspirational']
"By definition, it is not possible to everyone to be above the average.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,['average']
The good-to-great leaders never wanted to become larger-than-life heroes. They never aspired to be put on a pedestal or become unreachable icons. They were seemingly ordinary people quietly producing extraordinary results.,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
Faith in the endgame helps you live through the months or years of buildup.,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
"Greatness is not a function of circumstance. Greatness, it turns out, is largely a matter of conscious choice.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
"Mediocrity results first and foremost from management failure, not technological failure.",Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,[]
