quoteText,bookTitle,bookAuthor,tags
"You get paid for the seven and a half hours a day you put in here,” Kelly often told new Bell Labs employees in his speech to them on their first day, “but you get your raises and promotions on what you do in the other sixteen and a half hours.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"The first is that if you haven’t manufactured the new thing in substantial quantities, you have not innovated;",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
We have now successfully passed all our deadlines without meeting any of them.,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"in any company’s greatest achievements one might, with the clarity of hindsight, locate the beginnings of its own demise.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
My first stop on any time-travel expedition would be Bell Labs in December 1947.,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"the second is that if you haven’t found a market to sell the product, you have not innovated.34",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"the future of communications will be defined by an industry yet to be created—not the kind of business that simply delivers or searches out information, but one that manages the tide of information so that it doesn’t drown us.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
The men preferred to think they worked not in a laboratory but in what Kelly once called “an institute of creative technology.,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"But to an innovator, being early is not necessarily different from being wrong.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"radar won the war, whereas the atomic bomb merely ended it.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"The term “innovation” dated back to sixteenth-century England. Originally it described the introduction into society of a novelty or new idea, usually relating to philosophy or religion. By the middle of the twentieth century, the words “innovate” and “innovation” were just beginning to be applied to technology and industry.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"Eugene Gordon, points out that there were two corollaries to Morton’s view of innovation: The first is that if you haven’t manufactured the new thing in substantial quantities, you have not innovated; the second is that if you haven’t found a market to sell the product, you have not innovated.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"Kelly would eventually tell people that Pfann’s idea—it was called “zone refining,” and was an ingenious adaptation of a technique metallurgists had used on other materials—ranked as one of the most important inventions of the past twenty-five years. Kelly didn’t tell people it resulted from a man sleeping on the job.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
"It might have been said in 1948 that you either grasped the immense importance of the transistor or you did not. Usually an understanding of the device took time, since there were no tangible products—no proof—to demonstrate how it might someday alter technology or culture.",The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,[]
