quoteText,bookTitle,bookAuthor,tags
"At Apple, we never would have dreamed of doing that, and we never staged any A/ B tests for any of the software on the iPhone. When it came to choosing a color, we picked one. We used our good taste—and our knowledge of how to make software accessible to people with visual difficulties related to color perception—and we moved on.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"We always started small, with some inspiration. We made demos. We mixed in feedback. We listened to guidance from smart colleagues. We blended in variations. We honed our vision. We followed the initial demo with another and then another. We improved our demos in incremental steps. We evolved our work by slowly converging on better versions of the vision. Round after round of creative selection moved us step by step from the spark of an idea to a finished product.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
Taste is developing a refined sense of judgment and finding the balance that produces a pleasing and integrated whole.,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"Why do some products, like the iPhone, turn out as well as they do? I’m now ready to offer my complete answer. It comes in three parts.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"In deceptively brief terms, Edison tells us: “I make trial after trial until it comes.” He and his team were willing to perspire, but he also knew what he would be doing with all those hours: trial and error. For the lightbulb, filaments were the key, and bamboo was the most promising material, so Edison tested every kind of bamboo to find the best. If Burns is to be believed, there were twelve hundred varieties of bamboo, and Edison tried each one. It sounds simple, and it was, but the way Edison defined the project also gave it a shape. He crossed off items from a to-do list. When we made our porting strategy for the web browser, we turned to something like Edison’s model. We knew the compiler would tell us about broken cross-references, and we examined all of them one at a time. We knew our FIXMEs would tell us where our code was weakest, and we studied the reports closely. Moving toward the Black Slab Encounter was a stepwise process, much like Edison’s search for the best bamboo. Edison did trial after trial with filaments; we went file after file in our build process and FIXME after FIXME trying to load a web page. Both projects were built on unglamorous grunt work, but the specifics matter. Edison wasn’t just trudging toward the horizon in a desert, hoping that the crest of the next sand dune would reveal an oasis—that sounds more like the way that Don and I wandered through our browser investigations in the weeks before Richard joined us. Instead, Edison searched specifically for the best kind of bamboo, and he was undaunted by the need to check a vast number of varieties. Each one he tested was an item crossed off and brought him closer to finding which one was the best. In the lead up to the Black Slab Encounter, we did the same. Even though Don, Richard, and I struggled with the tedium, we kept plowing through each file and FIXME.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
This points to the more general lesson I took from my WebKit editing work: People matter more than programming,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"We used the word “heuristics” to describe aspects of software development that tip toward the liberal arts. Its counterpart, “algorithms,” was its alter ego on the technical side. Heuristics and algorithms are like two sides of the same coin. Both are specific procedures for making software do what it does: taking input, applying an operation, and producing output. Yet each had a different purpose.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"Heuristics also have a measurement or value associated with them—the duration for an animation or the red-green-blue values for an onscreen color, but there isn’t a similar “arrow of improvement” that always points the same way. Unlike evaluating algorithms, heuristics are harder to nail down. For instance, how quickly should a scrolling list glide to a stop after you’ve flicked it? We always made demos to evaluate the possibilities.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"We used algorithms and heuristics like they were the left and right sides of our collective product development brain. Employing each involved an interplay of craft and taste, and we always tried to strike the correct balance. Algorithms and heuristics must coordinate to make a great high-tech product.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
"it’s crucial to make the right call about whether to use an algorithm or a heuristic in a specific situation. This is why the Google experiment with forty-one shades of blue seems so foreign to me, accustomed as I am to the Apple approach. Google used an A/B test to make a color choice. It used a single predetermined value criterion and defined it like so: The best shade of blue is the one that people clicked most often in the test. This is an algorithm.",Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,[]
