quoteText,bookTitle,bookAuthor,tags
...the proper response to a lousy idea is not to stop thinking. It is to come up with a better idea.,What Technology Wants,Kevin Kelly,"['ideas', 'thinking']"
"A good question is not concerned with a correct answer. A good question cannot be answered immediately. A good question challenges existing answers. A good question is one you badly want answered once you hear it, but had no inkling you cared before it was asked. A good question creates new territory of thinking. A good question reframes its own answers. A good question is the seed of innovation in science, technology, art, politics, and business. A good question is a probe, a what-if scenario. A good question skirts on the edge of what is known and not known, neither silly nor obvious. A good question cannot be predicted. A good question will be the sign of an educated mind. A good question is one that generates many other good questions. A good question may be the last job a machine will learn to do. A good question is what humans are for.  •",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
"Our mission as humans is not only to discover our fullest selves in the technium, and to find full contentment, but to expand the possibilities for others. Greater technology will selfishly unleash our talents, but it will also unselfishly unleash others: our children, and all children to come.",What Technology Wants,Kevin Kelly,"['contentment', 'posterity', 'purpose', 'technology']"
The smallest thought could not exist unless the entire universe and the laws of physics were in some way encouraging it.,What Technology Wants,Kevin Kelly,[]
"If you watch the curve of science and everything we know, it shoots up like a rocket. We’re on this rocket and we’re going perfectly vertical into the stars. But the emotional intelligence of humankind is equally if not more important than our intellectual intelligence. We’re just as emotionally illiterate as we were 5,000 years ago; so emotionally our line is completely horizontal. The problem is the horizontal and the vertical are getting farther and farther apart. And as these things grow apart, there’s going to be some kind of consequence of that.",What Technology Wants,Kevin Kelly,[]
Humans are the reproductive organs of technology. We multiply manufactured artifacts and spread ideas and memes.,What Technology Wants,Kevin Kelly,[]
"As a practical matter I’ve learned to seek the minimum amount of technology for myself that will create the maximum amount of choices for myself and others. The cybernetician Heinz von Foerster called this approach the Ethical Imperative, and he put it this way: “Always act to increase the number of choices.” The way we can use technologies to increase choices for others is by encouraging science, innovation, education, literacies, and pluralism. In my own experience this principle has never failed: In any game, increase your options.      ",What Technology Wants,Kevin Kelly,[]
"The web holds about a trillion pages. The human brain holds about a hundred billion neurons. Each biological neuron sprouts synaptic links to thousands of other neurons, while each web page on average links to 60 other pages. That adds up to a trillion “synapses” between the static pages on the web. The human brain has about 100 times that number of links—but brains are not doubling in size every few years. The global machine is.",What Technology Wants,Kevin Kelly,[]
"the laws of nature are rigged in favor of life.” In this view, “life emerges from a soup in the same dependable way that a crystal emerges from a saturated solution,",What Technology Wants,Kevin Kelly,[]
"A good question is like the one Albert Einstein asked himself as a small boy—“What would you see if you were traveling on a beam of light?” That question launched the theory of relativity, E=MC2, and the atomic age. A good question is not concerned with a correct answer. A good question cannot be answered immediately. A good question challenges existing answers. A good question is one you badly want answered once you hear it, but had no inkling you cared before it was asked. A good question creates new territory of thinking. A good question reframes its own answers. A good question is the seed of innovation in science, technology, art, politics, and business. A good question is a probe, a what-if scenario. A good question skirts on the edge of what is known and not known, neither silly nor obvious. A good question cannot be predicted. A good question will be the sign of an educated mind. A good question is one that generates many other good questions. A good question may be the last job a machine will learn to do. A good question is what humans are for.",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
We are reaching deep within ourselves to adjust the master knob.,What Technology Wants,Kevin Kelly,[]
Most new ideas and new inventions are disjointed ideas merged.,What Technology Wants,Kevin Kelly,"['ideas', 'innovation', 'technology']"
"If you want a glimpse of what we humans do when the robots take our current jobs, look at experiences. That’s where we’ll spend our money (because they won’t be free) and that’s where we’ll make our money. We’ll",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
"An exploding nuclear bomb has a much higher power density than the sun because it is an unsustainable out-of-control flow of energy. A one-megaton nuclear bomb will release 1017 ergs, which is a lot of power. But the total lifetime of that explosion is only a hyperblink of 10-6 seconds. So if you “amortized” a nuclear blast so that it spent its energy over a full second instead of microseconds, its power density would be reduced to only 1011 ergs per second per gram, which is about the intensity of a laptop computer chip. Energywise, a Pentium chip may be better thought of as a very slow nuclear explosion.",What Technology Wants,Kevin Kelly,[]
"What we want instead of conscious intelligence is artificial smartness. As AIs develop, we might have to engineer ways to prevent consciousness in them. Our most premium AI services will likely be advertised as consciousness-free. Nonhuman",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
"We are still at the early stages in how and what we filter. These powerful computational technologies can be—and will be—applied to the internet of everything. The most trivial product or service could be personalized if we wanted it (but many times we won’t). In the next 30 years the entire cloud will be filtered, elevating the degree of personalization. Yet",The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
"As a practical matter I’ve learned to seek the minimum amount of technology for myself that will create the maximum amount of choices for myself and others. The cybernetician Heinz von Foerster called this approach the Ethical Imperative, and he put it this way: “Always act to increase the number of choices.” The way we can use technologies to increase choices for others is by encouraging science, innovation, education, literacies, and pluralism. In my own experience this principle has never failed: In any game, increase your options.",What Technology Wants,Kevin Kelly,[]
What we want instead of conscious intelligence is artificial smartness.,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,[]
"Woven deep into the vast communication networks wrapping the globe, we also find evidence of embryonic technological autonomy. The technium contains 170 quadrillion computer chips wired up into one mega-scale computing platform. The total number of transistors in this global network is now approximately the same as the number of neurons in your brain. And the number of links among files in this network (think of all the links among all the web pages of the world) is about equal to the number of synapse links in your brain. Thus, this growing planetary electronic membrane is already comparable to the complexity of a human brain. It has three billion artificial eyes (phone and webcams) plugged in, it processes keyword searches at the humming rate of 14 kilohertz (a barely audible high-pitched whine), and it is so large a contraption that it now consumes 5 percent of the world’s electricity. When computer scientists dissect the massive rivers of traffic flowing through it, they cannot account for the source of all the bits. Every now and then a bit is transmitted incorrectly, and while most of those mutations can be attributed to identifiable causes such as hacking, machine error, or line damage, the researchers are left with a few percent that somehow changed themselves. In other words, a small fraction of what the technium communicates originates not from any of its known human-made nodes but from the system at large. The technium is whispering to itself.",What Technology Wants,Kevin Kelly,[]
"Our existence here, he says, is a case of “not we the accidental but we the expected.” Mathematician Manfred Eigen wrote in 1971, “The evolution of life, if it is based on a derivable physical principle, must be considered an inevitable process.",What Technology Wants,Kevin Kelly,[]
"Seeing our world through technology’s eyes has, for me, illuminated its larger purpose. And recognizing what it wants has reduced much of my own conflict in deciding where to place myself in its embrace. This book is my report on what technology wants. My hope is that it will help others find their own way to optimize technology’s blessings and minimize its costs.",What Technology Wants,Kevin Kelly,[]
