quoteText,bookTitle,bookAuthor,tags
"Make sure that you are seeing each person on your team with fresh eyes every day. People evolve, and so your relationships must evolve with them. Care personally; don’t put people in boxes and leave them there.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"If you want to build a ship, don’t drum up people to collect wood and don’t assign them tasks and work, but rather teach them to long for the endless immensity of the sea.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
A good rule of thumb for any relationship is to leave three unimportant things unsaid each day.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"When bosses are too invested in everyone getting along they also fail to encourage the people on their team to criticize one another other for fear of sowing discord. They create the kind of work environment where being ""nice"" is prioritized at the expense of critiquing and therefore improving actual performance.",Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,[]
The essence of leadership is not getting overwhelmed by circumstances.,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"You may be worried about earning their respect, and that’s natural. Unfortunately, though, being overly focused on respect can backfire because it’ll make you feel extra defensive when criticized. If, on the other hand, you can listen to the criticism and react well to it, both trust and respect will follow.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
The best way to keep superstars happy is to challenge them and make sure they are constantly learning.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Sometimes, the greatest gift you can give your team is to let them go home.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
Probably the most important thing you can do to build trust is to spend a little time alone with each of your direct reports on a regular basis.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Jobs articulated this approach more gently in an interview with Terry Gross: “At Apple we hire people to tell us what to do, not the other way around.” And",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"At Apple, as at Google, a boss’s ability to achieve results had a lot more to do with listening and seeking to understand than it did with telling people what to do; more to do with debating than directing; more to do with pushing people to decide than with being the decider; more to do with persuading than with giving orders; more to do with learning than with knowing.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"It’s brutally hard to tell people when they are screwing up. You don’t want to hurt anyone’s feelings; that’s because you’re not a sadist. You don’t want that person or the rest of the team to think you’re a jerk. Plus, you’ve been told since you learned to talk, “If you don’t have anything nice to say, don’t say anything at all.” Now all of a sudden it’s your job to say it. You’ve got to undo a lifetime of training. Management is hard.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Randy Nelson, the dean of Pixar University and a faculty member at Apple University, captured this when he said of Steve Jobs, “He’s a lion. If he roars at you, you’d better roar back just as loudly—but only if you really are a lion, too. Otherwise he’ll eat you for lunch.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
There’s no worse way to make a group of people feel excluded than to use language that pretends they are simply not in the room.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Those who find work they can continue to love for five or ten or thirty years, even if it doesn’t lead to some sort of advancement, are damn lucky. And their teams and their bosses are lucky to have them. Kick-ass bosses never judge people doing great work as having “capped out.” Instead, they treat them with the honor that they are due and retain the individuals who will keep their team stable, cohesive, and productive.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"As you probably know, for every piece of subpar work you accept, for every missed deadline you let slip, you begin to feel resentment and then anger. You no longer just think the work is bad: you think the person is bad. This makes it harder to have an even-keeled conversation. You start to avoid talking to the person at all.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Here’s what I need to do to stay centered: sleep eight hours, exercise for forty-five minutes, and have both breakfast and dinner with my family. If I skip one or two of those things for a day or two, it’s OK. But that’s the routine. Also, every so often I need to read a novel (ideally one a week), go away for a romantic weekend with my husband (ideally four times a year), and take a two-week vacation with siblings and parents (once a year). If I can manage to do those things, I can usually stay centered no matter what storms are raging around me.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
The way you ask for criticism and react when you get it goes a long way toward building trust—or destroying it.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"If you don’t teach that dog to sit, she’s going to die!” said the tall bearded man in blue jeans standing next to me. He pointed at the ground, bent down to get in Belvy’s face, and bellowed at her, “SIT!!” To my astonishment, Belvy sat. She didn’t just sit, she pounded her butt into the pavement, and looked up at the man wagging her tail.",Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"['constructive-criticism', 'discipline', 'empathy', 'love']"
"feedback is personal for the person receiving it. Most of us pour more time and energy into our work than anything else in our lives. Work is a part of who we are, and so it is personal.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Some professionals say you need to have a praise-to-criticism ratio of 3:1, 5:1, or even 7:1. Others advocate the “feedback sandwich”—opening and closing with praise, sticking some criticism in between. I think venture capitalist Ben Horowitz got it right when he called this approach the “shit sandwich.” Horowitz suggests that such a technique might work with less-experienced people, but I’ve found the average child sees through it just as clearly as an executive does.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Richard Tedlow’s biography of Andy Grove, Intel’s legendary CEO, asserts that management and leadership are like forehand and backhand. You have to be good at both to win.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Georgia O’Keeffe said, “It is only by selection, by elimination, and by emphasis that we get at the real meaning of things.” Choosing what to select, what to eliminate, and what to emphasize depends not only on the idea but on the audience.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Remember, Obnoxious Aggression is a behavior, not a personality trait. Nobody is a bona fide asshole all the time.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"There's several reasons why it make sense to begin building a culture of radical candor by asking people to criticize you. First, it's the best way to show that you are aware you are often wrong and that you want to hear about it when you are. You want to be challenged. Second, you'll learn a lot. Few people scrutinize you as closely as do those that report to you. [...] Third, the more first hand experience you have with how it feels to receive criticism, the better idea you'll have of how your own guidance lands for others. Fourth, asking for criticism is a great way to build trust and strengthen your relationships.",Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"They get measured at the listener’s ear, not at the speaker’s mouth.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Listen, Challenge, Commit. A strong leader has the humility to listen, the confidence to challenge, and the wisdom to know when to quit arguing and to get on board.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Ultimately, though, bosses are responsible for results. They achieve these results not by doing all the work themselves but by guiding the people on their teams. Bosses guide a team to achieve results. The questions I get asked next are clustered around each of these three areas of responsibility that managers do have: guidance, team-building, and results.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"If you find you cannot be Radically Candid with your boss, I recommend that you consider finding a new job with a new boss.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"We learn more from our mistakes than our successes, more from criticism than from praise. Why, then, is it important to give more praise than criticism? Several reasons. First, it guides people in the right direction. It’s just as important to let people know what to do more of as what to do less of. Second, it encourages people to keep improving. In other words, the best praise does a lot more than just make people feel good. It can actually challenge them directly.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"The key insight behind Radical Candor is that command and control can hinder innovation and harm a team’s ability to improve the efficiency of routine work. Bosses and companies get better results when they voluntarily lay down unilateral power and encourage their teams and peers to hold them accountable, when they quit trying to control employees and focus instead on encouraging agency. The idea is that collaboration and innovation flourish when human relationships replace bullying and bureaucracy.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Saying “your work is shit” is way better than saying “you are shit,” but it’s still totally obnoxious.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"The Art of Happiness. It’s about the teachings of the Dalai Lama … [who] explains it this way: picture yourself walking along a mountainous trail. You come across a person being crushed by a boulder on their chest. The empathetic response would be to feel the same sense of crushing suffocation, thus rendering you helpless. The compassionate response would be to recognize that that person is in pain and to do everything within your power to remove the boulder and alleviate their suffering. Put another way, compassion is empathy plus action.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"SOME COMPANIES PUT a lot of effort into bringing employees together outside of the office. It might be a happy hour, or a holiday party, or an off-site event. While retreats and parties can be productive if people on your team really want them, it is best to remember that mostly you get to know the people you work with on the job, every day, as an integrated part of the work rhythm, not at the annual holiday party.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Some management bloviators will advise you simply to hire the right people and then leave them alone. Dick Costolo, Twitter’s CEO from 2010–2015, explained succinctly how crazy this advice is. “That’s like saying, to have a good marriage, marry the right person and then avoid spending any time with them. Ridiculous, right?” he exclaimed. “Imagine if I went home and told my wife, ‘I don’t want to micromanage you, so I’m not going to spend any time with you or the kids this year.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
I do not believe there is any such thing as a “B-player” or a mediocre human being. Everyone can be excellent at something.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Radical Candor is so often misunderstood is that it’s confused with Ray Dalio’s Radical Transparency. While Dalio and I are very much aligned on the importance of challenging directly, there’s not much focus on care personally in his “manage as someone operating a machine to achieve a goal” philosophy.1 Furthermore, relationships require some privacy, so while I am all for transparency when it comes to business results, I don’t believe that Radical Transparency fosters good working relationships, contributes to psychological safety, or results in a productive, happy culture.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"When management is the only path to higher compensation, the quality of management suffers, and the lives of the people who work for these reluctant managers become miserable.",Radical Candor: How to be a Great Boss Without Losing Your Humanity,Kim Malone Scott,[]
Focusing on the future discourages people who did well from resting on their laurels and prevents people who did badly from wallowing in despair. Focusing on what each person plans to do differently as a result of the review is also a great way to check for understanding,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
a boss’s ability to achieve results had a lot more to do with listening and seeking to understand than it did with telling people what to do; more to do with debating than directing; more to do with pushing people to decide than with being the decider; more to do with persuading than with giving orders; more to do with learning than with knowing.,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Following in Tim’s footsteps, one of my students in the Managing at Apple class said that he tried to make sure to spend at least ten minutes in every one-on-one meeting listening silently, without reacting in any way. He would keep his facial expression and body language totally neutral. “What did you learn in that ten minutes that you didn’t learn the other fifty?” I asked. “I heard the things I didn’t want to hear,” my student said, validating Tim’s technique. “If I gave any reaction at all, people would often tell me what they thought I wanted to hear. I found that they were much more likely to say what they really thought—even if it wasn’t what I was hoping to hear—when I was careful not to show what I thought.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
That’s why it’s crucial to remind people that an important part of Radically Candid relationships is opening yourself to the possibility of connecting with people who have different worldviews or whose lives involve behavior that you don’t understand or that may even conflict with a core belief of yours. It’s possible to care personally about a person who disagrees with your views on abortion or guns or God. The,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
"Loud listening—stating a point of view strongly—offers a quick way to expose opposing points of view or flaws in reasoning. It also prevents people from wasting a lot of time trying to figure out what the boss thinks. Assuming that you are surrounded with people who don’t hesitate to challenge what you say, stating it clearly can be the fastest way to get to the best answer.",Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
What could I do or stop doing that would make it easier to work with me?,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,[]
