quoteText,bookTitle,bookAuthor,tags
"One idea alone is a tactic, but if it can be executed a number of different ways, it becomes a great strategy.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
Realize that you won’t be able to bring the same focus to everything in the beginning. There won’t be enough people or enough hours in the day. So focus on the 20 percent that makes 80 percent of the difference.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Seize the opportunity in front of you. Imagine. Invent. Disrupt. Do good. I know that you must be passionate, unreasonable, and a little bit crazy to follow your own ideas and do things differently. But it’s worth it. Life grows relative to one’s investment in it.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"There is a Japanese belief that business is temporal, whereas relationships are eternal. That’s true. One day you compete. The next day you partner. One day someone is your subordinate; the next day he or she may be your superior. At its finest, business is friendly competition, just like a game of tennis. As",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"you must always examine what’s working, evolve your ideas, and change the way you do things.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
1) Out of clutter find simplicity; 2) From discord find harmony; 3) In the middle of difficulty lies opportunity.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"It’s amazing to consider that no matter what size customer we were pitching, or where in the world we were selling, a singular idea drove all our accomplishments: we never sold features. We sold the model and we sold the customer’s success.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Reliability Is a Tech Problem, but the Way You Solve It Is Not with Technology Alone—It’s with Communication",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"(If you want a successful event, you have to project success; your attitude will help make it a hit.) Although",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
So focus on the 20 percent that makes 80 percent of the difference.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Do it fast, simple, and right the first time (and did we mention fast?).",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"guiding principles about the system: “Do it fast, simple, and right the first time (and did we mention fast?).” They wrote these “laws” on a white board, and they stuck. They forced us to create code that was simple and efficient, and this is what ultimately gave us the ability to scale.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
My summers at Apple had taught me that the secret to encouraging creativity and producing the best possible product was to keep people fulfilled and happy. I wanted the people who built salesforce.com to be inspired and to feel valued.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"We began to get more exciting press activity, mostly online at first. I believe that the coverage opened Caryn’s eyes that we had something important to say, and OutCast Communications took us on as a client. Having the right agency would be pivotal to our image and success.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"open communication, in tandem with quickly fixing the problem, is the only way to build and retain trust.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Nine times out of ten, companies fail because they don’t set up a large enough sales force and thus have no way to collect enough revenue.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
Realize that you won’t be able to bring the same focus to everything in the beginning. There won’t be enough people or enough hours in the day. So focus on the 20 percent that makes 80 percent of the difference. Play,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"In order to remain relevant, you must establish yourself as a thought leader in your industry.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Early in my career, during my first few years at Oracle, I defined my success by making money and achieving power. By my early thirties, however, I realized that these superficial achievements did not provide real meaning or true happiness. Despite a list of impressive titles and a pile of material possessions, I felt that something was missing, and began to consider my place in the world and how I could make a difference.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
The total cost for 200 people to use a low-end product in the 1990s could exceed $1.8 million in the first year alone.2,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"intellectual challenge inasmuch as it had to be highly scalable, reliable, and",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
Value of a corporation should be distributed not only to its leadership but also to the communities in which it operates and to the world,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-And Revolutionized an Industry,Marc Benioff,[]
focus on the 20 percent that makes 80 percent of the difference.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Keep in mind that the landscape is always changing; you must always examine what’s working, evolve your ideas, and change the way you do things.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
Every experience you give a journalist or potential customer must explain why you are different and incorporate a clear call to action.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
the V2MOM process. You might have more than one answer to each question; be sure to prioritize your answers: VISION (What do you want?): ________________________________________ VALUES (What’s important about it?): ________________________________________ METHODS (How do you get it?): ________________________________________ OBSTACLES (What might stand in the way?): ________________________________________ MEASURES (How will you know when you have it?): ________________________________________,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"There is a Japanese belief that business is temporal, whereas relationships are eternal.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Later, as we neared the $1 billion in revenue mark, we didn’t focus on $1 billion in revenue, but what we needed to do to get to $10 billion in revenue.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
the power of each customer exchange. If the exchange was executed as well as possible—if we made the customer truly successful—we had the opportunity to transform him or her into an Apple loyalist and evangelist. This opened my eyes to the importance of customer success.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"build a new technology model (on-demand, or delivered over the Internet—now called cloud computing), a new sales model (subscription based), and a new philanthropic model (integrated into the corporation).",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Our differentiators were ease of use, a business model of shared risk, and low-risk commitment—everything that software was not.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
Don’t ever let the competition make you angry. You must have clarity of mind to make your own decisions—not the ones that your competitors want you to make.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Because the guerilla tactic of directly leveraging the activities of our competition worked so well, we repeated it and made it one of our marketing strategies.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
There won’t be enough people or enough hours in the day. So focus on the 20 percent that makes 80 percent of the difference.,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
"Our current battle: we have to save the customer from Microsoft, Oracle, and SAP.",Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,Marc Benioff,[]
