quoteText,bookTitle,bookAuthor,tags
"Random violence makes the news precisely because it is so rare, routine kindness does not make the news precisely because it is so commonplace. (104)",The Rational Optimist: How Prosperity Evolves,Matt Ridley,"['inspirational', 'life']"
"Because it is a monopoly, government brings inefficiency and stagnation to most things it runs; government agencies pursue the inflation of their budgets rather than the service of their customers; pressure groups form an unholy alliance with agencies to extract more money from taxpayers for their members. Yet despite all this, most clever people still call for government to run more things and assume that if it did so, it would somehow be more perfect, more selfless, next time.",The Rational Optimist: How Prosperity Evolves,Matt Ridley,[]
"It is strange to me that most people assume companies will be imperfect (as they are), but they assume that government agencies will be perfect, which they are not.",The Rational Optimist: How Prosperity Evolves,Matt Ridley,[]
"At some point, human intelligence became collective and cumulative in a way that happened to no other animal.",The Rational Optimist,Matt Ridley,"['evolution', 'life']"
"The Sun King had dinner each night alone. He chose from forty dishes, served on gold and silver plate. It took a staggering 498 people to prepare each meal. He was rich because he consumed the work of other people, mainly in the form of their services. He was rich because other people did things for him. At that time, the average French family would have prepared and consumed its own meals as well as paid tax to support his servants in the palace. So it is not hard to conclude that Louis XIV was rich because others were poor.",The Rational Optimist: How Prosperity Evolves,Matt Ridley,"['prosperity', 'specialization']"
"Humanity is experiencing an extraordinary burst of evolutionary change, driven by good old-fashioned Darwinian natural selection. But it is selection among ideas, not among genes.",The Rational Optimist,Matt Ridley,[]
"Those of libertarian bent often prove more generous than those of a socialist persuasion: where the socialist feels that it is government’s job to look after the poor using taxes, libertarians think it is their duty.",The Rational Optimist,Matt Ridley,[]
It is common to find that two traders both think their counterparts are idiotically overpaying: that is the beauty of Ricardo’s magic trick.,The Rational Optimist,Matt Ridley,[]
"As I write this, it is nine o’clock in the morning. In the two hours since I got out of bed I have showered in water heated by North Sea gas, shaved using an American razor running on electricity made from British coal, eaten a slice of bread made from French wheat, spread with New Zealand butter and Spanish marmalade, then brewed a cup of tea using leaves grown in Sri Lanka, dressed myself in clothes of Indian cotton and Australian wool, with shoes of Chinese leather and Malaysian rubber, and read a newspaper made from Finnish wood pulp and Chinese ink.",The Rational Optimist,Matt Ridley,[]
It is my proposition that the human race has become a collective problem-solving machine and it solves problems by changing its ways. It,The Rational Optimist,Matt Ridley,[]
"In 1900, the average American spent $76 of every $100 on food, clothing and shelter. Today he spends $37.",The Rational Optimist,Matt Ridley,[]
Think of this: never before this generation has the average person been able to afford to have somebody else prepare his meals. You,The Rational Optimist,Matt Ridley,[]
"the Australian economist Peter Saunders argues, ‘Nobody planned the global capitalist system, nobody runs it, and nobody really comprehends it. This particularly offends intellectuals, for capitalism renders them redundant. It gets on perfectly well without them.",The Rational Optimist,Matt Ridley,[]
Yet as soon as Greece was unified into an empire by a thug – Philip of Macedon in 338 BC – it lost its edge.,The Rational Optimist,Matt Ridley,[]
The cornucopia that greets you as you enter the supermarket dwarfs anything that Louis XIV ever experienced (and it is probably less likely to contain salmonella).,The Rational Optimist,Matt Ridley,[]
The big firms that survive will do so by turning themselves into bottom-up evolvers.,The Rational Optimist,Matt Ridley,[]
"Then there appeared upon the earth a new kind of hominid, which refused to play by the rules. Without any changes in its body, and without any succession of species, it just kept changing its habits. For the first time its technology changed faster than its anatomy. This was an evolutionary novelty, and you are it. When",The Rational Optimist,Matt Ridley,[]
"In other words, cooking encourages specialisation by sex. The first and deepest division of labour is the sexual one.",The Rational Optimist,Matt Ridley,[]
"An evolutionary bargain seems to have been struck: in exchange for sexual exclusivity, the man brings meat and protects the fire from thieves and bullies; in exchange for help rearing the children, the woman brings veg and does much of the cooking. This may explain why human beings are the only great apes with long pair bonds. Just",The Rational Optimist,Matt Ridley,[]
Futurology always ends up telling you more about your own time than about the future.,The Rational Optimist: How Prosperity Evolves,Matt Ridley,['future']
Vernon Smith and his colleagues have long confirmed that markets in goods and services for immediate consumption – haircuts and hamburgers – work so well that it is hard to design them so they fail to deliver efficiency and innovation; while markets in assets are so automatically prone to bubbles and crashes that it is hard to design them so they work at all.,The Rational Optimist,Matt Ridley,[]
"There is a neat economic explanation for the sexual division of labour in hunter-gatherers. In terms of nutrition, women generally collect dependable, staple carbohydrates whereas men fetch precious protein. Combine the two – predictable calories from women and occasional protein from men – and you get the best of both worlds. At the cost of some extra work, women get to eat some good protein without having to chase it; men get to know where the next meal is coming from if they fail to kill a deer. That very fact makes it easier for them to spend more time chasing deer and so makes it more likely they will catch one. Everybody gains – gains from trade. It is as if the species now has two brains and two stores of knowledge instead of one – a brain that learns about hunting and a brain that learns about gathering.",The Rational Optimist: How Prosperity Evolves,Matt Ridley,"['evolution', 'game-theory', 'sexuality']"
"Not inventing, and not adopting new ideas, can itself be both dangerous and immoral.",The Rational Optimist,Matt Ridley,[]
"Half of the biggest American companies of 1980 have now disappeared by take-over or bankruptcy; half of today’s biggest companies did not even exist in 1980. The same is not true of government monopolies: the Internal Revenue Service and the National Health Service will not die, however much incompetence they might display. Yet most anti-corporate activists have faith in the good will of the leviathans that can force you to do business with them, but are suspicious of the behemoths that have to beg for your business. I find that odd. Moreover,",The Rational Optimist,Matt Ridley,[]
"Specialisation encouraged innovation, because it encouraged the investment of time in a tool-making tool. That saved time, and prosperity is simply time saved, which is proportional to the division of labour.",The Rational Optimist,Matt Ridley,[]
It is easier to wax elegiac for the life of a peasant when you do not have to use a long-drop toilet.,The Rational Optimist,Matt Ridley,[]
"As Edward Glaeser put it, ‘Thoreau was wrong. Living in the country is not the right way to care for the Earth. The best thing that we can do for the planet is build more skyscrapers.",The Rational Optimist,Matt Ridley,[]
The evolutionary biologist Richard Dawkins in 1976 coined the term ‘meme’ for a unit of cultural imitation.,The Rational Optimist,Matt Ridley,[]
"The lesson of this study is that, on the whole, having to deal with strangers teaches you to be polite to them, and that in order for such generosity to emerge, costly punishment of selfishness may be necessary.",The Rational Optimist,Matt Ridley,[]
"Humanity is experiencing an extraordinary burst of evolutionary change, driven by good old-fashioned Darwinian natural selection. But it is selection among ideas, not among genes. The habitat in which these ideas reside consists of human brains.",The Rational Optimist,Matt Ridley,[]
The Dark Ages were a massive experiment in the back-to-the-land hippy lifestyle (without the trust fund):,The Rational Optimist,Matt Ridley,[]
"Thanks to a newly perfected technology, the camel, the people of the Arabian Peninsula found themselves well placed to profit from trade between East and West.",The Rational Optimist,Matt Ridley,[]
"The success of human beings depends crucially, but precariously, on numbers and connections. A few hundred people cannot sustain a sophisticated technology: trade is a vital part of the story.",The Rational Optimist: How Prosperity Evolves,Matt Ridley,[]
"Two economists recently concluded, after studying the issue, that the entire concept of food miles is ‘a profoundly flawed sustainability indicator’. Getting food from the farmer to the shop causes just 4 per cent of all its lifetime emissions. Ten times as much carbon is emitted in refrigerating British food as in air-freighting it from abroad, and fifty times as much is emitted by the customer travelling to the shops.",The Rational Optimist,Matt Ridley,[]
Most aid is delivered by governments to governments.,The Rational Optimist,Matt Ridley,[]
"Economists are quick to speak of ‘market failure’, and rightly so, but a greater threat comes from ‘government failure’.",The Rational Optimist,Matt Ridley,[]
"In America, roughly 15 per cent of jobs are destroyed every year; and roughly 15 per cent created.",The Rational Optimist,Matt Ridley,[]
The message from history is so blatantly obvious – that free trade causes mutual prosperity while protectionism causes poverty – that it seems incredible that anybody ever thinks otherwise.,The Rational Optimist,Matt Ridley,[]
"This isn’t about auctions,’ said Meg Whitman, the chief executive of eBay, ‘in fact it’s not about economic warfare. It’s the opposite.’ It was survival of the nicest.",The Rational Optimist,Matt Ridley,[]
The great success of ants and termites – between them they may comprise one-third of all the animal biomass of land animals – is undoubtedly down to their division of labour.,The Rational Optimist,Matt Ridley,[]
"homini lupus’, said Plautus. ‘Man is a wolf to man.",The Rational Optimist,Matt Ridley,[]
"The generation that has experienced more peace, freedom, leisure time, education, medicine, travel, movies, mobile phones and massages than any generation in history is lapping up gloom at every opportunity.",The Rational Optimist,Matt Ridley,[]
"Europe was, in Joel Mokyr’s words, ‘the first society to build an economy on non-human power rather than on the backs of slaves and coolies’.",The Rational Optimist,Matt Ridley,[]
[...] the Stone Age did not come to an end for lack of stone.,The Rational Optimist: How Prosperity Evolves,Matt Ridley,[]
"This is the diagnostic feature of modern life, the very definition of a high standard of living: diverse consumption, simplified production. Make one thing, use lots.",The Rational Optimist,Matt Ridley,[]
