quoteText,bookTitle,bookAuthor,tags
Learn from the mistakes of others. You can’t live long enough to make them all yourself.,Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"Studies have shown that we are often so worried about failure that we create vague goals, so that nobody can point the finger when we don’t achieve them. We come up with face-saving excuses, even before we have attempted anything.",Black Box Thinking: Why Some People Never Learn from Their Mistakes - But Some Do,Matthew Syed,[]
"Creativity is, in many respects, a response.",Black Box Thinking: Why Some People Never Learn from Their Mistakes - But Some Do,Matthew Syed,['creativity']
"Everything we know in aviation, every rule in the rule book, every procedure we have, we know because someone somewhere died . . . We have purchased at great cost, lessons literally bought with blood that we have to preserve as institutional knowledge and pass on to succeeding generations. We cannot have the moral failure of forgetting these lessons and have to relearn them.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"The only way to be sure is to go out and test your ideas and programmes, and to realise that you will often be wrong. But that is not a bad thing. It leads to progress.   This",Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
It is partly because we are so willing to blame others for their mistakes that we are so keen to conceal our own. We,Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
"Michael Jordan, the basketball great, is a case in point. In a famous Nike commercial, he said: ‘I’ve missed more than nine thousand shots. I’ve lost almost three hundred games. Twenty-six times I’ve been trusted to take the game-winning shot and missed.’ For many the ad was perplexing. Why boast about your mistakes? But to Jordan it made perfect sense. ‘Mental toughness and heart are a lot stronger than some of the physical advantages you might have,’ he said. ‘I’ve always said that and I’ve always believed that.’ James",Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
"The reason is not difficult to see: if we drop out when we hit problems, progress is scuppered, no matter how talented we are. If we interpret difficulties as indictments of who we are, rather than as pathways to progress, we will run a mile from failure. Grit, then, is strongly related to the Growth Mindset; it is about the way we conceptualise success and failure.",Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
"This, then, is what we might call “black box thinking.”* For organizations beyond aviation, it is not about creating a literal black box; rather, it is about the willingness and tenacity to investigate the lessons that often exist when we fail, but which we rarely exploit. It is about creating systems and cultures that enable organizations to learn from errors, rather than being threatened by them.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"Failure is rich in learning opportunities for a simple reason: in many of its guises, it represents a violation of expectation.6 It is showing us that the world is in some sense different from the way we imagined it to be.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"Success is not just dependent on before-the-event reasoning, it is also about after-the-trigger adaptation.",Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
"Most closed loops exist because people deny failure or try to spin it. With pseudosciences the problem is more structural. They have been designed, wittingly or otherwise, to make failure impossible. That is why, to their adherents, they are so mesmerizing. They are compatible with everything that happens. But that also means they cannot learn from anything.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"Much of the literature on creativity focuses on how to trigger these moments of innovative synthesis; how to drive the problem phase toward its resolution. And it turns out that epiphanies often happen when we are in one of two types of environment. The first is when we are switching off: having a shower, going for a walk, sipping a cold beer, daydreaming. When we are too focused, when we are thinking too literally, we can’t spot the obscure associations that are so important to creativity. We have to take a step back for the “associative state” to emerge. As the poet Julia Cameron put it: “I learned to get out of the way and let that creative force work through me.”8 The other type of environment where creative moments often happen, as we have seen, is when we are being sparked by the dissent of others. When Kevin Dunbar, a psychologist at McGill University, went to look at how scientific breakthroughs actually happen, for example (he took cameras into four molecular biology labs and recorded pretty much everything that took place), he assumed that it would involve scientists beavering away in isolated contemplation. In fact, the breakthroughs happened at lab meetings, where groups of researchers would gather around a desk to talk through their work. Why here? Because they were forced to respond to challenges and critiques from their fellow researchers. They were jarred into seeing new associations.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"In a study in Scotland, members of the public were adamant that they could remember a nurse removing a skin sample from their little finger. But this never happened. A week earlier these volunteers had been asked by researchers to imagine a nurse removing the sample. But somehow, on recollection, it had morphed into a real event. They were four times as likely to recall it as real compared with those who had not been asked to imagine it.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"These witnesses were not necessarily lying. They were not making it up. But then neither was Neil Tyson when he talked about Bush’s stars speech. When the witnesses said they remembered seeing the suspect at the scene of the crime, they were telling the truth. They did remember seeing him there, but they didn’t actually see him there. These are two quite different things.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"In his seminal book Antifragile, Nassim Nicholas Taleb shows how the linear model is wrong (or, at best, misleading) in everything from cybernetics, to derivatives, to medicine, to the jet engine. In each case history reveals that these innovations emerged as a consequence of a similar process utilized by the biologists at Unilever, and became encoded in heuristics (rules of thumb) and practical know-how. The problems were often too complex to solve theoretically, or via a blueprint, or in the seminar room. They were solved by failing, learning, and failing again.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"It sounds simple, doesn’t it? Learning from failure has the status of a cliché. But it turns out that, for reasons both prosaic and profound, a failure to learn from mistakes has been one of the single greatest obstacles to human progress.",Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed,[]
"And we will see that beneath the inspirational stories told about these shifts, the deepest and most overlooked truth is that innovation cannot happen without failure. Indeed, the aversion to failure is the single largest obstacle to creative change, not just in business but beyond.",Black Box Thinking: The Surprising Truth About Success,Matthew Syed,[]
