quoteText,bookTitle,bookAuthor,tags
"Yet his experiments led him to a contradictory conclusion. Programming did not teach people how to think—he realized he knew too many narrow-minded programmers for that to be so, now that he considered the question in depth. The truth was the converse: Every individual’s ingrained way of thinking affected how he or she programmed.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"No corner of PARC generated anything like the Kay group’s free-wheeling mania. “It was an amazingly seductive environment,” recalled Merry. “I was there late at night all the time. People were so full of ideas and excitement, and of course everybody knew more than anybody else about how the world was supposed to be.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"In a small group the dynamics are like those on a good basketball team,” Kay observed. “Everybody has to be able to play the whole game. Each person should have certain things they’re better at than the others, but everyone should be pretty good at everything.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
As We May Think” remains one of the few genuinely seminal documents of the computer age.,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"It seemed as though SDD as an organization had been driven by designers lacking any counterweight of sales and marketing professionals. As Lampson observed later, “It was kind of amazing that this company whose biggest single strength was marketing set up an organization composed entirely of engineers to get them into a whole new line of business.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"But one man was way ahead of them all. That one had written a doctoral thesis at Utah in 1969 describing an idealized interactive computer called the FLEX machine. He had experimented with powerful displays and with computers networked in intricate configurations. On page after page of his dissertation he lamented the inability of the world’s existing hardware to realize his dream of an interactive personal computer. He set before science the challenge to build the machine he imagined, one with “enough power to outrace your senses of sight and hearing, enough capacity to store thousands of pages, poems, letters, recipes, records, drawings, animations, musical scores, and anything else you would like to remember and change.” To Taylor he was a soulmate and a profound thinker, capable of seeing a computing future far beyond anything even he could imagine. Among the computer scientists familiar with his ideas, half thought he was a crackpot and the other half a visionary. His name was Alan Kay.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"The rules were explicit: No employee, from the chief executive down to the lowliest mailroom clerk, could talk to the press without a PR minder in tow. The communications department ruthlessly monitored all press coverage, issuing stern correctives to newspapers or magazines that erred on so much as an executive title.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"At the first session the group piled on an unfortunate wild man from that backwater, the University of Utah, named Alan Kay. Kay had stepped forth in a public session to pitch his vision of a computer you could hold in your hand. He had already coined a name for it: “Dynabook,” a notebook-shaped machine with a display screen and a keyboard you could use to create, edit, and store a very personal sort of literature, music, and art. “He was crazy,” Wessler recalled. “People greeted the whole idea with disbelief and gave him a very tough time. He painted this picture of walking around with a computer under your arm, which we all thought was completely ridiculous.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"If an idea worked, the team stuck together for the next three or six months to complete the job; if not, everyone simply dispersed like free electrons in search of a new creative valence. Thacker viewed this system as “a continuous form of peer review. Projects that were exciting and challenging received something much more important than financial and administrative support. They received help and participation…As a result, quality work flourished, less interesting work tended to wither.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"Taylor believed that the unique success of the 914 copier had inculcated Xerox management with the doctrine that good things derived only from hardware. He was determined to show them that this idea was obsolete. As PARC envisioned the office of the future, a single piece of equipment could be made to serve multiple uses simply by changes in its software.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"The day he came to PARC for his job interview, Rick Jones invited him into his office and asked him a stock question. “What do you think your greatest achievement will be at PARC?” he asked. “It’ll be a personal computer,” Kay replied. “What’s that?” Spying a flat portfolio on Jones’s desk the size of a student’s notebook, Kay seized it and flipped it open. “This will be a flat-panel display,” he said, indicating the cover, which he held upright. “There’ll be a keyboard here on the bottom, and enough power to store your mail, files, music, artwork, and books. All in a package about this size and weighing a couple of pounds. That’s what I’m talking about.” He walked out, leaving Jones scratching his head and saying to himself, “Yeah, right.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"One of the office machines there was an elaborate electric typewriter that could do minimal text formatting through the application of a complicated sequence of keystrokes. No one ever utilized the beastly device’s capability except Merry, who was caught at it one day by Alan Kay. “You’re a programmer!” he exclaimed. “No kidding,” she said. Impressed by the natural skills of this secretary smuggled over from the physics lab, Kay gave her a few hours of rudimentary training. After that it was a relatively simple matter to get her assigned to his group.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"He had been convinced that teaching kids to program at an early age would permanently shape their thought processes. His real ambition had been to provide them with a singular window on human enlightenment. Yet his experiments led him to a contradictory conclusion. Programming did not teach people how to think—he realized he knew too many narrow-minded programmers for that to be so, now that he considered the question in depth. The truth was the converse: Every individual’s ingrained way of thinking affected how he or she programmed.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"Kay remained preoccupied with a lesson he had assimilated from Marshall McLuhan: Once humans shape their tools, they turn around and “reshape us.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"Bemused, Hall ushered them into a conference room to get a better idea of what they hoped to learn.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
"LINC “was the first machine that you could take apart and put in the back of your car, carry somewhere else, put back together again, and it would run,” Ornstein recalled. “That idea had never previously seemed conceivable.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,[]
