quoteText,bookTitle,bookAuthor,tags
There's a quick and easy way to test whether an activity involves skill: ask whether you can lose on purpose.,"The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Once an innovation reaches a certain level of popularity, its success is virtually assured. By the same token, great innovations can fail because the domino effect doesn't kick in.15","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"When luck plays a part in determining the consequences of your actions, you don't want to study success to learn what strategy was used but rather study strategy to see whether it consistently led to success.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Deliberate practice works when skill dominates, while a focus on process and probability is appropriate when luck is the greater force.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"When competing one-on-one, follow two simple rules: If you are the favorite, simplify the game. If you are the underdog, make it more complicated.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"If you are the stronger player, simplify the interaction to emphasize your skill. If you are the underdog, complicate the game to introduce more luck into the outcome.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Randomness and luck are related, but there is a useful distinction between the two. You can think of randomness as operating at the level of a system and luck operating at the level of the individual.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"When most people come to believe the same thing, large gaps open up between price and value.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Your only chance of winning is to adhere to the rules that you know work. Your skill can't change the odds, it can only be applied to make sure that you play the cards properly.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"There are no good or bad horses, just correctly or incorrectly priced ones. This principle holds across all probabilistic domains: again, the goal is to get more than you pay for.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"You have a margin of safety when you buy a stock at a price that is substantially less than its value. As Graham noted, the margin of safety “is available for absorbing the effect of miscalculations or worse than average luck.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
Klarman has a wonderful line: “Value investing is at its core the marriage of a contrarian streak and a calculator.”35 He's saying that you have to be different from others and focus on gaps between price and value. This idea extends well beyond the world of investing.,"The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Statistics don't appeal to our need to understand cause and effect, which is why they are so frequently ignored or misinterpreted. Stories, on the other hand, are a rich means to communicate precisely because they emphasize cause and effect.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Other psychological tricks we play on ourselves include the recency bias and sample size bias. The recency bias says that we weight recent information more heavily than a body of past evidence. As a result, we tend to overrate players who have done well recently even if they did poorly in the past. Sample size bias is related. The natural tendency is to extract more meaning from small samples than the data warrant. Psychologists who study these biases can teach us a great deal about why we struggle to sort out skill and luck.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
"Barlow writes, “Associations discovered must be genuine ones and not due to chance. The mind that seizes on any random coincidence and sees it as a sign of an important permanent association will not guess right and is not conceded to be intelligent, though it may be at times entertaining.","The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,[]
