quoteText,bookTitle,bookAuthor,tags
There are few sources of energy so powerful as a procrastinating college student.,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"['graham', 'hackers', 'humor', 'inspirational', 'painters', 'paul']"
Let's start with a test: Do you have any opinions that you would be reluctant to express in front of a group of your peers?,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,['what-you-can-t-say']
"If you want to make money at some point, remember this, because this is one of the reasons startups win. Big companies want to decrease the standard deviation of design outcomes because they want to avoid disasters. But when you damp oscillations, you lose the high points as well as the low. This is not a problem for big companies, because they don't win by making great products. Big companies win by sucking less than other big companies. ",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
Object-oriented programming offers a sustainable way to write spaghetti code. It lets you accrete programs as a series of patches.,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,['programming']
The main reason nerds are unpopular is that they have other things to think about.,Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"The recipe for great work is: very exacting taste, plus the ability to gratify it.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"['creation', 'creativity', 'taste', 'work']"
"It's important for nerds to realize, too, that school is not life. School is a strange, artificial thing, half sterile and half feral. It's all-encompassing, like life, but it isn't the real thing. It's only temporary, and if you look, you can see beyond it even while you're still in it.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"if you can imagine someone surpassing you, you should do it yourself.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"Paying attention is more important to reliability than moving slowly. Because he pays close attention, a Navy pilot can land a 40,000 lb. aircraft at 140 miles per hour on a pitching carrier deck, at night, more safely than the average teenager can cut a bagel.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"['advice', 'humor']"
"If you can keep hope and worry balanced, they will drive a project forward the same way your two legs drive a bicycle forward.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,['inspirational']
"A startup is like a mosquito. A bear can absorb a hit and a crab is armored against one, but a mosquito is designed for one thing : to score. No energy is wasted on defense. The defense of mosquitos, as a species, is that there are a lot of them, but this is little consolation to the individual mosquito.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"If Apple were to grow the iPod into a cell phone with a web browser, Microsoft would be in big trouble.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"['inspirational', 'prediction']"
"In business, there is nothing more valuable than a technical advantage your competitors don’t understand. In business, as in war, surprise is worth as much as force.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"People who do good work often think that whatever they’re working on is no good. Others see what they’ve done and think it’s wonderful, but the creator sees nothing but flaws. This pattern is no coincidence: worry made the work good.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"The same recipe that makes individuals rich makes countries powerful. Let the nerds keep their lunch money, and you rule the world.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"Likewise, in any social hierarchy, people unsure of their own position will try to emphasize it by maltreating those they think rank below. I’ve read that this is why poor whites in the United States are the group most hostile to blacks.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
Introducing change is like pulling off a bandage : the pain is a memory as soon as you feel it.,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"The difference between design and research seems to be a question of new versus good. Design doesn't have to be new, but it has to be good. Research doesn't have to be good, but it has to be new. I think these two paths converge at the top: the best design surpasses its predecessors by using new ideas, and the best research solves problems that are not only new, but worth solving. So ultimately design and research are aiming for the same destination, just approaching it from different directions.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,['humor']
"We need a language that lets us scribble and smudge and smear, not a language where you have to sit with a teacup of types balanced on your knee and make polite conversation with a strict old aunt of a compiler.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"You need rich people in your society not so much because in spending their money they create jobs, but because of what they have to do to get rich. I'm not talking about the trickle-down effect here. I'm not saying that if you let Henry Ford get rich, he'll hire you as a waiter at his next party. I'm saying that he'll make you a tractor to replace your horse.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"As for building something users love, here are some general tips. Start by making something clean and simple that you would want to use yourself. Get a version 1.0 out fast, then continue to improve the software, listening closely to users as you do. The customer is always right, but different customers are right about different things; the least sophisticated users show you what you need to simplify and clarify, and the most sophisticated tell you what features you need to add.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"Here, as so often, the best defense is a good offense. If you can develop technology that’s simply too hard for competitors to duplicate, you don’t need to rely on other defenses. Start by picking a hard problem, and then at every decision point, take the harder choice.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"Before you develop a conscience, torture is amusing.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"So if you can figure out a way to get in a design war with a company big enough that its software is designed by product managers, they’ll never be able to keep up with you. These opportunities are not easy to find, though. It’s hard to engage a big company in a design war, just as it’s hard to engage an opponent inside a castle in hand-to-hand combat.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"If Lenin walked around the offices of a company like Yahoo or Intel or Cisco, he’d think communism had won. Everyone would be wearing the same clothes, have the same kind of office (or rather, cubicle) with the same furnishings, and address one another by their first names instead of by honorifics. Everything would seem exactly as he’d predicted, until he looked at their bank accounts. Oops.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"['humor', 'nonfiction']"
"This is why so many of the best programmers are libertarians. In our world, you sink or swim, and there are no excuses. When those far removed from the creation of wealth — undergraduates, reporters, politicians — hear that the richest 5% of the people have half the total wealth, they tend to think injustice! An experienced programmer would be more likely to think is that all? The top 5% of programmers probably write 99% of the good software.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"Use difficulty as a guide not just in selecting the overall aim of your company, but also at decision points along the way. At Via web one of our rules of thumb was run upstairs. Suppose you are a little, nimble guy being chased by a big, fat, bully. You open a door and find yourself in a staircase. Do you go up or down? I say up. The bully can probably run downstairs as fast as you can. Going upstairs his bulk will be more of a disadvantage. Running upstairs is hard for you but even harder for him. What this meant in practice was that we deliberately sought hard problems. If there were two features we could add to our software, both equally valuable in proportion to their difficulty, we’d always take the harder one. Not just because it was more valuable, but because it was harder. We delighted in forcing bigger, slower competitors to follow us over difficult ground. Like guerillas, startups prefer the difficult terrain of the mountains, where the troops of the central government can’t follow. I can remember times when we were just exhausted after wrestling all day with some horrible technical problem. And I’d be delighted, because something that was hard for us would be impossible for our competitors.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"The easy, conversational tone of good writing comes only on the eighth rewrite.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
You have to be able to see things from the user’s point of view.,Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"When you’re forced to be simple, you’re forced to face the real problem. When you can’t deliver ornament, you have to deliver substance",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"In our world, you sink or swim, and there are no excuses.",Hackers & Painters: Big Ideas from the Computer Age,Paul graham,[]
"If you're in a job that feels safe, you are not going to get exceptional, because if there is no danger there is almost certainly no leverage.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
why Europe grew so powerful. Was it something about the geography of Europe? Was it that Europeans are somehow racially superior? Was it their religion? The answer (or at least the proximate cause) may be that the Europeans rode on the crest of a powerful new idea: allowing those who made a lot of money to keep it.,Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"A restaurant can afford to serve the occasional burnt dinner. But in technology, you cook one thing and that's what everyone eats. So any difference between what people want and what you deliver is multiplied. You please or annoy customers wholesale. The closer you can get to what they want, the more wealth you generate.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"A great programmer, on a roll, could create a million dollars worth of wealth in a couple weeks. A mediocre programmer over the same period will generate zero or even neg- ative wealth (e.g. by introducing bugs).",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"learn to program by looking at good programs — not just at what they do, but at the source code.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"GOOD DESIGN IS SIMPLE. You hear this from math to painting. In math it means that a shorter proof tends to be a better one. Where axioms are concerned, especially, less is more. It means much the same thing in programming. For architects and designers, it means that beauty should depend on a few carefully chosen structural elements rather than a profusion of superficial ornament.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
"If a writer rewrites an essay, people who read the new version are unlikely to complain that their thoughts have been broken by some newly introduced incompatibility.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,['humor']
"Intellectual curiosity was not one of the motives on the FBI’s list. Indeed, the whole concept seemed foreign to them.",Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,[]
"no art, however minor, demands less than total dedication if you want to excel in it.",Hackers and Painters: Big Ideas from the Computer Age,Paul Graham,[]
