quoteText,bookTitle,bookAuthor,tags
"History has shown that we shouldn’t rely on governments to protect us financially. On the contrary, we should expect most governments to abuse their privileged positions as the creators and users of money and credit for the same reasons that you might commit those abuses if you were in their shoes.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"Having a reserve currency is great while it lasts because it gives a country exceptional borrowing and spending power and significant power over who else in the world gets the money and credit needed to buy and sell internationally. However, having a reserve currency typically sows the seeds of a country ceasing to be a reserve currency country. That is because it allows the country to borrow more than it could otherwise afford to borrow, and the creation of lots of money and credit to service the debt debases the value of the currency and causes the loss of its status as a reserve currency. The loss of its reserve currency status is a terrible thing because having a reserve currency is one of the greatest powers a country can have because it gives the country enormous buying power and geopolitical power.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
History has shown that we shouldn’t rely on governments to protect us financially.,The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"no system of government, no economic system, no currency, and no empire lasts forever, yet almost everyone is surprised and ruined when they fail.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
debt eats equity but central banks can feed debt by printing money instead.,The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"when people are willing to die for their country, their country will be more likely to be protected than if the individual self is more important, in which case individuals will run from deadly combat.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
strong education and competitiveness.,The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"By the end of the 1970s real GDP growth was around 2 percent, inflation was around 14 percent, short-term interest rates were around 13 percent, and unemployment was around 6 percent. Over the decade, gold surged and commodities kept up with rising inflation, returning around 30 percent and 15 percent on an annualized basis, respectively. But the high rate of inflation wiped out the modest 5 percent annual nominal return for stocks and 4 percent return for treasuries matched to equity volatility.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"I learned that the value of assets is the reciprocal of the value of money and credit (i.e., the cheaper money and credit are, the more expensive asset prices are) and the value of money is the reciprocal of the quantity of it in existence, so when central banks are producing a lot of money and credit and making it cheaper, it is wise to be more aggressive in owning assets.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"When one is in Stage 5 (like the US is now), the biggest question is how much the system will bend before it breaks.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"However, the “one person, one vote” democratic process has the drawback of having leaders selected via popularity contests by people who are largely not doing the sort of thoughtful review of capabilities that most organizations would do when trying to find the right person for an important job. Democracy has also been shown to break down in times of great conflict.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"throughout my life, the dollar has been the world's reserve currency, monetary policy has been an effective tool for stimulating economies, and democracy and capitalism have been widely regarded as the superior political and economic system. Anyone who studies history can see that no system of government, no economic system, no currency, and no empire lasts forever, yet almost everyone in surprised and ruined when they fail.",Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"As a result, the Chinese are more humble, respectful, and rules-bound, while Americans are more arrogant, egalitarian, and rules-averse. I’ve observed that while the Chinese are more interested in asking questions and learning, Americans are more interested in telling you what they think.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"Because spending on the military takes government money away from spending on social programs, and because military technologies go hand in hand with private sector technologies, the biggest military risk for the leading powers is that they lose the economic and technology wars.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
It remains a matter of conjecture whether that is because Yongle’s military and naval expeditions were expensive or because the emperors believed that they had all they needed within China so there was no need for this exploration.,The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"How this evolution with big cycles around it happens also continues to evolve. For example, while ages ago agricultural land and agricultural production were worth the most and that evolved into machines and what they produced being worth the most, digital things that have no apparent physical existence (data and information processing) are now evolving to become worth the most.5 This is creating a fight over who obtains the data and how they use it to gain wealth and power.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
"Only two US banks made the list of the top 20 largest global banks in 1913, at numbers 13 and 17. In comparison, British banks occupied nine slots, including three of the top five. For perspective, at this point the US was far larger than the UK in economic output, and they were neck and neck in export market share.",The Changing World Order: Why Nations Succeed and Fail,Ray Dalio,[]
