quoteText,bookTitle,bookAuthor,tags
"If you’re not failing, you’re not pushing your limits, and if you’re not pushing your limits, you’re not maximizing your potential",Principles: Life and Work,Ray Dalio,[]
"I learned that if you work hard and creatively, you can have just about anything you want, but not everything you want. Maturity is the ability to reject good alternatives in order to pursue even better ones.",Principles: Life and Work,Ray Dalio,[]
"Look for people who have lots of great questions. Smart people are the ones who ask the most thoughtful questions, as opposed to thinking they have all the answers. Great questions are a much better indicator of future success than great answers.",Principles: Life and Work,Ray Dalio,[]
It is far more common for people to allow ego to stand in the way of learning.,Principles: Summary,Ray Dalio,[]
"Having the basics—a good bed to sleep in, good relationships, good food, and good sex—is most important, and those things don’t get much better when you have a lot of money or much worse when you have less. And the people one meets at the top aren’t necessarily more special than those one meets at the bottom or in between.",Principles: Life and Work,Ray Dalio,[]
the happiest people discover their own nature and match their life to it.,Principles: Life and Work,Ray Dalio,[]
I just want to be right—I don’t care if the right answer comes from me.,Principles: Life and Work,Ray Dalio,[]
"Every time you confront something painful, you are at a potentially important juncture in your life—you have the opportunity to choose healthy and painful truth or unhealthy but comfortable delusion.",Principles: Life and Work,Ray Dalio,[]
Listening to uninformed people is worse than having no answers at all.,Principles: Life and Work,Ray Dalio,[]
Pain + Reflection = Progress,Principles: Summary,Ray Dalio,[]
"If you can’t successfully do something, don’t think you can tell others how it should be done",Principles: Life and Work,Ray Dalio,[]
"I saw that to do exceptionally well you have to push your limits and that, if you push your limits, you will crash and it will hurt a lot. You will think you have failed—but that won’t be true unless you give up.",Principles: Life and Work,Ray Dalio,[]
"Imagine that in order to have a great life you have to cross a dangerous jungle. You can stay safe where you are and have an ordinary life, or you can risk crossing the jungle to have a terrific life. How would you approach that choice? Take a moment to think about it because it is the sort of choice that, in one form or another, we all have to make.",Principles: Life and Work,Ray Dalio,[]
"Because our educational system is hung up on precision, the art of being good at approximations is insufficiently valued. This impedes conceptual thinking.",Principles: Life and Work,Ray Dalio,[]
The greatest gift you can give someone is the power to be successful. Giving people the opportunity to struggle rather than giving them the things they are struggling for will make them stronger.,Principles: Life and Work,Ray Dalio,[]
It’s more important to do big things well than to do the small things perfectly.,Principles: Life and Work,Ray Dalio,[]
"Unattainable goals appeal to heroes,",Principles: Life and Work,Ray Dalio,[]
"first principle: • Think for yourself to decide 1) what you want, 2) what is true, and 3) what you should do to achieve #1 in light of #2 . . . . . . and do that with humility and open-mindedness so that you consider the best thinking available to you.",Principles: Life and Work,Ray Dalio,[]
