quoteText,bookTitle,bookAuthor,tags
"it made our workforce smarter. When you give low-level employees access to information that is generally reserved for high-level executives, they get more done on their own. They work faster without stopping to ask for information and approval. They make better decisions without needing input from the top.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"Lead with context, not control,” and coaching your employees using such guidelines as, “Don’t seek to please your boss.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"even when other team members were exceptionally talented and intelligent, one individual’s bad behavior brought down the effectiveness of the entire team. In dozens of trials, conducted over month-long periods, groups with one underperformer did worse than other teams by a whopping 30 to 40 percent.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"If you have a team of five stunning employees and two adequate ones, the adequate ones will sap managers’ energy, so they have less time for the top performers, reduce the quality of group discussions, lowering the team’s overall IQ, force others to develop ways to work around them, reducing efficiency, drive staff who seek excellence to quit, and show the team you accept mediocrity, thus multiplying the problem.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"The Fearless Organization, she explains that if you want to encourage innovation, you should develop an environment where people feel safe to dream, speak up, and take risks. The safer the atmosphere, the more innovation you will have.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"If you give employees more freedom instead of developing processes to prevent them from exercising their own judgment, they will make better decisions and it’s easier to hold them accountable.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"In a fast and innovative company, ownership of critical, big-ticket decisions should be dispersed across the workforce at all different levels, not allocated according to hierarchical status.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
Netflix treats employees like adults who can handle difficult information and I love that. This creates enormous feelings of commitment and buy-in from employees.,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
TALENT DENSITY: TALENTED PEOPLE MAKE ONE ANOTHER MORE EFFECTIVE,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"My goal was to make employees feel like owners and, in turn, to increase the amount of responsibility they took for the company’s success. However, opening company secrets to employees had another outcome: it made our workforce smarter.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"Farm for dissent,” or “socialize” the idea. For a big idea, test it out. As the informed captain, make your bet. If it succeeds, celebrate. If it fails, sunshine it.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"that—no matter where you come from—when it comes to working across cultural differences, talk, talk, talk.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"symphony isn’t what you’re going for. Leave the conductor and the sheet music behind. Build a jazz band instead. Jazz emphasizes individual spontaneity. The musicians know the overall structure of the song but have the freedom to improvise, riffing off one another other, creating incredible music. Of course, you can’t just remove the rules and processes, tell your team to be a jazz band, and expect it to be so. Without the right conditions, chaos will ensue. But now, after reading this book, you have a map. Once you begin to hear the music, keep focused. Culture isn’t something you can build up and then ignore. At Netflix, we are constantly debating our culture and expecting it will continually evolve. To build a team that is innovative, fast, and flexible, keep things a little bit loose. Welcome constant change. Operate a little closer toward the edge of chaos. Don’t provide a musical score and build a symphonic orchestra. Work on creating those jazz conditions and hire the type of employees who long to be part of an improvisational band. When it all comes together, the music is beautiful.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"above all you have to be humble, you have to be curious, and you have to remember to listen before you speak and to learn before you teach. With this approach, you can’t help but become more effective every day in this ever-fascinating multicultural world.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"was not obvious at the time, even to me, but we had one thing that Blockbuster did not: a culture that valued people over process, emphasized innovation over efficiency, and had very few controls. Our culture, which focused on achieving top performance with talent density and leading employees with context not control, has allowed us to continually grow and change as the world, and our members’ needs, have likewise morphed around us.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"A fast and innovative workplace is made up of what we call “stunning colleagues”—highly talented people, of diverse backgrounds and perspectives, who are exceptionally creative, accomplish significant amounts of important work, and collaborate effectively.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"She found a way to calculate how much money his moodiness was costing the business. She spoke to him in his own financial language, adding a shot of her infectious humor to the communication, and Barry was moved. He went back to his team, told them about the feedback he’d received, and asked them to call him out when his mood was influencing their actions. The results were remarkable. In the subsequent weeks and months, many on the finance team spoke to me and Patty about the positive change in Barry’s leadership.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
I recommend instead focusing first on something much more difficult: getting employees to give candid feedback to the boss. This can be accompanied by boss-to-employee feedback. But it’s when employees begin providing truthful feedback to their leaders that the big benefits of candor really take off.,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
The success of Netflix is founded on these types of unlikely stories: small teams consisting exclusively of significantly above-average performers—what Reed refers to as dream teams—working on big hairy problems.,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"candor, differences of opinion were not always welcome. That’s when we added a new element to our culture. We now say that it is disloyal to Netflix when you disagree with an idea and do not express that disagreement. By withholding your opinion, you are implicitly choosing to not help the company.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"Dispersed decision-making can only work with high talent density and unusual amounts of organizational transparency. Without these elements, the entire premise backfires.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
We learned that a company with really dense talent is a company everyone wants to work for. High performers especially thrive in environments where the overall talent density is high.,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"stunning colleagues”—highly talented people, of diverse backgrounds and perspectives, who are exceptionally creative, accomplish significant amounts of important work, and collaborate effectively.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"The downside to a high-performance culture is the fear employees may feel that their jobs are on the line. To reduce fear, encourage employees to use the Keeper Test Prompt with their managers: “How hard would you work to change my mind if I were thinking of leaving?",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"If a manager came to me and said, “Reed, I want to give Sherry a promotion because she works like crazy,” I would be frustrated. What do I care? I want that manager to say, “Let’s give Sherry a promotion because she’s making a huge impact,” not because she’s chained to her desk. What if Sherry’s accomplishing amazing things working a twenty-five-hour week from a hammock in Hawaii? Well, let’s give her a big raise! She’s extremely valuable.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"I’ve also found having a lean workforce has side advantages. Managing people well is hard and takes a lot of effort. Managing mediocre-performing employees is harder and more time consuming. By keeping our organization small and our teams lean, each manager has fewer people to manage and can therefore do a better job at it. When",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"Most interesting of all, unlike the vast majority of firms that fail when the industry shifts,",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
Rochelle’s feedback was frank but thoughtful and genuinely intended to help Reed improve. But the big risk in fostering a climate of candor is all the ways people may both purposely and accidentally misuse it.,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
"If you are promoting a culture of candor on your team, you have to get rid of the jerks. Many may think, “This guy is so brilliant, we can’t afford to lose him.” But it doesn’t matter how brilliant your jerk is, if you keep him on the team you can’t benefit from candor. The cost of jerkiness to effective teamwork is too high. Jerks are likely to rip your organization apart from the inside. And their favorite way to do that is often by stabbing their colleagues in the front and then offering, “I was just being candid.",No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,[]
