quoteText,bookTitle,bookAuthor,tags
"There’s a common misconception that Silicon Valley is the accelerator of the world. The real story is that the world keeps getting faster—Silicon Valley is just the first place to figure out how to keep pace. While Silicon Valley certainly has many key networks and resources that make it easier to apply the techniques we’re going to lay out for you, blitzscaling is made up of basic principles that do not depend on geography. We’re going to show you examples from overlooked parts of the United States, such as Detroit (Rocket Mortgage) and Connecticut (Priceline), as well as from international companies, such as WeChat and Spotify. In the process you’ll see how the lessons of blitzscaling can be adapted to help build great companies in nearly any ecosystem, albeit with differing degrees of difficulty. That’s the mission of this book. We want to share the secret weapon that has allowed Silicon Valley to punch so much (more than a hundred times) above its population index so that those lessons can be applied far beyond the sixty-mile stretch between the Golden Gate Bridge and San Jose. It is sorely needed.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"In fact, the same basic ingredients can easily be found in numerous start-up clusters in the United States and around the world: Austin, Boston, New York, Seattle, Shanghai, Bangalore, Istanbul, Stockholm, Tel Aviv, and Dubai. To discover the secret to Silicon Valley’s success, you need to look beyond the standard origin story. When people think of Silicon Valley, the first things that spring to mind—after the HBO television show, of course—are the names of famous start-ups and their equally glamorized founders: Apple, Google, Facebook; Jobs/ Wozniak, Page/ Brin, Zuckerberg. The success narrative of these hallowed names has become so universally familiar that people from countries around the world can tell it just as well as Sand Hill Road venture capitalists. It goes something like this: A brilliant entrepreneur discovers an incredible opportunity. After dropping out of college, he or she gathers a small team who are happy to work for equity, sets up shop in a humble garage, plays foosball, raises money from sage venture capitalists, and proceeds to change the world—after which, of course, the founders and early employees live happily ever after, using the wealth they’ve amassed to fund both a new generation of entrepreneurs and a set of eponymous buildings for Stanford University’s Computer Science Department. It’s an exciting and inspiring story. We get the appeal. There’s only one problem. It’s incomplete and deceptive in several important ways. First, while “Silicon Valley” and “start-ups” are used almost synonymously these days, only a tiny fraction of the world’s start-ups actually originate in Silicon Valley, and this fraction has been getting smaller as start-up knowledge spreads around the globe. Thanks to the Internet, entrepreneurs everywhere have access to the same information. Moreover, as other markets have matured, smart founders from around the globe are electing to build companies in start-up hubs in their home countries rather than immigrating to Silicon Valley.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"We tried a number of single-threaded efforts to meet the challenge. We rolled out features one after another, such as a recommendation engine for people that our users should meet and a professional Q&A service. None of them worked well enough to solve the problem. We concluded that the problem might require a Swiss Army knife approach with multiple use cases for multiple groups of users. After all, some people might want a news feed, some might want to track their career progress, and some might be keen on continuing education. Fortunately, LinkedIn had grown to the point where the organization could support multiple threads. We reorganized the product team so that each director of product could focus on a different approach to address engagement. Even though none of those efforts alone proved a silver bullet, the overall combination of them significantly improved user engagement.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
blitzscaling is prioritizing speed over efficiency in the face of uncertainty.,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
People should be part of building the future rather than feeling like the future is being,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"operational scalability is one of the primary growth limiters that scale-ups need to address. When a business can grow users, customers, and revenues faster than the number of employees without collapsing under the weight of its own growth, the business can achieve greater profitability and keep growing without being as tightly constrained by the need for financial or human capital.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"you usually need more money to blitzscale than to fastscale, because you have to keep enough capital in reserve to recover from the many mistakes you’re likely to make along the way.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"If you’re willing to accept the risks of blitzscaling when others aren’t, you’ll be able to move faster than they will. If the prize to be won is big enough, and the competition to win it is intense enough, blitzscaling becomes a rational, even optimal strategy.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
Blitzscaling requires you to move at a pace that is almost certainly uncomfortable for your team. You will definitely make many mistakes as you navigate an environment full of uncertainty; the art lies in developing the skill to learn quickly from those mistakes and return to a relentlessly rapid advance.,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"For example, in 2015, Payal Kadakia, the founder of ClassPass (a monthly subscription service for fitness classes) decided that she needed to double the size of her staff in just three months so that ClassPass would be able expand into more cities. To achieve this kind of speed, Kadakia and her team abandoned traditional hiring processes and followed two simple rules. First, they hired people from their personal networks, with an emphasis on “branded” talent. For example, if an employee had a friend, and that friend worked for the management consulting firm Bain & Company, that friend got hired because ClassPass could assume that the person was smart and would get along with people. Second, some of the time saved by not interviewing for skills allowed the team to interview for alignment with the company’s mission. Crazy? Perhaps. But ClassPass was in a crowded, emerging market, and being able to hire faster than the competition helped it maintain and increase its leadership position. Blitzscaling also requires a strong focus on risk management. While blitzscaling requires risk taking, it doesn’t require unnecessary risk taking. Indeed, the higher level of risk associated with blitzscaling makes risk management even more valuable and important. As Yahoo! cofounder Jerry Yang told us in an interview for Reid’s Masters of Scale podcast, “All bold strategies have a risk. If you don’t see it, you’re flying risk-blind.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
your chief of staff should amplify your business impact: he or she should be a businessperson who can not only make certain decisions for you but also triage the important decisions that you have to make yourself.,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"There are no job descriptions for founders. If the role doesn’t change, there’s something wrong.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"I believe that there is a Maslovian hierarchy of fires that applies to most rapidly growing start-ups, where the top of the list is the most important fire to fight first: Distribution Product Revenue model Operations Competition What’s next? What this means is that for most consumer Internet start-ups, the most important fire is distribution; if your distribution goes up in flames, your company is doomed. If you are able to contain that fire, however, it will make fighting the other fires a whole lot easier. Acquiring users gives you feedback on how to improve your product. Acquiring millions of users or thousands of customers makes it a lot easier to generate revenue. Generating revenue makes it easier to pay for the infrastructure and personnel to scale up your operations, either out of cash flow or by raising investment. And if you have a successful and growing business, then it makes sense to worry about the competition.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"Technology innovation is a key factor in retaining the gains produced by business model innovation. After all, if one technology innovation can create a new market, another technology innovation can render it obsolete, seemingly overnight. While Uber has achieved massive scale, the greatest threat to its future doesn’t come in the form of direct competitors like Didi Chuxing, though these are formidable threats. The greatest threat to Uber’s business is the technology innovation of autonomous vehicles, which could make obsolete one of Uber’s biggest competitive advantages—its carefully cultivated network of drivers—essentially overnight.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"The key is to combine new technologies with effective distribution to potential customers, a scalable and high-margin revenue model, and an approach that allows you to serve those customers given your probable resource constraints.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"If I received a nickel for every time someone asked me, “How is LinkedIn going to make money?” during those days I probably wouldn’t have needed another revenue model! But I knew that we should ignore that fire, because (1) the lack of revenue wasn’t going to be the proximate cause of death unless it prevented us from raising money and (2) the product fire was far more urgent and required our focused attention. If we couldn’t find the distribution to acquire a critical mass of at least a million users, and build a product they found compelling enough to become regular users of the service (or at least respond to LinkedIn requests), the revenue model would be irrelevant.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
