quoteText,bookTitle,bookAuthor,tags
Society flourishes when people think entrepreneurally.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,['entrepreneur']
The person passionate about what he or she is doing will outwork and outlast the guy motivated solely by making money.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
for many people “twenty years of experience” is really one year of experience repeated twenty times.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"For life in permanent beta, the trick is to never stop starting.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"All humans are entrepreneurs not because they should start companies but because the will to create is encoded in human DNA, and creation is the essence of entrepreneurship.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
Start a personal blog and begin developing a public reputation and public portfolio of work that’s not tied to your employer.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"If you’re in permanent beta in your career, twenty years of experience actually is twenty years of experience because each year will be marked by new, enriching challenges and opportunities. Permanent beta is essentially a lifelong commitment to continuous personal growth. Get busy livin’, or get busy dyin’. If","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
you need to think and act like you’re running a start-up: your career.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"When the Naysayers Are Loud, Turn Up the Music","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"The founders of start-ups as varied as YouTube, Palantir Technologies, and Yelp all worked at PayPal. Another set of people—including Reid Hoffman, Thiel, and Botha—emerged as some of the technology industry’s top investors. PayPal staff pioneered techniques in fighting online fraud that have formed the basis of software used by the CIA and FBI to track terrorists and of software used by the world’s largest banks to combat crime. This collection of super-bright employees has become known as the PayPal Mafia—more or less the current ruling class of Silicon Valley—and Musk is its most famous and successful member.",Elon Musk: Inventing the Future,Ashlee Vance,[]
"Throwing your heart into something is great, but when any one thing becomes all that you stand for, you're vulnerable to an identity crisis when you pivot to a Plan B.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,"['2012', 'adaptation', 'career-planning', 'eggs-in-one-basket', 'identity', 'identity-crisis', 'personal-branding', 'plan-b']"
"Take intelligent and bold risks to accomplish something great. Build a network of alliances to help you with intelligence, resources, and collective action. Pivot to a breakout opportunity.","The Start-up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
Which plan offers the most learning potential?,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Get busy livin’, or get busy dyin’. If you’re not growing, you’re contracting. If you’re not moving forward, you’re moving backward.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
A team in the business world will tend to perform at the level of the worst individual team member,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Until you hear “No,” you haven’t been turned down.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
Keeping your options open” is frequently more of a risk than committing to a plan of action.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Remember: If you don’t find risk, risk will find you.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"In fact, the same basic ingredients can easily be found in numerous start-up clusters in the United States and around the world: Austin, Boston, New York, Seattle, Shanghai, Bangalore, Istanbul, Stockholm, Tel Aviv, and Dubai. To discover the secret to Silicon Valley’s success, you need to look beyond the standard origin story. When people think of Silicon Valley, the first things that spring to mind—after the HBO television show, of course—are the names of famous start-ups and their equally glamorized founders: Apple, Google, Facebook; Jobs/ Wozniak, Page/ Brin, Zuckerberg. The success narrative of these hallowed names has become so universally familiar that people from countries around the world can tell it just as well as Sand Hill Road venture capitalists. It goes something like this: A brilliant entrepreneur discovers an incredible opportunity. After dropping out of college, he or she gathers a small team who are happy to work for equity, sets up shop in a humble garage, plays foosball, raises money from sage venture capitalists, and proceeds to change the world—after which, of course, the founders and early employees live happily ever after, using the wealth they’ve amassed to fund both a new generation of entrepreneurs and a set of eponymous buildings for Stanford University’s Computer Science Department. It’s an exciting and inspiring story. We get the appeal. There’s only one problem. It’s incomplete and deceptive in several important ways. First, while “Silicon Valley” and “start-ups” are used almost synonymously these days, only a tiny fraction of the world’s start-ups actually originate in Silicon Valley, and this fraction has been getting smaller as start-up knowledge spreads around the globe. Thanks to the Internet, entrepreneurs everywhere have access to the same information. Moreover, as other markets have matured, smart founders from around the globe are electing to build companies in start-up hubs in their home countries rather than immigrating to Silicon Valley.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"What happened? Many things. But the overriding problem was this: The auto industry got too comfortable. As Intel cofounder Andy Grove once famously proclaimed, “Only the paranoid survive.” Success, he meant, is fragile—and perfection, fleeting. The moment you begin to take success for granted is the moment a competitor lunges for your jugular. Auto industry executives, to say the least, were not paranoid. Instead of listening to a customer base that wanted smaller, more fuel-efficient cars, the auto executives built bigger and bigger. Instead of taking seriously new competition from Japan, they staunchly insisted (both to themselves and to their customers) that MADE IN THE USA automatically meant “best in the world.” Instead of trying to learn from their competitors’ new methods of “lean manufacturing,” they clung stubbornly to their decades-old practices. Instead of rewarding the best people in the organization and firing the worst, they promoted on the basis of longevity and nepotism. Instead of moving quickly to keep up with the changing market, executives willingly embraced “death by committee.” Ross Perot once quipped that if a man saw a snake on the factory floor at GM, they’d form a committee to analyze whether they should kill it. Easy success had transformed the American auto","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Relationship builders, on the other hand, try to help other people first. They don’t keep score. They’re aware that many good deeds get reciprocated, but they’re not calculated about it. And they think about their relationships all the time, not just when they need something.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"In a sentence, as you meet your friends and new people, shift from asking yourself the very natural question of “What’s in it for me?” and ask instead, “What’s in it for us?” All follows from that.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"If you are not receiving or making at least one introduction a month, you are probably not fully engaging your extended professional network.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"People change. You change. Some relationships just aren’t meant to last beyond a certain point. It’s okay to simply let those friendships fade. This is a natural evolution of some relationships. Unlike romantic relationships, with friendships there’s rarely a reason to have a full-on breakup. Even if people go in different directions and the friendship slowly peters out, trust can endure. And unlike most exes, it is possible to rekindle/reactivate friendships later on when your lives are more aligned.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"If you want to find out how resourceful you can be, shrink your budget. Move your deadlines up. See how you cope. This may make you more resilient to actual hardships that inevitably arise.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
A lot of smart people are prone to over-analysis and tend to become paralyzed by indecision,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"In this sense, the world of tomorrow will be more like the Silicon Valley of today: constant change and chaos.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"you are not embarrassed by the first version of your product, you’ve launched too late.” Reid Hoffman",The 7 Day Startup: You Don't Learn Until You Launch,Dan Norris,[]
"Your competitive advantage is formed by the interplay of three different, ever-changing forces: your assets, your aspirations/values, and the market realities, i.e., the supply and demand for what you offer the marketplace relative to the competition. The","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
Often it’s when you come in contact with challenges other people find hard but you find easy that you know you’re in possession of a valuable soft asset.3,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Finished ought to be an F-word for all of us. We are all works in progress. Each day presents an opportunity to learn more, do more, be more, grow more in our lives and careers.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
involve yourself in organizations that try to systemically improve society at a massive scale.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Establish an identity independent of your employer, city, and industry.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
Permanent beta is about the power of yet.,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Get out of the weeds. Go where there’s fast growth, because fast growth creates all opportunities.”[2] It was outstanding advice: Work in a market with natural momentum, as we discussed in the preceding chapter. Ride the big waves. Some industries are growth loops in and of themselves, and that’s where you want to be.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"The Rise of Portfolio Careers Around the world, we see increasing fragmentation of a single individual’s career into several different jobs, and their earnings coming from multiple sources. The popular name for this phenomenon is “the gig economy”:","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"To change the world, startup entrepreneurs need to capitalize on the relatively small number of transformative opportunities they encounter early on in their journeys. This is equally true when it comes to your career.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Another hint was that he hadn’t yet played the lead role on a major network drama. It would be a high-visibility challenge. Some people might have felt overwhelmed by this kind of an opportunity, or maybe even a bit like an impostor. But sometimes that feeling means that there’s significant upside in the opportunity. A career move that makes you feel like you’re in over your head stretches you in new dimensions.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Reid Hoffman, the co-founder of LinkedIn, said about startups, “You jump off a cliff and you assemble an airplane on the way down”.",Before You Start Up: How to Prepare to Make Your Startup Dream a Reality,Pankaj Goyal,[]
"The ideal, of course, is to hire an executive with past experience at a blitzscaling start-up that has already dealt with the challenges your company currently faces. This is why investors have more confidence in serial entrepreneurs. One of the major advantages that companies in Silicon Valley enjoy is generations of rapidly scaling companies that have produced a rich supply of executives with blitzscaling experience. Yet even if you can’t land an ideal candidate, second best is to hire a manager who has previously worked with successful executives in a very rapidly growing company, or an executive who earned her executive experience at a larger or more traditional business but who also worked at a blitzscaling start-up at another time in her career.",Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,[]
"Entrepreneurs succeed when they say ‘yes’ to the right project, at the right time, in the right way. To accomplish this, they have to be good at saying ‘no’ to all their other ideas. Essentialism offers concise and eloquent advice on how to determine what you care about most, and how to apply your energies in ways that ultimately bring you the greatest rewards.” —Reid Hoffman, co-founder/chairman of Linkedin and co-author of the #1 New York Times bestseller The Start-up of You",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"Easy success had transformed the American auto companies into risk-averse, nonmeritocratic, bloated bureaucracies.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"Winning careers, like winning start-ups, are in permanent beta: always a work in progress.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"So play with your assets, aspirations, and the market realities until you see compounding potential in one of the combinations. Sure, being faster, better, or cheaper for a given job will make you more competitive. But if you find a growth loop for the intersection of what you do well, what you value, and what the market wants, then you’ve got something even better.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"If you are not embarrassed by the first version of your product, you’ve launched too late. —Reid Hoffman, March 2011",Lost and Founder: A Painfully Honest Field Guide to the Startup World,Rand Fishkin,[]
"If you spend thirty minutes researching a person in your extended network (LinkedIn is a great place to start), and tailor your request for an introduction to something you’ve learned, your request will stand out.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"A good career plan accounts for the interplay of the three gears—your assets, your aspirations, and the market realities.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
"As you think about which industries to work in, which skills to obtain, and which books to read, study the types of tech startups that were recently funded by venture capitalists at the Series A and Series B stages because these tend to be on the cutting edge of emerging trends.","The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,[]
