quoteText,bookTitle,bookAuthor,tags
people don’t care how much you know until they know how much you care.79,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"There's a critical insight in all this for those of us who want to learn to be more influential. The best persuaders become the best through pre-suasion - the process of arranging for recipients to be receptive to a message before they encounter it. To persuade optimally, then, it's necessary to pre-suade optimally. But how?",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,['persuasion']
Nothing in life is as important as you think it is while you are thinking about it.”18,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"what is more accessible in mind becomes more probable in action,",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
you’re much more persistent when you’re confident in your abilities.,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
a communicator who references a weakness early on is immediately seen as more honest,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Just as amino acids can be called the building blocks of life, associations can be called the building blocks of thought.49 In",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
What we present first changes the way people experience what we present to them next.,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"He who wants to persuade should put his trust not in the right argument, but in the right word. —",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"So by my lights, the number one rule for salespeople is to show customers that you genuinely like them. There’s a wise adage that fits this logic well: people don’t care how much you know until they know how much you care.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"A job candidate might say, “I am not experienced in this field, but I am a very fast learner.” An information systems salesperson might state, “Our set-up costs are not the lowest; however, you’ll recoup them quickly due to our superior efficiencies.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"in deciding whether a possibility is correct, people typically look for hits rather than misses; for confirmations of the idea rather than for disconfirmations.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"the main purpose of speech is to direct listeners’ attention to a selected sector of reality. Once that is accomplished, the listeners’ existing associations to the now-spotlighted sector will take over to determine the reaction. For",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"If a gift, favor, or service incorporates all three features of meaningfulness, unexpectedness, and customization, it can become a formidable source of change.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"I can live for two months,” confessed Mark Twain, “on a good compliment.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"But the rule for reciprocation, which states that those who give first are entitled to receive in return,",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Lastly, these findings tell me that the answer to the question of whether, as a group, MDs are primarily patient-serving or self-serving is . . . yes. They are each, depending on their attentional focus at the time.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"tactic can be particularly successful when the audience is already aware of the weakness; thus, when a communicator mentions it, little additional damage is done, as no new information is added—except, crucially, that the communicator is an honest individual. Another enhancement occurs when the speaker uses a transitional word—such as however, or but, or yet—that channels the listeners’ attention away from the weakness and onto a countervailing strength.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"There’s an implication for influence: persuaders would be wise to match the System 1 versus 2 orientation of any appeal to the corresponding orientation of the recipient. Thus, if you are considering a car purchase primarily from the standpoint of its emotionally relevant features (attractive looks and exhilarating acceleration), a salesperson would be well advised to convince you by using feelings-related arguments.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"The first, a quote from Voltaire, is contemptuous: “Anything too stupid to be spoken,” he asserted, “is sung.” The second, an adage from the advertising profession, is tactical: “If you can’t make your case to an audience with facts, sing it to them.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"The press may not be successful most of the time in telling people what to think, but it is stunningly successful in telling them what to think about.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Consider the results of a study conducted at Northwestern University. Researchers gave online participants information about a pair of sofas we’ll call the Dream and the Titan. The two, manufactured by different furniture companies, were comparable in all respects except for their cushions. The Dream’s cushions were softer and more comfortable than the Titan’s but less durable. In",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"... the brain's operations arise fundamentally and inescapably from raw associations. Just as amino acids can be called the building blocks of life, associations can be called the building blocks of thought.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert Cialdini,[]
"But it comes down to this: in deciding whether a possibility is correct, people typically look for hits rather than misses;",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Do you consider yourself a helpful person?” Following brief reflection, nearly everyone answered yes. In that privileged moment—after subjects had confirmed privately and affirmed publicly their helpful natures—the researchers pounced, requesting help with their survey. Now 77.3 percent volunteered.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
You use your cuts to get people to swing attention to the parts of your message you really want them to focus on.,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
there’s a telling answer to the question of what Albert Einstein claimed was so remarkable it could be labeled as both “the most beautiful thing we can experience” and “the source of all true science and art.” His contention: the mysterious.,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Anything too stupid to be spoken,” he asserted, “is sung.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"The differential phrasing might seem minor, but it is critical to achieving the company’s unitization goal. Providing advice puts a person in a merging state of mind, which stimulates a linking of one’s own identity with another party’s.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Our ability to create change in others is often and importantly grounded in shared personal relationships, which create a pre-suasive context for assent. It’s a poor trade-off, then, for social influence when we allow present-day forces of separation—distancing societal changes, insulating modern technologies—to take a shared sense of human connection out of our exchanges. The relation gets removed, leaving just the ships, passing at sea.87 UNITY",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
the guiding factor in a decision is often not the one that counsels most wisely; it’s one that has recently been brought to mind.,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"extensive analysis requires more time, energy, and motivation. As a consequence, its impact on our decisions is limited by the rigor it requires. If we don’t have the wherewithal (time, capacity, will) to think hard about a choice, we’re unlikely to deliberate deeply.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
they described how they were able to draw website visitors’ attention to the goal of comfort merely by placing fluffy clouds on the background wallpaper of the site’s,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
Nothing in life is as important as you think it is while you are thinking about it.”2,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Those scientists in France Worried about raising the chance A guitar would prompt “Oui” To a stranger’s startling plea Need not have been so troubled, Phone numbers more than doubled.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"If we want them to buy a box of expensive chocolates, we can first arrange for them to write down a number that’s much larger than the price of the chocolates. If we want them to choose a bottle of French wine, we can expose them to French background music before they decide. If we want them to agree to try an untested product, we can first inquire whether they consider themselves adventurous. If we want to convince them to select a highly popular item, we can begin by showing them a scary movie. If we want them to feel warmly toward us, we can hand them a hot drink. If we want them to be more helpful to us, we can have them look at photos of individuals standing close together. If we want them to be more achievement oriented, we can provide them with an image of a runner winning a race. If we want them to make careful assessments, we can show them a picture of Auguste Rodin’s The Thinker.",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
"Sometimes the best strategy to win an argument is not to argue harder, but to eliminate or neutralize counterarguments instead.",Summary of ‘Pre-Suasion’ by Robert Cialdini.,Edify.me,[]
"In the realm of self-correction mechanisms, then, we can find another source of validation for a core tenet of pre-suasion: immediate, large-scale adjustments begin frequently with practices that do little more than redirect attention.69",Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,[]
