quoteText,bookTitle,bookAuthor,tags
A well-known principle of human behavior says that when we ask someone to do us a favor we will be more successful if we provide a reason. People simply like to have reasons for what they do.,Influence: The Psychology of Persuasion,Robert B. Cialdini,['kindlehighlight']
Often we don’t realize that our attitude toward something has been influenced by the number of times we have been exposed to it in the past.,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"There is a natural human tendency to dislike a person who brings us unpleasant information, even when that person did not cause the bad news. The simple association with it is enough to stimulate our dislike.",Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
persons who go through a great deal of trouble or pain to attain something tend to value it more highly than persons who attain the same thing with a minimum of effort.,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
The way to love anything is to realize that it might be lost.,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
people seem to be more motivated by the thought of losing something than by the thought of gaining something of equal value.,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
Freedoms once granted will not be relinquished without a fight.,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"Everything should be made as simple as possible, but not simpler. —ALBERT EINSTEIN",Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"Excuse me, I have five pages. May I use the Xerox machine because I have to make some copies? The result was that once again nearly all (93 percent) agreed, even though no real reason, no new information, was added to justify their compliance. Just as the “cheep-cheep” sound of turkey chicks triggered an automatic mothering response from maternal turkeys—even when it emanated from a stuffed polecat—so, too, did the word “because” trigger an automatic compliance response",Influence: The Psychology of Persuasion,Robert B. Cialdini,['kindlehighlight']
It is easier to resist at the beginning than at the end. —LEONARDO DA VINCI,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"The idea of potential loss plays a large role in human decision making. In fact, people seem to be more motivated by the thought of losing something than by the thought of gaining something of equal value.",Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"Since 95 percent of the people are imitators and only 5 percent initiators, people are persuaded more by the actions of others than by any proof we can offer.",Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
"All things being equal, you root for your own sex, your own culture, your own locality…and what you want to prove is that you are better than the other person. Whomever you root for represents you; and when he wins, you win.”88",Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
