quoteText,bookTitle,bookAuthor,tags
"Optimism. One of the most important qualities of a good leader is optimism, a pragmatic enthusiasm for what can be achieved. Even in the face of difficult choices and less than ideal outcomes, an optimistic leader does not yield to pessimism. Simply put, people are not motivated or energized by pessimists.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"Ask the questions you need to ask, admit without apology what you don’t understand, and do the work to learn what you need to learn as quickly as you can.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
True authority and true leadership come from knowing who you are and not pretending to be anything else.,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"If leaders don’t articulate their priorities clearly, then the people around them don’t know what their own priorities should be. Time and energy and capital get wasted.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
Don’t be in the business of playing it safe. Be in the business of creating possibilities for greatness.,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
The path to innovation begins with curiosity,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['business', 'change', 'curiosity', 'innovation', 'leadership', 'success']"
"Innovate or die, and there’s no innovation if you operate out of fear of the new or untested.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"Empathy is a prerequisite to the sound management of creativity, and respect is critical.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"At its essence, good leadership isn’t about being indispensable; it’s about helping others be prepared to possibly step into your shoes—giving them access to your own decision making, identifying the skills they need to develop and helping them improve, and, as I’ve had to do, sometimes being honest with them about why they’re not ready for the next step up.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"And I tend to approach bad news as a problem that can be worked through and solved, something I have control over rather than something happening to me.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"If you approach and engage people with respect and empathy, the seemingly impossible can become real.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"Don’t start negatively, and don’t start small. People will often focus on little details as a way of masking a lack of any clear, coherent, big thoughts. If you start petty, you seem petty.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"When hiring, try to surround yourself with people who are good in addition to being good at what they do. Genuine decency—an instinct for fairness and openness and mutual respect—is a rarer commodity in business than it should be, and you should look for it in the people you hire and nurture it in the people who work for you.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
PEOPLE SOMETIMES SHY AWAY from taking big swings because they assess the odds and build a case against trying something before they even take the first step. One of the things I’ve always instinctively felt—and something that was greatly reinforced working for people like Roone and Michael—is that long shots aren’t usually as long as they seem.,The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company,Robert Iger,[]
"Managing your own time and respecting others’ time is one of the most vital things to do as a manager,",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"shokunin, which is “the endless pursuit of perfection for some greater good.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"Tom and Dan were the perfect bosses in this regard. They would talk about valuing ability more than experience, and they believed in putting people in roles that required more of them than they knew they had in them. It wasn’t that experience wasn’t important, but they “bet on brains,” as they put it, and trusted that things would work out if they put talented people in positions where they could grow, even if they were in unfamiliar territory.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"Chronic indecision is not only inefficient and counterproductive, but it is deeply corrosive to morale.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['business', 'decisiveness', 'fear', 'leadership']"
"If something doesn't feel right to you, then it's probably not right for you",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['decision-making', 'life-lessons']"
"Maybe this is the case for many of us: No matter who we become or what we accomplish, we still feel that we’re essentially the kid we were at some simpler time long ago. Somehow that’s the trick of leadership, too, I think, to hold on to that awareness of yourself even as the world tells you how powerful and important you are. The moment you start to believe it all too much, the moment you look yourself in the mirror and see a title emblazoned on your forehead, you’ve lost your way. That may be the hardest but also the most necessary lesson to keep in mind, that wherever you are along the path, you’re the same person you’ve always been.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['inspirational-quotes', 'management-and-leadership']"
"You have to ask the questions you need to ask, admit without apology what you don’t understand, and do the work to learn what you need to learn as quickly as you can. There’s nothing less confidence-inspiring than a person faking a knowledge they don’t possess. True authority and true leadership come from knowing who you are and not pretending to be anything else.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"A few solid pros are more powerful than dozens of cons,” Steve said. “So what should we do next?” Another lesson: Steve was great at weighing all sides of an issue and not allowing negatives to drown out positives, particularly for things he wanted to accomplish. It was a powerful quality of his.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
You have to hear out other people’s problems and help find solutions. It’s all part of being a great manager.,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"I learned from them that genuine decency and professional competitiveness weren't mutually exclusive. In fact, true integrity, a sense of knowing who you are and being guided by your own clear sense of right and wrong is a kind of secret weapon. They trusted in their own instincts. They treated people with respect. And over time, the company came to represent the values they live by.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
Don't be in the business of playing it safe. Be in the business of creating possibilities of greatness,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['business', 'risk', 'risk-taking-quotes']"
"No one could have handled the stress that Michael was under perfectly, but optimism in a leader, especially in challenging times, is so vital. Pessimism leads to paranoia, which leads to defensiveness, which leads to risk aversion. Optimism sets a different machine in motion. Especially in difficult moments, the people you lead need to feel confident in your ability to focus on what matters, and not to operate from a place of defensiveness and self-preservation. This isn’t about saying things are good when they’re not, and it’s not about conveying some innate faith that “things will work out.” It’s about believing you and the people around you can steer toward the best outcome, and not communicating the feeling that all is lost if things don’t break your way. The tone you set as a leader has an enormous effect on the people around you. No one wants to follow a pessimist. —",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"optimism in a leader, especially in challenging times, is so vital. Pessimism leads to paranoia, which leads to defensiveness, which leads to risk aversion. Optimism sets a different machine in motion. Especially in difficult moments, the people you lead need to feel confident in your ability to focus on what matters, and not to operate from a place of defensiveness and self-preservation. This isn’t about saying things are good when they’re not, and it’s not about conveying some innate faith that “things will work out.” It’s about believing you and the people around you can steer toward the best outcome, and not communicating the feeling that all is lost if things don’t break your way. The tone you set as a leader has an enormous effect on the people around you. No one wants to follow a pessimist.",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,[]
"If you're in the business of making something, be in the business of making something great",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"['action', 'business', 'inspirational-quote', 'life-lessons']"
