quoteText,bookTitle,bookAuthor,tags
Success comes from keeping the ears open and the mouth closed” and “A man of words and not of deeds is like a garden full of weeds.,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"Rockefeller equated silence with strength: Weak men had loose tongues and blabbed to reporters, while prudent businessmen kept their own counsel.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
Do not many of us who fail to achieve big things … fail because we lack concentration—the art of concentrating the mind on the thing to be done at the proper time and to the exclusion of everything else?,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"The ability to deal with people is as purchasable a commodity as sugar or coffee,” he once said, “and I pay more for that ability than for any other under the sun.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"If those who ‘gain all they can’ and ‘save all they can,’ will likewise ‘give all they can,’ then the more they will grow in grace.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"Oh how blessed the young men are who have to struggle for a foundation and a beginning in life. I shall never cease to be grateful for the three and a half years of apprenticeship and the difficulties to be overcome, all the way along.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"He downplayed the significance of technical knowledge in business. “I never felt the need of scientific knowledge, have never felt it. A young man who wants to succeed in business does not require chemistry or physics. He can always hire scientists.”32","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"Daring in design, cautious in execution—it was a formula he made his own throughout his career.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"As to why God had singled out John D. Rockefeller for such spectacular bounty, Rockefeller always adverted to his own adherence to the doctrine of stewardship—the notion of the wealthy man as a mere instrument of God, a temporary trustee of his money, who devoted it to good causes. “It has seemed as if I was favored and got increase because the Lord knew that I was going to turn around and give it back.”73","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
"For this boy destined to be the world’s greatest heir, money was so omnipresent as to be invisible—something “there, like air or food or any other element,” he later said—yet it was never easily attainable.11 As if he were a poor, rural boy, he earned pocket change by mending vases and broken fountain pens or by sharpening pencils. Aware of the rich children spoiled by their parents, Senior seized every opportunity to teach his son the value of money. Once, while Rockefeller was being shaved at Forest Hill, Junior entered with a plan to give away his Sunday-school money in one lump sum, for a fixed period, and be done with it. “Let’s figure it out first,” Rockefeller advised and made Junior run through calculations that showed he would lose eleven cents interest while the Sunday school gained nothing in return. Afterward, Rockefeller told his barber, “I don’t care about the boy giving his money in that way. I want him to give it. But I also want him to learn the lesson of being careful of the little things.","Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,[]
