quoteText,bookTitle,bookAuthor,tags
You can’t improve if you don’t know what you’re doing wrong.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
I need to listen well so that I hear what is not said.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
I don’t want to be a great problem solver. I want to avoid problems—prevent them from happening and doing it right from the beginning.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"A man who has committed a mistake and doesn’t correct it, is committing another mistake.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"There are two ways to handle such a world: try to predict, or try to prepare.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"We also tend to undervalue the elementary ideas and overvalue the complicated ones. Most of us get jobs based on some form of specialized knowledge, so this makes sense. We don’t think we have much value if we know the things everyone else does, so we focus our effort on developing unique expertise to set ourselves apart. The problem is then that we reject the simple to make sure what we offer can’t be contributed by someone else. But simple ideas are of great value because they can help us prevent complex problems.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
Most geniuses—especially those who lead others—prosper not by deconstructing intricate complexities but by exploiting unrecognized simplicities. »,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"There is an old adage that encapsulates this: “To the man with only a hammer, everything starts looking like a nail.” Not every problem is a nail. The world is full of complications and interconnections that can only be explained through understanding of multiple models.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"During their colonial rule of India, the British government began to worry about the number of venomous cobras in Delhi. To reduce the numbers, they instituted a reward for every dead snake brought to officials. In response, Indian citizens dutifully complied and began breeding the snakes to slaughter and bring to officials. The snake problem was worse than when it started because the British officials didn’t think at the second level.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
«Stupidity is the same as evil if you judge by the results.»,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"business, the person with the fewest blind spots wins. Removing blind spots means we see, interact with, and move closer to understanding reality. We think better. And thinking better is about finding simple processes that help us work through problems from multiple dimensions and perspectives, allowing us to better choose solutions that fit what matters to us. The skill for finding the right solutions for the right problems is one form of wisdom.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
mental model is simply a representation of how something works.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
Most geniuses—especially those who lead others—prosper not by deconstructing intricate complexities but by exploiting unrecognized simplicities.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
The only way you’ll know the extent to which you understand reality is to put your ideas and understanding into action. If you don’t test your ideas against the real world—keep contact with the earth—how can you be sure you understand?,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"We’re much like the blind men in the classic parable of the elephant, going through life trying to explain everything through one limited lens.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
"The test of a first-rate intelligence is the ability to hold two opposing ideas in mind at the same time and still retain the ability to function. One should, for example, be able to see that things are hopeless yet be determined to make them otherwise.",The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
I’m no genius. I’m smart in spots—but I stay around those spots.,The Great Mental Models: General Thinking Concepts,Shane Parrish,[]
